department_name_raw,parent_department_display_name,section_display_name,department_display_name,mapping_status,mapping_source,mapping_note
ＤＸ＊ＤＸ推進担当課,DX推進担当部,ＤＸ推進担当課,DX推進担当部 ＤＸ推進担当課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ164で照合
スポ推進＊スポーツ施設課,スポーツ推進部,スポーツ施設課,スポーツ推進部 スポーツ施設課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ174・175で照合
スポ推進＊スポーツ推進課,スポーツ推進部,スポーツ推進課,スポーツ推進部 スポーツ推進課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ174・175で照合
スポ推進＊拠点スポ整備課,スポーツ推進部,拠点スポ整備課,スポーツ推進部 拠点スポ整備課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ175で照合
み３３＊公園利活用推進課,みどり33推進担当部,公園利活用推進課,みどり33推進担当部 公園利活用推進課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ220で照合
みどり３３＊みどり政策課,みどり33推進担当部,みどり政策課,みどり33推進担当部 みどり政策課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ219・220で照合
みどり３３＊公園緑地課,みどり33推進担当部,公園緑地課,みどり33推進担当部 公園緑地課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ215・219・220で照合
烏センター＊健康づくり課,烏山総合支所,健康づくり課,烏山総合支所 健康づくり課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ204・206で照合
烏センター＊子家庭支援課,烏山総合支所,子家庭支援課,烏山総合支所 子家庭支援課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ183で照合
烏センター＊生活支援課,烏山総合支所,生活支援課,烏山総合支所 生活支援課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ183・237・238で照合
烏センター＊保健福祉課,烏山総合支所,保健福祉課,烏山総合支所 保健福祉課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ183で照合
烏支＊駅周辺整備担当課,烏山総合支所,駅周辺整備担当課,烏山総合支所 駅周辺整備担当課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ224で照合
烏支＊街づくり課,烏山総合支所,街づくり課,烏山総合支所 街づくり課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ224で照合
烏支＊地域振興課,烏山総合支所,地域振興課,烏山総合支所 地域振興課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ167～173で照合
営繕＊公マネ課,施設営繕担当部,公マネ課,施設営繕担当部 公マネ課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ164・165で照合
会計＊会計課,会計室,会計課,会計室 会計課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ163・165・241で照合
学教＊学校職員課,教育委員会事務局,学校職員課,教育委員会事務局 学校職員課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ226～230・240で照合
学教＊学務課,教育委員会事務局,学務課,教育委員会事務局 学務課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ226・228～231で照合
学教＊教育指導課,教育委員会事務局,教育指導課,教育委員会事務局 教育指導課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ226・227で照合
学教＊地域学校連携課,教育委員会事務局,地域学校連携課,教育委員会事務局 地域学校連携課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ226・227・233で照合
環境政策部＊環境保全課,環境政策部,環境保全課,環境政策部 環境保全課,already_display,official_csv,公式CSVの正式親組織名を保持しPDFページ199とも照合
環政＊環境政策課,環境政策部,環境政策課,環境政策部 環境政策課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ199・238で照合
環政＊気候危機対策課,環境政策部,気候危機対策課,環境政策部 気候危機対策課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ199で照合
監査事務局,監査事務局,,監査事務局,already_display,official_csv,公式CSVで正式名称を保持しPDFページ179とも照合
危管＊地域生活安全課,危機管理部,地域生活安全課,危機管理部 地域生活安全課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ168・172で照合
危機管理部＊災害対策課,危機管理部,災害対策課,危機管理部 災害対策課,already_display,official_csv,公式CSVの正式親組織名を保持しPDFページ172・173・237とも照合
砧センター＊健康づくり課,砧総合支所,健康づくり課,砧総合支所 健康づくり課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ204・206で照合
砧センター＊子家庭支援課,砧総合支所,子家庭支援課,砧総合支所 子家庭支援課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ183で照合
砧センター＊生活支援課,砧総合支所,生活支援課,砧総合支所 生活支援課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ183・237・238で照合
砧センター＊保健福祉課,砧総合支所,保健福祉課,砧総合支所 保健福祉課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ183で照合
砧支＊街づくり課,砧総合支所,街づくり課,砧総合支所 街づくり課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ224で照合
砧支＊地域振興課,砧総合支所,地域振興課,砧総合支所 地域振興課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ167～173で照合
教セ＊教育ＤＸ推進担当課,教育委員会事務局,教育ＤＸ推進担当課,教育委員会事務局 教育ＤＸ推進担当課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ226・227で照合
教セ＊教育相談課,教育委員会事務局,教育相談課,教育委員会事務局 教育相談課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ227・230で照合
教セ＊支援教育課,教育委員会事務局,支援教育課,教育委員会事務局 支援教育課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ226～230で照合
教セ＊事業推進担当課,教育委員会事務局,事業推進担当課,教育委員会事務局 事業推進担当課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ226・227で照合
教セ＊乳幼教・保支課,教育委員会事務局,乳幼教・保支課,教育委員会事務局 乳幼教・保支課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ227・232で照合
教生＊学校健康推進課,教育委員会事務局,学校健康推進課,教育委員会事務局 学校健康推進課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ226・228・230・232・235で照合
教生＊教育環境課,教育委員会事務局,教育環境課,教育委員会事務局 教育環境課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ228～232で照合
教生＊教育総務課,教育委員会事務局,教育総務課,教育委員会事務局 教育総務課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ225・226・239で照合
