"budget_program_identity_id","display_program_name","account_name","kan_name","kou_name","moku_name","department_display_name","amount_thousand_yen","candidate_topic","proposed_relation_type","proposed_explanation","evidence_level","evidence_fields","confidence","review_decision","review_note"
"bpi_122b90f41d1b2adb4e7fc0b7e0df37b5eedbdccb2a2bbc3f985cdebf24717f94","健康増進・交流施設運営","一般会計","総務費","区民費","生涯現役推進費","生活文化政策部 市民活動推進課","129842","年齢を重ねても学び地域で活動できる環境をつくる","supports","公式予算の会計・款・項・目と事業名から「年齢を重ねても学び地域で活動できる環境をつくる」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""active-aging-and-community-participation-official-structure"",""budget_item_key"":""2026_general_expenditure_02_03_15"",""identity_fields"":{""display_program_name"":""健康増進・交流施設運営"",""hierarchy"":[""総務費"",""区民費"",""生涯現役推進費""],""department_display_name"":""生活文化政策部 市民活動推進課"",""amount_thousand_yen"":129842},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_15_02_05_01"",""major_program_name"":""交流・社会参加促進施設維持運営費"",""budget_program_name"":""健康増進・交流施設運営"",""detail_program_name"":""健康増進・交流施設運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9372}],""same_budget_item_other_program_names"":[""いきがい講座"",""ひだまり友遊会館運営"",""敬老会館運営"",""高齢者の地域参加促進"",""高齢者文化活動"",""市民大学運営"",""生涯現役施設整備工事"",""生涯現役社会づくりの支援"",""生涯大学運営"",""地域支えあい活動への支援"",""土と農の交流園運営""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_01_17_07_3405350000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""総務使用料"",""生涯現役施設"",""健康増進・交流施設""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_15_01_01_04_59_3405350000"",""revenue_hierarchy"":[""財産収入"",""財産運用収入"",""財産貸付収入"",""土地貸付"",""健康増進・交流施設""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_54_41_3405350000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""光熱水費等負担金（２）"",""健康増進・交流施設""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_86d3dbc1e6ac6a84afb01c29b12a6dc533492961be5e93748f68b4be37706a6e","ひだまり友遊会館運営","一般会計","総務費","区民費","生涯現役推進費","生活文化政策部 市民活動推進課","64938","年齢を重ねても学び地域で活動できる環境をつくる","supports","公式予算の会計・款・項・目と事業名から「年齢を重ねても学び地域で活動できる環境をつくる」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""active-aging-and-community-participation-official-structure"",""budget_item_key"":""2026_general_expenditure_02_03_15"",""identity_fields"":{""display_program_name"":""ひだまり友遊会館運営"",""hierarchy"":[""総務費"",""区民費"",""生涯現役推進費""],""department_display_name"":""生活文化政策部 市民活動推進課"",""amount_thousand_yen"":64938},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_15_02_07_01"",""major_program_name"":""交流・社会参加促進施設維持運営費"",""budget_program_name"":""ひだまり友遊会館運営"",""detail_program_name"":""ひだまり友遊会館運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9373}],""same_budget_item_other_program_names"":[""いきがい講座"",""敬老会館運営"",""健康増進・交流施設運営"",""高齢者の地域参加促進"",""高齢者文化活動"",""市民大学運営"",""生涯現役施設整備工事"",""生涯現役社会づくりの支援"",""生涯大学運営"",""地域支えあい活動への支援"",""土と農の交流園運営""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_42_50_3405350000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""高齢者施策推進区市町村包括補助事業"",""福祉電話訪問""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_42_53_3405350000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""高齢者施策推進区市町村包括補助事業"",""高齢者なんでも相談""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_42_54_3405350000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""高齢者施策推進区市町村包括補助事業"",""高齢者講習会""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_15_01_01_04_72_3405350000"",""revenue_hierarchy"":[""財産収入"",""財産運用収入"",""財産貸付収入"",""土地貸付"",""ひだまり友遊会館""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_08_80_3405350000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""参加料・利用料"",""ひだまり友遊会館コピーサービス料""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_54_45_3405350000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""光熱水費等負担金（２）"",""ひだまり友遊会館""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_e6d7960b70f7f7bb35393a0b2b0213869288453a550df131bcf11c285ac8f8b0","高齢者文化活動","一般会計","総務費","区民費","生涯現役推進費","生活文化政策部 市民活動推進課","31302","年齢を重ねても学び地域で活動できる環境をつくる","supports","公式予算の会計・款・項・目と事業名から「年齢を重ねても学び地域で活動できる環境をつくる」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""active-aging-and-community-participation-official-structure"",""budget_item_key"":""2026_general_expenditure_02_03_15"",""identity_fields"":{""display_program_name"":""高齢者文化活動"",""hierarchy"":[""総務費"",""区民費"",""生涯現役推進費""],""department_display_name"":""生活文化政策部 市民活動推進課"",""amount_thousand_yen"":31302},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_15_01_02_01"",""major_program_name"":""交流・社会参加促進事業費"",""budget_program_name"":""高齢者文化活動"",""detail_program_name"":""高齢者文化活動"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9364}],""same_budget_item_other_program_names"":[""いきがい講座"",""ひだまり友遊会館運営"",""敬老会館運営"",""健康増進・交流施設運営"",""高齢者の地域参加促進"",""市民大学運営"",""生涯現役施設整備工事"",""生涯現役社会づくりの支援"",""生涯大学運営"",""地域支えあい活動への支援"",""土と農の交流園運営""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_01_96_3405350000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""老人福祉諸費"",""高齢者クラブ助成""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_31_02_3405350000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""人生１００年時代セカンドライフ応援事業補助金"",""高齢者いきいきせたがや文化祭""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_cee36e3f547d5e26f72a3dd79b4b66fd23149fd8b3955f12891231334742c18b","高齢者の地域参加促進","一般会計","総務費","区民費","生涯現役推進費","生活文化政策部 市民活動推進課","27861","年齢を重ねても学び地域で活動できる環境をつくる","supports","公式予算の会計・款・項・目と事業名から「年齢を重ねても学び地域で活動できる環境をつくる」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""active-aging-and-community-participation-official-structure"",""budget_item_key"":""2026_general_expenditure_02_03_15"",""identity_fields"":{""display_program_name"":""高齢者の地域参加促進"",""hierarchy"":[""総務費"",""区民費"",""生涯現役推進費""],""department_display_name"":""生活文化政策部 市民活動推進課"",""amount_thousand_yen"":27861},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_15_01_07_01"",""major_program_name"":""交流・社会参加促進事業費"",""budget_program_name"":""高齢者の地域参加促進"",""detail_program_name"":""高齢者の地域参加促進"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9369}],""same_budget_item_other_program_names"":[""いきがい講座"",""ひだまり友遊会館運営"",""敬老会館運営"",""健康増進・交流施設運営"",""高齢者文化活動"",""市民大学運営"",""生涯現役施設整備工事"",""生涯現役社会づくりの支援"",""生涯大学運営"",""地域支えあい活動への支援"",""土と農の交流園運営""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_42_67_3405350000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""高齢者施策推進区市町村包括補助事業"",""高齢者の地域参加促進""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_97_04_3405350000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""参加料・利用料（２）"",""代田地区会館居場所づくり""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_e7d6148c16b7c59a4cdc9716d403ecdbfc7e05d8de6c7f39d468b67b74962e6c","地域支えあい活動への支援","一般会計","総務費","区民費","生涯現役推進費","生活文化政策部 市民活動推進課","22284","年齢を重ねても学び地域で活動できる環境をつくる","supports","公式予算の会計・款・項・目と事業名から「年齢を重ねても学び地域で活動できる環境をつくる」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""active-aging-and-community-participation-official-structure"",""budget_item_key"":""2026_general_expenditure_02_03_15"",""identity_fields"":{""display_program_name"":""地域支えあい活動への支援"",""hierarchy"":[""総務費"",""区民費"",""生涯現役推進費""],""department_display_name"":""生活文化政策部 市民活動推進課"",""amount_thousand_yen"":22284},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_15_01_01_01"",""major_program_name"":""交流・社会参加促進事業費"",""budget_program_name"":""地域支えあい活動への支援"",""detail_program_name"":""地域支えあい活動への支援"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9363}],""same_budget_item_other_program_names"":[""いきがい講座"",""ひだまり友遊会館運営"",""敬老会館運営"",""健康増進・交流施設運営"",""高齢者の地域参加促進"",""高齢者文化活動"",""市民大学運営"",""生涯現役施設整備工事"",""生涯現役社会づくりの支援"",""生涯大学運営"",""土と農の交流園運営""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_01_17_05_3405350000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""総務使用料"",""生涯現役施設"",""支えあい活動拠点""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_54_40_3405350000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""光熱水費等負担金（２）"",""支えあい活動拠点""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_6c3bfeb54297a07eaff3cc6a241ca53873628ffc43670f3acaaed562cdc8b5d4","土と農の交流園運営","一般会計","総務費","区民費","生涯現役推進費","生活文化政策部 市民活動推進課","21732","年齢を重ねても学び地域で活動できる環境をつくる","supports","公式予算の会計・款・項・目と事業名から「年齢を重ねても学び地域で活動できる環境をつくる」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""active-aging-and-community-participation-official-structure"",""budget_item_key"":""2026_general_expenditure_02_03_15"",""identity_fields"":{""display_program_name"":""土と農の交流園運営"",""hierarchy"":[""総務費"",""区民費"",""生涯現役推進費""],""department_display_name"":""生活文化政策部 市民活動推進課"",""amount_thousand_yen"":21732},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_15_02_04_01"",""major_program_name"":""交流・社会参加促進施設維持運営費"",""budget_program_name"":""土と農の交流園運営"",""detail_program_name"":""土と農の交流園運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9371}],""same_budget_item_other_program_names"":[""いきがい講座"",""ひだまり友遊会館運営"",""敬老会館運営"",""健康増進・交流施設運営"",""高齢者の地域参加促進"",""高齢者文化活動"",""市民大学運営"",""生涯現役施設整備工事"",""生涯現役社会づくりの支援"",""生涯大学運営"",""地域支えあい活動への支援""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_01_17_02_3405350000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""総務使用料"",""生涯現役施設"",""土と農の交流園""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_31_03_3405350000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""人生１００年時代セカンドライフ応援事業補助金"",""土と農の交流園""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_42_45_3405350000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""高齢者施策推進区市町村包括補助事業"",""土と農の交流園""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_15_01_01_04_96_3405350000"",""revenue_hierarchy"":[""財産収入"",""財産運用収入"",""財産貸付収入"",""土地貸付"",""土と農の交流園""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_08_77_3405350000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""参加料・利用料"",""土と農の交流園""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_b18e45fe489e43699d42820189f37db23e07146788c07b407bced845fdc38901","市民大学運営","一般会計","総務費","区民費","生涯現役推進費","生活文化政策部 市民活動推進課","20671","年齢を重ねても学び地域で活動できる環境をつくる","supports","公式予算の会計・款・項・目と事業名から「年齢を重ねても学び地域で活動できる環境をつくる」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""active-aging-and-community-participation-official-structure"",""budget_item_key"":""2026_general_expenditure_02_03_15"",""identity_fields"":{""display_program_name"":""市民大学運営"",""hierarchy"":[""総務費"",""区民費"",""生涯現役推進費""],""department_display_name"":""生活文化政策部 市民活動推進課"",""amount_thousand_yen"":20671},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_15_01_06_01"",""major_program_name"":""交流・社会参加促進事業費"",""budget_program_name"":""市民大学運営"",""detail_program_name"":""市民大学運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9368}],""same_budget_item_other_program_names"":[""いきがい講座"",""ひだまり友遊会館運営"",""敬老会館運営"",""健康増進・交流施設運営"",""高齢者の地域参加促進"",""高齢者文化活動"",""生涯現役施設整備工事"",""生涯現役社会づくりの支援"",""生涯大学運営"",""地域支えあい活動への支援"",""土と農の交流園運営""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_42_76_3405350000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""高齢者施策推進区市町村包括補助事業"",""市民大学""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_08_78_3405350000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""参加料・利用料"",""市民大学""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_aa0aac232a01f09b668baa383c7a9e54cc36b198c41362e467694bb5a5310271","敬老会館運営","一般会計","総務費","区民費","生涯現役推進費","生活文化政策部 市民活動推進課","15400","年齢を重ねても学び地域で活動できる環境をつくる","supports","公式予算の会計・款・項・目と事業名から「年齢を重ねても学び地域で活動できる環境をつくる」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""active-aging-and-community-participation-official-structure"",""budget_item_key"":""2026_general_expenditure_02_03_15"",""identity_fields"":{""display_program_name"":""敬老会館運営"",""hierarchy"":[""総務費"",""区民費"",""生涯現役推進費""],""department_display_name"":""生活文化政策部 市民活動推進課"",""amount_thousand_yen"":15400},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_15_02_03_01"",""major_program_name"":""交流・社会参加促進施設維持運営費"",""budget_program_name"":""敬老会館運営"",""detail_program_name"":""敬老会館運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9370}],""same_budget_item_other_program_names"":[""いきがい講座"",""ひだまり友遊会館運営"",""健康増進・交流施設運営"",""高齢者の地域参加促進"",""高齢者文化活動"",""市民大学運営"",""生涯現役施設整備工事"",""生涯現役社会づくりの支援"",""生涯大学運営"",""地域支えあい活動への支援"",""土と農の交流園運営""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_01_17_04_3405350000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""総務使用料"",""生涯現役施設"",""敬老会館・高齢者集会所""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_27981f0011f8677f219bf616b90856ff1688a925b6f54fb4e07104b7f8e294c5","生涯大学運営","一般会計","総務費","区民費","生涯現役推進費","生活文化政策部 市民活動推進課","12208","年齢を重ねても学び地域で活動できる環境をつくる","supports","公式予算の会計・款・項・目と事業名から「年齢を重ねても学び地域で活動できる環境をつくる」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""active-aging-and-community-participation-official-structure"",""budget_item_key"":""2026_general_expenditure_02_03_15"",""identity_fields"":{""display_program_name"":""生涯大学運営"",""hierarchy"":[""総務費"",""区民費"",""生涯現役推進費""],""department_display_name"":""生活文化政策部 市民活動推進課"",""amount_thousand_yen"":12208},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_15_01_05_01"",""major_program_name"":""交流・社会参加促進事業費"",""budget_program_name"":""生涯大学運営"",""detail_program_name"":""生涯大学運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9367}],""same_budget_item_other_program_names"":[""いきがい講座"",""ひだまり友遊会館運営"",""敬老会館運営"",""健康増進・交流施設運営"",""高齢者の地域参加促進"",""高齢者文化活動"",""市民大学運営"",""生涯現役施設整備工事"",""生涯現役社会づくりの支援"",""地域支えあい活動への支援"",""土と農の交流園運営""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_42_49_3405350000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""高齢者施策推進区市町村包括補助事業"",""生涯大学""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_08_75_3405350000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""参加料・利用料"",""生涯大学""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_991602891359a7cdddaf90d97b9a6a7819764c9706355361dcd9198357130eea","いきがい講座","一般会計","総務費","区民費","生涯現役推進費","生活文化政策部 市民活動推進課","7340","年齢を重ねても学び地域で活動できる環境をつくる","supports","公式予算の会計・款・項・目と事業名から「年齢を重ねても学び地域で活動できる環境をつくる」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""active-aging-and-community-participation-official-structure"",""budget_item_key"":""2026_general_expenditure_02_03_15"",""identity_fields"":{""display_program_name"":""いきがい講座"",""hierarchy"":[""総務費"",""区民費"",""生涯現役推進費""],""department_display_name"":""生活文化政策部 市民活動推進課"",""amount_thousand_yen"":7340},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_15_01_03_01"",""major_program_name"":""交流・社会参加促進事業費"",""budget_program_name"":""いきがい講座"",""detail_program_name"":""いきがい講座"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9365}],""same_budget_item_other_program_names"":[""ひだまり友遊会館運営"",""敬老会館運営"",""健康増進・交流施設運営"",""高齢者の地域参加促進"",""高齢者文化活動"",""市民大学運営"",""生涯現役施設整備工事"",""生涯現役社会づくりの支援"",""生涯大学運営"",""地域支えあい活動への支援"",""土と農の交流園運営""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_01_17_06_3405350000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""総務使用料"",""生涯現役施設"",""陶芸教室""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_42_44_3405350000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""高齢者施策推進区市町村包括補助事業"",""シルバー工芸教室""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_42_47_3405350000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""高齢者施策推進区市町村包括補助事業"",""陶芸教室""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_08_73_3405350000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""参加料・利用料"",""シルバー工芸教室""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_08_74_3405350000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""参加料・利用料"",""陶芸教室""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
