"budget_program_identity_id","display_program_name","account_name","kan_name","kou_name","moku_name","department_display_name","amount_thousand_yen","candidate_topic","proposed_relation_type","proposed_explanation","evidence_level","evidence_fields","confidence","review_decision","review_note"
"bpi_88eb8874cf6e6990e0a9e42edfeb5f6bb0b30dac9672ec5c4c20c048e9a2e1b4","総務関係事務従事職員の人件費","一般会計","職員費","職員費","総務職員費","総務部 人事課","15972564","区政・財政・議会を支える行政","supports","公式予算の職員費で議会職員費または総務職員費に属するため、区政・財政・議会に関する行政機能を支える予算事業として整理した。","B_strong_structural","{""matched_rule_id"":""government-staff-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_09_01_02"",""identity_fields"":{""display_program_name"":""総務関係事務従事職員の人件費"",""hierarchy"":[""職員費"",""職員費"",""総務職員費""],""department_display_name"":""総務部 人事課"",""amount_thousand_yen"":15972564},""member_programs"":[{""program_id"":""2026_general_expenditure_09_01_02_01_02_01"",""major_program_name"":""総務関係事務従事職員の人件費"",""budget_program_name"":""総務関係事務従事職員の人件費"",""detail_program_name"":""総務関係事務従事職員の人件費"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9300}],""same_budget_item_other_program_names"":[""一般会計関係職員の人件費"",""会計年度任用職員の人件費（危機管理部）"",""会計年度任用職員の人件費（経済産業部）"",""会計年度任用職員の人件費（世田谷総合支所）"",""会計年度任用職員の人件費（政策経営部）"",""会計年度任用職員の人件費（生活文化政策部）"",""会計年度任用職員の人件費（選挙管理委員会事務局）"",""会計年度任用職員の人件費（総務部）"",""会計年度任用職員の人件費（地域行政部）"",""公務災害補償基金掛金及び付加給付""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_02_01_01_02_3415220000"",""revenue_hierarchy"":[""使用料及手数料"",""手数料"",""総務手数料"",""証明閲覧"",""住民基本台帳証明・閲覧""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_03_01_13_01_3205500000"",""revenue_hierarchy"":[""都支出金"",""都委託金"",""総務費委託金"",""事務処理特例交付金"",""事務処理特例交付金""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_04_01_24_3205500000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""納付金"",""納付金"",""再任用職員社会保険料（総務）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_45_18_3415220000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""広告料収入"",""総合支所くみん窓口""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_bd63c3004e3766eddbe2f16ff7a5da47316b54d7cede1f9b4d600c05c3ba6cf1","会計年度任用職員の人件費（総務部）","一般会計","職員費","職員費","総務職員費","総務部 人事課","8646692","区政・財政・議会を支える行政","supports","公式予算の職員費で議会職員費または総務職員費に属するため、区政・財政・議会に関する行政機能を支える予算事業として整理した。","B_strong_structural","{""matched_rule_id"":""government-staff-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_09_01_02"",""identity_fields"":{""display_program_name"":""会計年度任用職員の人件費（総務部）"",""hierarchy"":[""職員費"",""職員費"",""総務職員費""],""department_display_name"":""総務部 人事課"",""amount_thousand_yen"":8646692},""member_programs"":[{""program_id"":""2026_general_expenditure_09_01_02_01_21_02"",""major_program_name"":""総務関係事務従事職員の人件費"",""budget_program_name"":""会計年度任用職員の人件費（総務部）"",""detail_program_name"":""会計年度任用職員の人件費（総務部）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9301}],""same_budget_item_other_program_names"":[""一般会計関係職員の人件費"",""会計年度任用職員の人件費（危機管理部）"",""会計年度任用職員の人件費（経済産業部）"",""会計年度任用職員の人件費（世田谷総合支所）"",""会計年度任用職員の人件費（政策経営部）"",""会計年度任用職員の人件費（生活文化政策部）"",""会計年度任用職員の人件費（選挙管理委員会事務局）"",""会計年度任用職員の人件費（地域行政部）"",""公務災害補償基金掛金及び付加給付"",""総務関係事務従事職員の人件費""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_19_06_04_06_17_3205500000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""納付金"",""納付金（３）"",""会計年度任用職員社会保険料（総務部）""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_8b06067c54cce20d2c74b7cb39260cbfbebd61bce682425c153a46e34dd7919e","本庁舎等整備工事","一般会計","総務費","総務管理費","一般管理費","庁舎整備担当部 庁舎管理担当課","7479718","区政・財政・議会を支える行政","supports","公式予算で総務管理、徴税、統計、選挙または監査に関する項に属するため、区政・財政・議会に関する行政機能を支える予算事業として整理した。","B_strong_structural","{""matched_rule_id"":""government-administration-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_02_01_01"",""identity_fields"":{""display_program_name"":""本庁舎等整備工事"",""hierarchy"":[""総務費"",""総務管理費"",""一般管理費""],""department_display_name"":""庁舎整備担当部 庁舎管理担当課"",""amount_thousand_yen"":7479718},""member_programs"":[{""program_id"":""2026_general_expenditure_02_01_01_02_13_01"",""major_program_name"":""庁舎維持管理費"",""budget_program_name"":""本庁舎等整備工事"",""detail_program_name"":""本庁舎等整備工事"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9328}],""same_budget_item_other_program_names"":[""こども誰でも通園制度"",""安全衛生活動の推進"",""外国人学校児童・生徒保護者補助金交付"",""供用物品整備"",""区政情報センター運営"",""区長室庶務事務"",""私立幼稚園での未就園児の定期的な預かり事業の推進"",""私立幼稚園協会助成"",""私立幼稚園指導助成"",""奨学資金等貸付"",""情報公開・個人情報保護制度運営等"",""職員・非常勤職員等公務災害補償"",""職員の健康保持推進"",""職員研修"",""職員互助会事業補助"",""職員採用等事務"",""職員住宅維持管理"",""職員住宅改修"",""新年のつどい"",""世田谷区公報発行、区例規類集等発行"",""世田谷区政務活動費"",""専修学校・各種学校等指導助成"",""総務部庶務事務"",""庁舎維持管理"",""庁舎計画事務"",""庁舎等建設等基金積立金"",""東京都職員共済組合業務経理負担金"",""東京都職員共済組合事務費負担金"",""特別区協議会等分担金"",""特別区人事厚生事務組合分担金"",""特別職報酬等審議会運営"",""被服貸与"",""非常勤職員等事務"",""福利厚生事業"",""分庁舎維持管理"",""文書、物品搬送"",""文書印刷"",""文書管理、法務業務"",""郵便管理事務"",""幼稚園類似幼児施設助成""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_17_01_35_01_11_3235200000"",""revenue_hierarchy"":[""繰入金"",""基金繰入金"",""庁舎等建設等基金繰入金"",""庁舎建設"",""本庁舎等整備費""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_20_01_01_17_01_3235200000"",""revenue_hierarchy"":[""特別区債"",""特別区債"",""総務債"",""本庁舎等整備費"",""本庁舎等整備費""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_1accd222350bdb9f6be90ef20cec7890d84f0d5118de8a58f9aaa67ab17a8335","共通基盤システム運用","一般会計","総務費","総務管理費","電子計算費","DX推進担当部 ＤＸ推進担当課","6827329","区政・財政・議会を支える行政","supports","公式予算で総務管理、徴税、統計、選挙または監査に関する項に属するため、区政・財政・議会に関する行政機能を支える予算事業として整理した。","B_strong_structural","{""matched_rule_id"":""government-administration-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_02_01_04"",""identity_fields"":{""display_program_name"":""共通基盤システム運用"",""hierarchy"":[""総務費"",""総務管理費"",""電子計算費""],""department_display_name"":""DX推進担当部 ＤＸ推進担当課"",""amount_thousand_yen"":6827329},""member_programs"":[{""program_id"":""2026_general_expenditure_02_01_04_01_07_01"",""major_program_name"":""電子計算事務運営費"",""budget_program_name"":""共通基盤システム運用"",""detail_program_name"":""共通基盤システム運用"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9278}],""same_budget_item_other_program_names"":[""ＤＸ推進"",""システム開発及び改善"",""基幹業務システム運用"",""公衆無線ＬＡＮ環境整備事業"",""事務センター維持"",""事務センター改修"",""庁内電算機システム運用""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_11_01_01_14_02_3095100000"",""revenue_hierarchy"":[""分担金及負担金"",""負担金"",""民生費負担金"",""措置費共同経理費"",""措置費共同経理負担金""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_13_02_08_21_08_3095100000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""総務費補助金"",""個人番号カード交付事務費補助金"",""個人番号カード交付事務費補助金""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_0cb7e983c1d9136ef5a28ea701736e9b27f40a8e32b773e0c7e97a1be33627fe","庁内電算機システム運用","一般会計","総務費","総務管理費","電子計算費","DX推進担当部 ＤＸ推進担当課","3983515","区政・財政・議会を支える行政","supports","公式予算で総務管理、徴税、統計、選挙または監査に関する項に属するため、区政・財政・議会に関する行政機能を支える予算事業として整理した。","B_strong_structural","{""matched_rule_id"":""government-administration-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_02_01_04"",""identity_fields"":{""display_program_name"":""庁内電算機システム運用"",""hierarchy"":[""総務費"",""総務管理費"",""電子計算費""],""department_display_name"":""DX推進担当部 ＤＸ推進担当課"",""amount_thousand_yen"":3983515},""member_programs"":[{""program_id"":""2026_general_expenditure_02_01_04_01_05_01"",""major_program_name"":""電子計算事務運営費"",""budget_program_name"":""庁内電算機システム運用"",""detail_program_name"":""企画総務領域"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9273},{""program_id"":""2026_general_expenditure_02_01_04_01_05_02"",""major_program_name"":""電子計算事務運営費"",""budget_program_name"":""庁内電算機システム運用"",""detail_program_name"":""区民生活領域"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9274},{""program_id"":""2026_general_expenditure_02_01_04_01_05_03"",""major_program_name"":""電子計算事務運営費"",""budget_program_name"":""庁内電算機システム運用"",""detail_program_name"":""保健福祉領域"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9275},{""program_id"":""2026_general_expenditure_02_01_04_01_05_04"",""major_program_name"":""電子計算事務運営費"",""budget_program_name"":""庁内電算機システム運用"",""detail_program_name"":""都市整備領域"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9276},{""program_id"":""2026_general_expenditure_02_01_04_01_05_05"",""major_program_name"":""電子計算事務運営費"",""budget_program_name"":""庁内電算機システム運用"",""detail_program_name"":""教育領域"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9277}],""same_budget_item_other_program_names"":[""ＤＸ推進"",""システム開発及び改善"",""基幹業務システム運用"",""共通基盤システム運用"",""公衆無線ＬＡＮ環境整備事業"",""事務センター維持"",""事務センター改修""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_08_21_03_3095100000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""総務費補助金"",""個人番号カード交付事務費補助金"",""個人番号カード交付事務費補助金""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_13_02_08_33_02_3095100000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""総務費補助金"",""新しい地方経済・生活環境創生交付金"",""デジタル実装型交付金""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_08_83_02_3095100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金（２）"",""認知症サポート検診事業補助金"",""認知症サポート検診事業補助金""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_1258e4de379806cdffa7e7698a2a93cd0a2855fb08b97e85030a89b37c860909","特別区債償還元金","一般会計","公債費","公債費","元金","政策経営部 財政課","3408955","区政・財政・議会を支える行政","supports","公式予算で議会費、公債費、諸支出金または予備費に属するため、区政・財政・議会に関する行政機能を支える予算事業として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""government-core-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_10_01_02"",""identity_fields"":{""display_program_name"":""特別区債償還元金"",""hierarchy"":[""公債費"",""公債費"",""元金""],""department_display_name"":""政策経営部 財政課"",""amount_thousand_yen"":3408955},""member_programs"":[{""program_id"":""2026_general_expenditure_10_01_02_01_01_01"",""major_program_name"":""特別区債の償還金"",""budget_program_name"":""特別区債償還元金"",""detail_program_name"":""特別区債償還元金"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9256}],""same_budget_item_other_program_names"":[],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_c8f71e18c243fb14f7f2387161d408a5dbaf9a28862c72b9dc2c824621dfe7e4","基幹業務システム運用","一般会計","総務費","総務管理費","電子計算費","DX推進担当部 ＤＸ推進担当課","2090298","区政・財政・議会を支える行政","supports","公式予算で総務管理、徴税、統計、選挙または監査に関する項に属するため、区政・財政・議会に関する行政機能を支える予算事業として整理した。","B_strong_structural","{""matched_rule_id"":""government-administration-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_02_01_04"",""identity_fields"":{""display_program_name"":""基幹業務システム運用"",""hierarchy"":[""総務費"",""総務管理費"",""電子計算費""],""department_display_name"":""DX推進担当部 ＤＸ推進担当課"",""amount_thousand_yen"":2090298},""member_programs"":[{""program_id"":""2026_general_expenditure_02_01_04_01_08_01"",""major_program_name"":""電子計算事務運営費"",""budget_program_name"":""基幹業務システム運用"",""detail_program_name"":""基幹業務システム運用"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9279}],""same_budget_item_other_program_names"":[""ＤＸ推進"",""システム開発及び改善"",""共通基盤システム運用"",""公衆無線ＬＡＮ環境整備事業"",""事務センター維持"",""事務センター改修"",""庁内電算機システム運用""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_03_01_01_06_3355300000"",""revenue_hierarchy"":[""都支出金"",""都委託金"",""総務費委託金"",""徴税費"",""徴税費""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_98_07_3095100000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""デジタル基盤改革支援補助金"",""地方公共団体情報システムの標準化・共通化に係る事業""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_c34fb87998d2beb1da3e5e8011a45c4cf624372d28878d78816749aacd40fd45","庁舎維持管理","一般会計","総務費","総務管理費","一般管理費","庁舎整備担当部 庁舎管理担当課","1549914","区政・財政・議会を支える行政","supports","公式予算で総務管理、徴税、統計、選挙または監査に関する項に属するため、区政・財政・議会に関する行政機能を支える予算事業として整理した。","B_strong_structural","{""matched_rule_id"":""government-administration-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_02_01_01"",""identity_fields"":{""display_program_name"":""庁舎維持管理"",""hierarchy"":[""総務費"",""総務管理費"",""一般管理費""],""department_display_name"":""庁舎整備担当部 庁舎管理担当課"",""amount_thousand_yen"":1549914},""member_programs"":[{""program_id"":""2026_general_expenditure_02_01_01_02_01_01"",""major_program_name"":""庁舎維持管理費"",""budget_program_name"":""庁舎維持管理"",""detail_program_name"":""庁舎維持管理"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9325}],""same_budget_item_other_program_names"":[""こども誰でも通園制度"",""安全衛生活動の推進"",""外国人学校児童・生徒保護者補助金交付"",""供用物品整備"",""区政情報センター運営"",""区長室庶務事務"",""私立幼稚園での未就園児の定期的な預かり事業の推進"",""私立幼稚園協会助成"",""私立幼稚園指導助成"",""奨学資金等貸付"",""情報公開・個人情報保護制度運営等"",""職員・非常勤職員等公務災害補償"",""職員の健康保持推進"",""職員研修"",""職員互助会事業補助"",""職員採用等事務"",""職員住宅維持管理"",""職員住宅改修"",""新年のつどい"",""世田谷区公報発行、区例規類集等発行"",""世田谷区政務活動費"",""専修学校・各種学校等指導助成"",""総務部庶務事務"",""庁舎計画事務"",""庁舎等建設等基金積立金"",""東京都職員共済組合業務経理負担金"",""東京都職員共済組合事務費負担金"",""特別区協議会等分担金"",""特別区人事厚生事務組合分担金"",""特別職報酬等審議会運営"",""被服貸与"",""非常勤職員等事務"",""福利厚生事業"",""分庁舎維持管理"",""文書、物品搬送"",""文書印刷"",""文書管理、法務業務"",""本庁舎等整備工事"",""郵便管理事務"",""幼稚園類似幼児施設助成""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_01_05_01_3235200000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""総務使用料"",""総務施設"",""庁舎""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_15_01_01_04_48_3235200000"",""revenue_hierarchy"":[""財産収入"",""財産運用収入"",""財産貸付収入"",""土地貸付"",""庁舎""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_15_02_02_01_13_3235200000"",""revenue_hierarchy"":[""財産収入"",""財産売払収入"",""物品売払収入"",""不用品売払"",""リサイクル資源売払（庁舎維持管理）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_05_01_3235200000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""光熱水費等負担金"",""庁舎""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_59cbe2d128bcdecab6206dc99416f9ec8cf1ee502af8cd43a5336fccd8cf32d8","庁舎計画事務","一般会計","総務費","総務管理費","一般管理費","庁舎整備担当部 庁舎管理担当課","1198843","区政・財政・議会を支える行政","supports","公式予算で総務管理、徴税、統計、選挙または監査に関する項に属するため、区政・財政・議会に関する行政機能を支える予算事業として整理した。","B_strong_structural","{""matched_rule_id"":""government-administration-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_02_01_01"",""identity_fields"":{""display_program_name"":""庁舎計画事務"",""hierarchy"":[""総務費"",""総務管理費"",""一般管理費""],""department_display_name"":""庁舎整備担当部 庁舎管理担当課"",""amount_thousand_yen"":1198843},""member_programs"":[{""program_id"":""2026_general_expenditure_02_01_01_02_09_01"",""major_program_name"":""庁舎維持管理費"",""budget_program_name"":""庁舎計画事務"",""detail_program_name"":""庁舎計画事務"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9327}],""same_budget_item_other_program_names"":[""こども誰でも通園制度"",""安全衛生活動の推進"",""外国人学校児童・生徒保護者補助金交付"",""供用物品整備"",""区政情報センター運営"",""区長室庶務事務"",""私立幼稚園での未就園児の定期的な預かり事業の推進"",""私立幼稚園協会助成"",""私立幼稚園指導助成"",""奨学資金等貸付"",""情報公開・個人情報保護制度運営等"",""職員・非常勤職員等公務災害補償"",""職員の健康保持推進"",""職員研修"",""職員互助会事業補助"",""職員採用等事務"",""職員住宅維持管理"",""職員住宅改修"",""新年のつどい"",""世田谷区公報発行、区例規類集等発行"",""世田谷区政務活動費"",""専修学校・各種学校等指導助成"",""総務部庶務事務"",""庁舎維持管理"",""庁舎等建設等基金積立金"",""東京都職員共済組合業務経理負担金"",""東京都職員共済組合事務費負担金"",""特別区協議会等分担金"",""特別区人事厚生事務組合分担金"",""特別職報酬等審議会運営"",""被服貸与"",""非常勤職員等事務"",""福利厚生事業"",""分庁舎維持管理"",""文書、物品搬送"",""文書印刷"",""文書管理、法務業務"",""本庁舎等整備工事"",""郵便管理事務"",""幼稚園類似幼児施設助成""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_60_83_3235200000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""地域福祉推進区市町村包括補助事業"",""情報バリアフリーに係る充実への支援""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_fadf70dcc64395aeebe5ae2480de4a313ce8f1119b0c9185ae88bd950b75b2fa","システム開発及び改善","一般会計","総務費","総務管理費","電子計算費","DX推進担当部 ＤＸ推進担当課","976475","区政・財政・議会を支える行政","supports","公式予算で総務管理、徴税、統計、選挙または監査に関する項に属するため、区政・財政・議会に関する行政機能を支える予算事業として整理した。","B_strong_structural","{""matched_rule_id"":""government-administration-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_02_01_04"",""identity_fields"":{""display_program_name"":""システム開発及び改善"",""hierarchy"":[""総務費"",""総務管理費"",""電子計算費""],""department_display_name"":""DX推進担当部 ＤＸ推進担当課"",""amount_thousand_yen"":976475},""member_programs"":[{""program_id"":""2026_general_expenditure_02_01_04_01_04_01"",""major_program_name"":""電子計算事務運営費"",""budget_program_name"":""システム開発及び改善"",""detail_program_name"":""システム開発及び改善"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9272}],""same_budget_item_other_program_names"":[""ＤＸ推進"",""基幹業務システム運用"",""共通基盤システム運用"",""公衆無線ＬＡＮ環境整備事業"",""事務センター維持"",""事務センター改修"",""庁内電算機システム運用""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_98_01_3095100000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""デジタル基盤改革支援補助金"",""地方公共団体情報システムの標準化・共通化に係る事業""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
