"budget_program_identity_id","display_program_name","account_name","kan_name","kou_name","moku_name","department_display_name","amount_thousand_yen","candidate_topic","proposed_relation_type","proposed_explanation","evidence_level","evidence_fields","confidence","review_decision","review_note"
"bpi_03c663aa4f8dc3e80014cc0428b9de15d44f2b5710a88d4d6c98f4cf2d6ca601","総合運動場維持運営","一般会計","総務費","区民費","スポーツ振興費","スポーツ推進部 スポーツ施設課","756580","スポーツ環境","supports","スポーツ振興費に属し、公式事業名にスポーツ活動、スポーツ施設、運動施設、体育施設またはプールが明記されているため、スポーツに親しめる環境を支える候補とした。","B_strong_structural","{""matched_rule_id"":""explicit-sports-access"",""budget_item_key"":""2026_general_expenditure_02_03_14"",""identity_fields"":{""display_program_name"":""総合運動場維持運営"",""hierarchy"":[""総務費"",""区民費"",""スポーツ振興費""],""department_display_name"":""スポーツ推進部 スポーツ施設課"",""amount_thousand_yen"":756580},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_14_01_05_01"",""major_program_name"":""スポーツ振興事業費"",""budget_program_name"":""総合運動場維持運営"",""detail_program_name"":""総合運動場維持運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9430}],""same_budget_item_other_program_names"":[""スポーツ施設改修工事"",""スポーツ施設整備事務"",""スポーツ施設民間連携等"",""スポーツ推進基金積立金"",""スポーツ推進部庶務事務"",""パラスポーツの推進"",""世田谷区スポーツ振興財団運営助成"",""生涯スポーツの振興"",""千歳温水プール維持運営"",""総合運動場施設整備工事"",""大蔵第二運動公園運動施設維持運営"",""大蔵第二運動公園運動施設整備工事"",""地域・地区スポーツ施設整備工事"",""地域体育施設の維持運営"",""東京２０２０大会レガシーの推進""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_01_05_50_3445550000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""総務使用料"",""総務施設"",""総合運動場""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_15_01_01_04_41_3445550000"",""revenue_hierarchy"":[""財産収入"",""財産運用収入"",""財産貸付収入"",""土地貸付"",""総合運動場""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_05_92_3445550000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""光熱水費等負担金"",""総合運動場""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_60_02_3445550000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""スポーツ振興くじ助成金"",""地方公共団体スポーツ活動助成""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_62a26ba248202e364005fd2d64262bae4c0588694934abbc1117ce10d4da1b44","千歳温水プール維持運営","一般会計","総務費","区民費","スポーツ振興費","スポーツ推進部 スポーツ施設課","394849","スポーツ環境","supports","スポーツ振興費に属し、公式事業名にスポーツ活動、スポーツ施設、運動施設、体育施設またはプールが明記されているため、スポーツに親しめる環境を支える候補とした。","B_strong_structural","{""matched_rule_id"":""explicit-sports-access"",""budget_item_key"":""2026_general_expenditure_02_03_14"",""identity_fields"":{""display_program_name"":""千歳温水プール維持運営"",""hierarchy"":[""総務費"",""区民費"",""スポーツ振興費""],""department_display_name"":""スポーツ推進部 スポーツ施設課"",""amount_thousand_yen"":394849},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_14_01_07_01"",""major_program_name"":""スポーツ振興事業費"",""budget_program_name"":""千歳温水プール維持運営"",""detail_program_name"":""千歳温水プール維持運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9432}],""same_budget_item_other_program_names"":[""スポーツ施設改修工事"",""スポーツ施設整備事務"",""スポーツ施設民間連携等"",""スポーツ推進基金積立金"",""スポーツ推進部庶務事務"",""パラスポーツの推進"",""世田谷区スポーツ振興財団運営助成"",""生涯スポーツの振興"",""総合運動場維持運営"",""総合運動場施設整備工事"",""大蔵第二運動公園運動施設維持運営"",""大蔵第二運動公園運動施設整備工事"",""地域・地区スポーツ施設整備工事"",""地域体育施設の維持運営"",""東京２０２０大会レガシーの推進""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_01_05_51_3445550000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""総務使用料"",""総務施設"",""千歳温水プール""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_15_01_01_04_42_3445550000"",""revenue_hierarchy"":[""財産収入"",""財産運用収入"",""財産貸付収入"",""土地貸付"",""千歳温水プール""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_17_01_43_01_06_3445550000"",""revenue_hierarchy"":[""繰入金"",""基金繰入金"",""スポーツ推進基金繰入金"",""スポーツ推進基金"",""スポーツ推進基金（千歳温水プール維持運営）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_05_93_3445550000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""光熱水費等負担金"",""千歳温水プール""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_83_46_3445550000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""雑入（３）"",""千歳温水プール管理運営""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_ee95ca9138d548c3ef880b192a62c383bf7a33bd76b28abe9c70f4f33ae8d6cb","世田谷区スポーツ振興財団運営助成","一般会計","総務費","区民費","スポーツ振興費","スポーツ推進部 スポーツ推進課","321746","スポーツ環境","supports","スポーツ振興費に属し、公式事業名にスポーツ活動、スポーツ施設、運動施設、体育施設またはプールが明記されているため、スポーツに親しめる環境を支える候補とした。","B_strong_structural","{""matched_rule_id"":""explicit-sports-access"",""budget_item_key"":""2026_general_expenditure_02_03_14"",""identity_fields"":{""display_program_name"":""世田谷区スポーツ振興財団運営助成"",""hierarchy"":[""総務費"",""区民費"",""スポーツ振興費""],""department_display_name"":""スポーツ推進部 スポーツ推進課"",""amount_thousand_yen"":321746},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_14_01_02_01"",""major_program_name"":""スポーツ振興事業費"",""budget_program_name"":""世田谷区スポーツ振興財団運営助成"",""detail_program_name"":""世田谷区スポーツ振興財団運営助成"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9423}],""same_budget_item_other_program_names"":[""スポーツ施設改修工事"",""スポーツ施設整備事務"",""スポーツ施設民間連携等"",""スポーツ推進基金積立金"",""スポーツ推進部庶務事務"",""パラスポーツの推進"",""生涯スポーツの振興"",""千歳温水プール維持運営"",""総合運動場維持運営"",""総合運動場施設整備工事"",""大蔵第二運動公園運動施設維持運営"",""大蔵第二運動公園運動施設整備工事"",""地域・地区スポーツ施設整備工事"",""地域体育施設の維持運営"",""東京２０２０大会レガシーの推進""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_01_48_04_3445100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""総務費補助金"",""区市町村スポーツ実施促進事業"",""地域スポーツ推進事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_01_48_05_3445100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""総務費補助金"",""区市町村スポーツ実施促進事業"",""パラスポーツ推進事業""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_5df445261b4cc1e1c8aa6ddbc183b2c8bb5393c9ce3466b8b179570fee65631b","スポーツ施設整備事務","一般会計","総務費","区民費","スポーツ振興費","スポーツ推進部 拠点スポ整備課","213413","スポーツ環境","supports","スポーツ振興費に属し、公式事業名にスポーツ活動、スポーツ施設、運動施設、体育施設またはプールが明記されているため、スポーツに親しめる環境を支える候補とした。","B_strong_structural","{""matched_rule_id"":""explicit-sports-access"",""budget_item_key"":""2026_general_expenditure_02_03_14"",""identity_fields"":{""display_program_name"":""スポーツ施設整備事務"",""hierarchy"":[""総務費"",""区民費"",""スポーツ振興費""],""department_display_name"":""スポーツ推進部 拠点スポ整備課"",""amount_thousand_yen"":213413},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_14_01_23_01"",""major_program_name"":""スポーツ振興事業費"",""budget_program_name"":""スポーツ施設整備事務"",""detail_program_name"":""スポーツ施設整備事務"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9438}],""same_budget_item_other_program_names"":[""スポーツ施設改修工事"",""スポーツ施設民間連携等"",""スポーツ推進基金積立金"",""スポーツ推進部庶務事務"",""パラスポーツの推進"",""世田谷区スポーツ振興財団運営助成"",""生涯スポーツの振興"",""千歳温水プール維持運営"",""総合運動場維持運営"",""総合運動場施設整備工事"",""大蔵第二運動公園運動施設維持運営"",""大蔵第二運動公園運動施設整備工事"",""地域・地区スポーツ施設整備工事"",""地域体育施設の維持運営"",""東京２０２０大会レガシーの推進""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_06_01_66_3445600000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""土木費補助金"",""都市計画交付金"",""上用賀公園拡張整備""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_529fada18a89280889ff2eebfdc620304fa5d6e6c8f2b2a7530a74983bf88d9c","地域・地区スポーツ施設整備工事","一般会計","総務費","区民費","スポーツ振興費","スポーツ推進部 スポーツ施設課","176443","スポーツ環境","supports","スポーツ振興費に属し、公式事業名にスポーツ活動、スポーツ施設、運動施設、体育施設またはプールが明記されているため、スポーツに親しめる環境を支える候補とした。","B_strong_structural","{""matched_rule_id"":""explicit-sports-access"",""budget_item_key"":""2026_general_expenditure_02_03_14"",""identity_fields"":{""display_program_name"":""地域・地区スポーツ施設整備工事"",""hierarchy"":[""総務費"",""区民費"",""スポーツ振興費""],""department_display_name"":""スポーツ推進部 スポーツ施設課"",""amount_thousand_yen"":176443},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_14_01_12_01"",""major_program_name"":""スポーツ振興事業費"",""budget_program_name"":""地域・地区スポーツ施設整備工事"",""detail_program_name"":""地域・地区スポーツ施設整備工事"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9435}],""same_budget_item_other_program_names"":[""スポーツ施設改修工事"",""スポーツ施設整備事務"",""スポーツ施設民間連携等"",""スポーツ推進基金積立金"",""スポーツ推進部庶務事務"",""パラスポーツの推進"",""世田谷区スポーツ振興財団運営助成"",""生涯スポーツの振興"",""千歳温水プール維持運営"",""総合運動場維持運営"",""総合運動場施設整備工事"",""大蔵第二運動公園運動施設維持運営"",""大蔵第二運動公園運動施設整備工事"",""地域体育施設の維持運営"",""東京２０２０大会レガシーの推進""],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_20fa61931e01ab2423ebb08320c21eeb56fc7b0aa0c8433cd37acc6fb2622ab3","スポーツ施設改修工事","一般会計","総務費","区民費","スポーツ振興費","スポーツ推進部 スポーツ施設課","155080","スポーツ環境","supports","スポーツ振興費に属し、公式事業名にスポーツ活動、スポーツ施設、運動施設、体育施設またはプールが明記されているため、スポーツに親しめる環境を支える候補とした。","B_strong_structural","{""matched_rule_id"":""explicit-sports-access"",""budget_item_key"":""2026_general_expenditure_02_03_14"",""identity_fields"":{""display_program_name"":""スポーツ施設改修工事"",""hierarchy"":[""総務費"",""区民費"",""スポーツ振興費""],""department_display_name"":""スポーツ推進部 スポーツ施設課"",""amount_thousand_yen"":155080},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_14_01_14_01"",""major_program_name"":""スポーツ振興事業費"",""budget_program_name"":""スポーツ施設改修工事"",""detail_program_name"":""スポーツ施設改修工事"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9436}],""same_budget_item_other_program_names"":[""スポーツ施設整備事務"",""スポーツ施設民間連携等"",""スポーツ推進基金積立金"",""スポーツ推進部庶務事務"",""パラスポーツの推進"",""世田谷区スポーツ振興財団運営助成"",""生涯スポーツの振興"",""千歳温水プール維持運営"",""総合運動場維持運営"",""総合運動場施設整備工事"",""大蔵第二運動公園運動施設維持運営"",""大蔵第二運動公園運動施設整備工事"",""地域・地区スポーツ施設整備工事"",""地域体育施設の維持運営"",""東京２０２０大会レガシーの推進""],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_c932f12effc23dcd9dbc0b7e55ae0efface0f064258ae7cb1d47e8d0e6951ab3","大蔵第二運動公園運動施設整備工事","一般会計","総務費","区民費","スポーツ振興費","スポーツ推進部 スポーツ施設課","153870","スポーツ環境","supports","スポーツ振興費に属し、公式事業名にスポーツ活動、スポーツ施設、運動施設、体育施設またはプールが明記されているため、スポーツに親しめる環境を支える候補とした。","B_strong_structural","{""matched_rule_id"":""explicit-sports-access"",""budget_item_key"":""2026_general_expenditure_02_03_14"",""identity_fields"":{""display_program_name"":""大蔵第二運動公園運動施設整備工事"",""hierarchy"":[""総務費"",""区民費"",""スポーツ振興費""],""department_display_name"":""スポーツ推進部 スポーツ施設課"",""amount_thousand_yen"":153870},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_14_01_10_01"",""major_program_name"":""スポーツ振興事業費"",""budget_program_name"":""大蔵第二運動公園運動施設整備工事"",""detail_program_name"":""大蔵第二運動公園運動施設整備工事"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9434}],""same_budget_item_other_program_names"":[""スポーツ施設改修工事"",""スポーツ施設整備事務"",""スポーツ施設民間連携等"",""スポーツ推進基金積立金"",""スポーツ推進部庶務事務"",""パラスポーツの推進"",""世田谷区スポーツ振興財団運営助成"",""生涯スポーツの振興"",""千歳温水プール維持運営"",""総合運動場維持運営"",""総合運動場施設整備工事"",""大蔵第二運動公園運動施設維持運営"",""地域・地区スポーツ施設整備工事"",""地域体育施設の維持運営"",""東京２０２０大会レガシーの推進""],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_0c8019d933f968d6d1c27c2b01fb2f1dc4998e18357792591f8fabf1eb7a309c","地域体育施設の維持運営","一般会計","総務費","区民費","スポーツ振興費","スポーツ推進部 スポーツ施設課","134137","スポーツ環境","supports","スポーツ振興費に属し、公式事業名にスポーツ活動、スポーツ施設、運動施設、体育施設またはプールが明記されているため、スポーツに親しめる環境を支える候補とした。","B_strong_structural","{""matched_rule_id"":""explicit-sports-access"",""budget_item_key"":""2026_general_expenditure_02_03_14"",""identity_fields"":{""display_program_name"":""地域体育施設の維持運営"",""hierarchy"":[""総務費"",""区民費"",""スポーツ振興費""],""department_display_name"":""スポーツ推進部 スポーツ施設課"",""amount_thousand_yen"":134137},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_14_01_04_01"",""major_program_name"":""スポーツ振興事業費"",""budget_program_name"":""地域体育施設の維持運営"",""detail_program_name"":""地域体育施設の維持運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9429}],""same_budget_item_other_program_names"":[""スポーツ施設改修工事"",""スポーツ施設整備事務"",""スポーツ施設民間連携等"",""スポーツ推進基金積立金"",""スポーツ推進部庶務事務"",""パラスポーツの推進"",""世田谷区スポーツ振興財団運営助成"",""生涯スポーツの振興"",""千歳温水プール維持運営"",""総合運動場維持運営"",""総合運動場施設整備工事"",""大蔵第二運動公園運動施設維持運営"",""大蔵第二運動公園運動施設整備工事"",""地域・地区スポーツ施設整備工事"",""東京２０２０大会レガシーの推進""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_01_16_02_3445550000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""総務使用料"",""スポーツ施設"",""地域体育館・地区体育室""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_15_01_01_03_28_3445550000"",""revenue_hierarchy"":[""財産収入"",""財産運用収入"",""財産貸付収入"",""建物貸付"",""北烏山地区体育室""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_05_91_3445550000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""光熱水費等負担金"",""地域体育施設""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_925b4d98245d76b804f2a490d1071bac44c2c6e7e67de4526e749e017916d575","スポーツ推進基金積立金","一般会計","総務費","区民費","スポーツ振興費","スポーツ推進部 スポーツ推進課","117745","スポーツ環境","supports","スポーツ振興費に属し、公式事業名にスポーツ活動、スポーツ施設、運動施設、体育施設またはプールが明記されているため、スポーツに親しめる環境を支える候補とした。","B_strong_structural","{""matched_rule_id"":""explicit-sports-access"",""budget_item_key"":""2026_general_expenditure_02_03_14"",""identity_fields"":{""display_program_name"":""スポーツ推進基金積立金"",""hierarchy"":[""総務費"",""区民費"",""スポーツ振興費""],""department_display_name"":""スポーツ推進部 スポーツ推進課"",""amount_thousand_yen"":117745},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_14_01_19_01"",""major_program_name"":""スポーツ振興事業費"",""budget_program_name"":""スポーツ推進基金積立金"",""detail_program_name"":""スポーツ推進基金積立金"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9425}],""same_budget_item_other_program_names"":[""スポーツ施設改修工事"",""スポーツ施設整備事務"",""スポーツ施設民間連携等"",""スポーツ推進部庶務事務"",""パラスポーツの推進"",""世田谷区スポーツ振興財団運営助成"",""生涯スポーツの振興"",""千歳温水プール維持運営"",""総合運動場維持運営"",""総合運動場施設整備工事"",""大蔵第二運動公園運動施設維持運営"",""大蔵第二運動公園運動施設整備工事"",""地域・地区スポーツ施設整備工事"",""地域体育施設の維持運営"",""東京２０２０大会レガシーの推進""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_15_01_02_02_52_3445100000"",""revenue_hierarchy"":[""財産収入"",""財産運用収入"",""利子及配当金"",""基金利子"",""スポーツ推進基金""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_16_01_02_01_03_3445100000"",""revenue_hierarchy"":[""寄附金"",""寄附金"",""指定寄附金"",""総務費"",""スポーツ推進基金""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_76_03_3445100000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""大蔵第二運動場利用料金納付金"",""大蔵第二運動場利用料金納付金（基金積立金）""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 一般管理・人件費・基金等よりもtopicとの直接性を優先して非公開"
"bpi_5b5e17d4bf0ae421860a4a84e6885449014212a80ef16bdfb7f96407de2a998c","総合運動場施設整備工事","一般会計","総務費","区民費","スポーツ振興費","スポーツ推進部 スポーツ施設課","108935","スポーツ環境","supports","スポーツ振興費に属し、公式事業名にスポーツ活動、スポーツ施設、運動施設、体育施設またはプールが明記されているため、スポーツに親しめる環境を支える候補とした。","B_strong_structural","{""matched_rule_id"":""explicit-sports-access"",""budget_item_key"":""2026_general_expenditure_02_03_14"",""identity_fields"":{""display_program_name"":""総合運動場施設整備工事"",""hierarchy"":[""総務費"",""区民費"",""スポーツ振興費""],""department_display_name"":""スポーツ推進部 スポーツ施設課"",""amount_thousand_yen"":108935},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_14_01_06_01"",""major_program_name"":""スポーツ振興事業費"",""budget_program_name"":""総合運動場施設整備工事"",""detail_program_name"":""総合運動場施設整備工事"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9431}],""same_budget_item_other_program_names"":[""スポーツ施設改修工事"",""スポーツ施設整備事務"",""スポーツ施設民間連携等"",""スポーツ推進基金積立金"",""スポーツ推進部庶務事務"",""パラスポーツの推進"",""世田谷区スポーツ振興財団運営助成"",""生涯スポーツの振興"",""千歳温水プール維持運営"",""総合運動場維持運営"",""大蔵第二運動公園運動施設維持運営"",""大蔵第二運動公園運動施設整備工事"",""地域・地区スポーツ施設整備工事"",""地域体育施設の維持運営"",""東京２０２０大会レガシーの推進""],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
