"budget_program_identity_id","display_program_name","account_name","kan_name","kou_name","moku_name","department_display_name","amount_thousand_yen","candidate_topic","proposed_relation_type","proposed_explanation","evidence_level","evidence_fields","confidence","review_decision","review_note"
"bpi_11dd0e89051d2e86eaa5aa73df4bc28c38ef95c5893237dd1cd35e227b3f48a5","区議会議員報酬","一般会計","議会費","議会費","議会費","区議会事務局","693041","議会・選挙・監査を通じた自治を支える","supports","公式予算の会計・款・項・目と事業名から「議会・選挙・監査を通じた自治を支える」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""democratic-governance-elections-and-oversight-official-structure"",""budget_item_key"":""2026_general_expenditure_01_01_01"",""identity_fields"":{""display_program_name"":""区議会議員報酬"",""hierarchy"":[""議会費"",""議会費"",""議会費""],""department_display_name"":""区議会事務局"",""amount_thousand_yen"":693041},""member_programs"":[{""program_id"":""2026_general_expenditure_01_01_01_01_01_01"",""major_program_name"":""区議会議員報酬"",""budget_program_name"":""区議会議員報酬"",""detail_program_name"":""区議会議員報酬"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10239}],""same_budget_item_other_program_names"":[""議会活動"",""区議会広報活動""],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_d680262080e7a35a4084457389424a06431167b95b1c10943c554060af90ab00","区議会事務局職員の人件費","一般会計","職員費","職員費","議会職員費","総務部 人事課","244157","議会・選挙・監査を通じた自治を支える","supports","公式予算の会計・款・項・目と事業名から「議会・選挙・監査を通じた自治を支える」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""democratic-governance-elections-and-oversight-official-structure"",""budget_item_key"":""2026_general_expenditure_09_01_01"",""identity_fields"":{""display_program_name"":""区議会事務局職員の人件費"",""hierarchy"":[""職員費"",""職員費"",""議会職員費""],""department_display_name"":""総務部 人事課"",""amount_thousand_yen"":244157},""member_programs"":[{""program_id"":""2026_general_expenditure_09_01_01_01_01_01"",""major_program_name"":""区議会事務局職員の人件費"",""budget_program_name"":""区議会事務局職員の人件費"",""detail_program_name"":""区議会事務局職員の人件費"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9299}],""same_budget_item_other_program_names"":[],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_57a13f31b29af405297fb1b3c6cec0975cd2c3870a34a670d0d325c872039eb9","議会活動","一般会計","議会費","議会費","議会費","区議会事務局","46927","議会・選挙・監査を通じた自治を支える","supports","公式予算の会計・款・項・目と事業名から「議会・選挙・監査を通じた自治を支える」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""democratic-governance-elections-and-oversight-official-structure"",""budget_item_key"":""2026_general_expenditure_01_01_01"",""identity_fields"":{""display_program_name"":""議会活動"",""hierarchy"":[""議会費"",""議会費"",""議会費""],""department_display_name"":""区議会事務局"",""amount_thousand_yen"":46927},""member_programs"":[{""program_id"":""2026_general_expenditure_01_01_01_02_01_01"",""major_program_name"":""区議会運営費"",""budget_program_name"":""議会活動"",""detail_program_name"":""議会活動"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10240}],""same_budget_item_other_program_names"":[""区議会議員報酬"",""区議会広報活動""],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_17048fc3e987346cc2e722e0dc47946b6225edc83ccc46d299c3e17b098e1e6c","区議会議員・区長選挙執行","一般会計","総務費","選挙費","地方選挙費","選挙管理委員会事務局","39624","議会・選挙・監査を通じた自治を支える","supports","公式予算の会計・款・項・目と事業名から「議会・選挙・監査を通じた自治を支える」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""democratic-governance-elections-and-oversight-official-structure"",""budget_item_key"":""2026_general_expenditure_02_07_03"",""identity_fields"":{""display_program_name"":""区議会議員・区長選挙執行"",""hierarchy"":[""総務費"",""選挙費"",""地方選挙費""],""department_display_name"":""選挙管理委員会事務局"",""amount_thousand_yen"":39624},""member_programs"":[{""program_id"":""2026_general_expenditure_02_07_03_01_02_01"",""major_program_name"":""地方選挙執行経費"",""budget_program_name"":""区議会議員・区長選挙執行"",""detail_program_name"":""区議会議員・区長選挙執行"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10245}],""same_budget_item_other_program_names"":[""東京都議会議員選挙執行""],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_86a32a08be06c3b67e6347e816654ab2bc49c7c4b328d291d4017edf5b27af47","区議会広報活動","一般会計","議会費","議会費","議会費","区議会事務局","30585","議会・選挙・監査を通じた自治を支える","supports","公式予算の会計・款・項・目と事業名から「議会・選挙・監査を通じた自治を支える」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""democratic-governance-elections-and-oversight-official-structure"",""budget_item_key"":""2026_general_expenditure_01_01_01"",""identity_fields"":{""display_program_name"":""区議会広報活動"",""hierarchy"":[""議会費"",""議会費"",""議会費""],""department_display_name"":""区議会事務局"",""amount_thousand_yen"":30585},""member_programs"":[{""program_id"":""2026_general_expenditure_01_01_01_02_02_01"",""major_program_name"":""区議会運営費"",""budget_program_name"":""区議会広報活動"",""detail_program_name"":""区議会広報活動"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10241}],""same_budget_item_other_program_names"":[""議会活動"",""区議会議員報酬""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_01_32_16_5105100000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""民生費補助金"",""地域生活支援事業費"",""声の広報（区議会だより）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_37_16_5105100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""地域生活支援事業費"",""声の広報（区議会だより）""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_d118019e7859f74544d6f907a80e95ada54000b9e8522d0db4ea066e98195315","選挙管理委員会委員報酬","一般会計","総務費","選挙費","選挙管理委員会費","選挙管理委員会事務局","12161","議会・選挙・監査を通じた自治を支える","supports","公式予算の会計・款・項・目と事業名から「議会・選挙・監査を通じた自治を支える」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""democratic-governance-elections-and-oversight-official-structure"",""budget_item_key"":""2026_general_expenditure_02_07_01"",""identity_fields"":{""display_program_name"":""選挙管理委員会委員報酬"",""hierarchy"":[""総務費"",""選挙費"",""選挙管理委員会費""],""department_display_name"":""選挙管理委員会事務局"",""amount_thousand_yen"":12161},""member_programs"":[{""program_id"":""2026_general_expenditure_02_07_01_01_01_01"",""major_program_name"":""選挙管理委員会委員報酬"",""budget_program_name"":""選挙管理委員会委員報酬"",""detail_program_name"":""選挙管理委員会委員報酬"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10242}],""same_budget_item_other_program_names"":[""選挙管理委員会庶務事務""],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_2ff2655e95b1b1acbe925432afefaa0d34acb3c850097bda7246e7b25ed4ad40","監査委員報酬","一般会計","総務費","監査委員費","監査委員費","監査事務局","7548","議会・選挙・監査を通じた自治を支える","supports","公式予算の会計・款・項・目と事業名から「議会・選挙・監査を通じた自治を支える」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""democratic-governance-elections-and-oversight-official-structure"",""budget_item_key"":""2026_general_expenditure_02_08_01"",""identity_fields"":{""display_program_name"":""監査委員報酬"",""hierarchy"":[""総務費"",""監査委員費"",""監査委員費""],""department_display_name"":""監査事務局"",""amount_thousand_yen"":7548},""member_programs"":[{""program_id"":""2026_general_expenditure_02_08_01_01_01_01"",""major_program_name"":""監査委員報酬"",""budget_program_name"":""監査委員報酬"",""detail_program_name"":""監査委員報酬"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10249}],""same_budget_item_other_program_names"":[""監査事務""],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_9faca6129a2677adb213677a712aa1321f12aeee9b96c5e770578577928af53c","明るい選挙常時啓発","一般会計","総務費","選挙費","選挙啓発費","選挙管理委員会事務局","3856","議会・選挙・監査を通じた自治を支える","supports","公式予算の会計・款・項・目と事業名から「議会・選挙・監査を通じた自治を支える」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""democratic-governance-elections-and-oversight-official-structure"",""budget_item_key"":""2026_general_expenditure_02_07_02"",""identity_fields"":{""display_program_name"":""明るい選挙常時啓発"",""hierarchy"":[""総務費"",""選挙費"",""選挙啓発費""],""department_display_name"":""選挙管理委員会事務局"",""amount_thousand_yen"":3856},""member_programs"":[{""program_id"":""2026_general_expenditure_02_07_02_01_01_01"",""major_program_name"":""明るい選挙常時啓発費"",""budget_program_name"":""明るい選挙常時啓発"",""detail_program_name"":""明るい選挙常時啓発"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10244}],""same_budget_item_other_program_names"":[],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_50_04_5305100000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""雑入"",""明るい選挙推進協会講師招聘助成金""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_813ac834e967e8bbd9e0034fae798ed3e1c7aa0d3efdfa8c495f863a007d59b4","監査事務","一般会計","総務費","監査委員費","監査委員費","監査事務局","2441","議会・選挙・監査を通じた自治を支える","supports","公式予算の会計・款・項・目と事業名から「議会・選挙・監査を通じた自治を支える」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""democratic-governance-elections-and-oversight-official-structure"",""budget_item_key"":""2026_general_expenditure_02_08_01"",""identity_fields"":{""display_program_name"":""監査事務"",""hierarchy"":[""総務費"",""監査委員費"",""監査委員費""],""department_display_name"":""監査事務局"",""amount_thousand_yen"":2441},""member_programs"":[{""program_id"":""2026_general_expenditure_02_08_01_02_01_01"",""major_program_name"":""監査事務運営費"",""budget_program_name"":""監査事務"",""detail_program_name"":""監査事務"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10250}],""same_budget_item_other_program_names"":[""監査委員報酬""],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_439e3890df431113362da3059e3647bed919d14859df06eacf89f3f8121846bd","選挙管理委員会庶務事務","一般会計","総務費","選挙費","選挙管理委員会費","選挙管理委員会事務局","1621","議会・選挙・監査を通じた自治を支える","supports","公式予算の会計・款・項・目と事業名から「議会・選挙・監査を通じた自治を支える」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""democratic-governance-elections-and-oversight-official-structure"",""budget_item_key"":""2026_general_expenditure_02_07_01"",""identity_fields"":{""display_program_name"":""選挙管理委員会庶務事務"",""hierarchy"":[""総務費"",""選挙費"",""選挙管理委員会費""],""department_display_name"":""選挙管理委員会事務局"",""amount_thousand_yen"":1621},""member_programs"":[{""program_id"":""2026_general_expenditure_02_07_01_02_01_01"",""major_program_name"":""選挙管理委員会事務運営費"",""budget_program_name"":""選挙管理委員会庶務事務"",""detail_program_name"":""選挙管理委員会庶務事務"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10243}],""same_budget_item_other_program_names"":[""選挙管理委員会委員報酬""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_03_01_12_01_5305100000"",""revenue_hierarchy"":[""都支出金"",""都委託金"",""総務費委託金"",""在外選挙人名簿登録費"",""住所地・本籍地登録""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
