"budget_program_identity_id","display_program_name","account_name","kan_name","kou_name","moku_name","department_display_name","amount_thousand_yen","candidate_topic","proposed_relation_type","proposed_explanation","evidence_level","evidence_fields","confidence","review_decision","review_note"
"bpi_8f504f21095b757204bf1b3e5bbf4a4dfaa2349cbd9a0173f1d94db29c99173b","備蓄体制等の整備","一般会計","総務費","区民費","防災対策費","危機管理部 災害対策課","331713","災害への備えと地域防災力の向上","supports","公式の防災対策費に属し、事業名に防災、災害、備蓄または避難が明記されているため、災害への備えを支える強い候補とした。","B_strong_structural","{""matched_rule_id"":""explicit-disaster-readiness"",""budget_item_key"":""2026_general_expenditure_02_03_09"",""identity_fields"":{""display_program_name"":""備蓄体制等の整備"",""hierarchy"":[""総務費"",""区民費"",""防災対策費""],""department_display_name"":""危機管理部 災害対策課"",""amount_thousand_yen"":331713},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_09_01_02_01"",""major_program_name"":""防災対策事業費"",""budget_program_name"":""備蓄体制等の整備"",""detail_program_name"":""備蓄体制等の整備"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9330}],""same_budget_item_other_program_names"":[""危機管理"",""危機管理部庶務事務"",""国民保護法制"",""災害対策・体制の整備"",""災害対策基金積立金"",""災害被災世帯支援"",""情報通信システムの整備"",""地域防災力の向上"",""防災訓練・組織育成（烏山）"",""防災訓練・組織育成（砧）"",""防災訓練・組織育成（玉川）"",""防災訓練・組織育成（世田谷）"",""防災訓練・組織育成（北沢）"",""防災施設管理（烏山）"",""防災施設管理（砧）"",""防災施設管理（玉川）"",""防災施設管理（世田谷）"",""防災施設管理（北沢）"",""防災施設整備"",""防災事業運営（烏山）"",""防災事業運営（砧）"",""防災事業運営（玉川）"",""防災事業運営（世田谷）"",""防災事業運営（北沢）""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_01_58_01_3305300000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""総務費補助金"",""避難所環境整備・災害時トイレ確保等区市町村支援事業"",""避難所環境整備・災害時トイレ確保等区市町村支援事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_05_42_3305300000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""光熱水費等負担金"",""池尻防災施設""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_7839b6f8500a585a8f501e37b44e5089302dafa15ca9089d41e793f16ce43dcd","災害対策・体制の整備","一般会計","総務費","区民費","防災対策費","危機管理部 災害対策課","96127","災害への備えと地域防災力の向上","supports","公式の防災対策費に属し、事業名に防災、災害、備蓄または避難が明記されているため、災害への備えを支える強い候補とした。","B_strong_structural","{""matched_rule_id"":""explicit-disaster-readiness"",""budget_item_key"":""2026_general_expenditure_02_03_09"",""identity_fields"":{""display_program_name"":""災害対策・体制の整備"",""hierarchy"":[""総務費"",""区民費"",""防災対策費""],""department_display_name"":""危機管理部 災害対策課"",""amount_thousand_yen"":96127},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_09_01_04_01"",""major_program_name"":""防災対策事業費"",""budget_program_name"":""災害対策・体制の整備"",""detail_program_name"":""災害対策・体制の整備"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9332}],""same_budget_item_other_program_names"":[""危機管理"",""危機管理部庶務事務"",""国民保護法制"",""災害対策基金積立金"",""災害被災世帯支援"",""情報通信システムの整備"",""地域防災力の向上"",""備蓄体制等の整備"",""防災訓練・組織育成（烏山）"",""防災訓練・組織育成（砧）"",""防災訓練・組織育成（玉川）"",""防災訓練・組織育成（世田谷）"",""防災訓練・組織育成（北沢）"",""防災施設管理（烏山）"",""防災施設管理（砧）"",""防災施設管理（玉川）"",""防災施設管理（世田谷）"",""防災施設管理（北沢）"",""防災施設整備"",""防災事業運営（烏山）"",""防災事業運営（砧）"",""防災事業運営（玉川）"",""防災事業運営（世田谷）"",""防災事業運営（北沢）""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_01_51_02_3305300000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""総務費補助金"",""区市町村災害対応力向上支援事業"",""区市町村災害対応力向上支援事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_17_01_40_01_19_3305300000"",""revenue_hierarchy"":[""繰入金"",""基金繰入金"",""災害対策基金繰入金"",""災害対策基金繰入金"",""災害対策・体制の整備""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_96e596de54b6b29d568d44d5821175e3c41bf04aa7c00a4277caeeab9896451b","防災訓練・組織育成（世田谷）","一般会計","総務費","区民費","防災対策費","世田谷総合支所 地域振興課","42370","災害への備えと地域防災力の向上","supports","公式の防災対策費に属し、事業名に防災、災害、備蓄または避難が明記されているため、災害への備えを支える強い候補とした。","B_strong_structural","{""matched_rule_id"":""explicit-disaster-readiness"",""budget_item_key"":""2026_general_expenditure_02_03_09"",""identity_fields"":{""display_program_name"":""防災訓練・組織育成（世田谷）"",""hierarchy"":[""総務費"",""区民費"",""防災対策費""],""department_display_name"":""世田谷総合支所 地域振興課"",""amount_thousand_yen"":42370},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_09_01_12_01"",""major_program_name"":""防災対策事業費"",""budget_program_name"":""防災訓練・組織育成（世田谷）"",""detail_program_name"":""防災訓練・組織育成（世田谷）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9105}],""same_budget_item_other_program_names"":[""危機管理"",""危機管理部庶務事務"",""国民保護法制"",""災害対策・体制の整備"",""災害対策基金積立金"",""災害被災世帯支援"",""情報通信システムの整備"",""地域防災力の向上"",""備蓄体制等の整備"",""防災訓練・組織育成（烏山）"",""防災訓練・組織育成（砧）"",""防災訓練・組織育成（玉川）"",""防災訓練・組織育成（北沢）"",""防災施設管理（烏山）"",""防災施設管理（砧）"",""防災施設管理（玉川）"",""防災施設管理（世田谷）"",""防災施設管理（北沢）"",""防災施設整備"",""防災事業運営（烏山）"",""防災事業運営（砧）"",""防災事業運営（玉川）"",""防災事業運営（世田谷）"",""防災事業運営（北沢）""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_17_01_40_01_04_2135100000"",""revenue_hierarchy"":[""繰入金"",""基金繰入金"",""災害対策基金繰入金"",""災害対策基金繰入金"",""防災訓練・組織育成（世田谷）""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_c79b279ea3707079251a02baa7d1d001d75ad0b9df9f2bf9c4ff54aea46ecd23","災害対策基金積立金","一般会計","総務費","区民費","防災対策費","危機管理部 災害対策課","30902","災害への備えと地域防災力の向上","supports","公式の防災対策費に属し、事業名に防災、災害、備蓄または避難が明記されているため、災害への備えを支える強い候補とした。","B_strong_structural","{""matched_rule_id"":""explicit-disaster-readiness"",""budget_item_key"":""2026_general_expenditure_02_03_09"",""identity_fields"":{""display_program_name"":""災害対策基金積立金"",""hierarchy"":[""総務費"",""区民費"",""防災対策費""],""department_display_name"":""危機管理部 災害対策課"",""amount_thousand_yen"":30902},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_09_01_27_01"",""major_program_name"":""防災対策事業費"",""budget_program_name"":""災害対策基金積立金"",""detail_program_name"":""災害対策基金積立金"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9335}],""same_budget_item_other_program_names"":[""危機管理"",""危機管理部庶務事務"",""国民保護法制"",""災害対策・体制の整備"",""災害被災世帯支援"",""情報通信システムの整備"",""地域防災力の向上"",""備蓄体制等の整備"",""防災訓練・組織育成（烏山）"",""防災訓練・組織育成（砧）"",""防災訓練・組織育成（玉川）"",""防災訓練・組織育成（世田谷）"",""防災訓練・組織育成（北沢）"",""防災施設管理（烏山）"",""防災施設管理（砧）"",""防災施設管理（玉川）"",""防災施設管理（世田谷）"",""防災施設管理（北沢）"",""防災施設整備"",""防災事業運営（烏山）"",""防災事業運営（砧）"",""防災事業運営（玉川）"",""防災事業運営（世田谷）"",""防災事業運営（北沢）""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_15_01_02_02_48_3305300000"",""revenue_hierarchy"":[""財産収入"",""財産運用収入"",""利子及配当金"",""基金利子"",""災害対策基金""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_16_01_02_01_19_3305300000"",""revenue_hierarchy"":[""寄附金"",""寄附金"",""指定寄附金"",""総務費"",""災害対策基金""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_0c4a3ace3ada8a5633e551112ccb07f46a106fd55921ceb223426b83e77ea60e","防災訓練・組織育成（北沢）","一般会計","総務費","区民費","防災対策費","北沢総合支所 地域振興課","25501","災害への備えと地域防災力の向上","supports","公式の防災対策費に属し、事業名に防災、災害、備蓄または避難が明記されているため、災害への備えを支える強い候補とした。","B_strong_structural","{""matched_rule_id"":""explicit-disaster-readiness"",""budget_item_key"":""2026_general_expenditure_02_03_09"",""identity_fields"":{""display_program_name"":""防災訓練・組織育成（北沢）"",""hierarchy"":[""総務費"",""区民費"",""防災対策費""],""department_display_name"":""北沢総合支所 地域振興課"",""amount_thousand_yen"":25501},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_09_01_13_01"",""major_program_name"":""防災対策事業費"",""budget_program_name"":""防災訓練・組織育成（北沢）"",""detail_program_name"":""防災訓練・組織育成（北沢）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9138}],""same_budget_item_other_program_names"":[""危機管理"",""危機管理部庶務事務"",""国民保護法制"",""災害対策・体制の整備"",""災害対策基金積立金"",""災害被災世帯支援"",""情報通信システムの整備"",""地域防災力の向上"",""備蓄体制等の整備"",""防災訓練・組織育成（烏山）"",""防災訓練・組織育成（砧）"",""防災訓練・組織育成（玉川）"",""防災訓練・組織育成（世田谷）"",""防災施設管理（烏山）"",""防災施設管理（砧）"",""防災施設管理（玉川）"",""防災施設管理（世田谷）"",""防災施設管理（北沢）"",""防災施設整備"",""防災事業運営（烏山）"",""防災事業運営（砧）"",""防災事業運営（玉川）"",""防災事業運営（世田谷）"",""防災事業運営（北沢）""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_17_01_40_01_06_2235100000"",""revenue_hierarchy"":[""繰入金"",""基金繰入金"",""災害対策基金繰入金"",""災害対策基金繰入金"",""防災訓練・組織育成（北沢）""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_c9d9f50be494c92f2a13de6a640cf464ff543aba327d656e1e1eb19e6adfe51b","防災訓練・組織育成（砧）","一般会計","総務費","区民費","防災対策費","砧総合支所 地域振興課","23400","災害への備えと地域防災力の向上","supports","公式の防災対策費に属し、事業名に防災、災害、備蓄または避難が明記されているため、災害への備えを支える強い候補とした。","B_strong_structural","{""matched_rule_id"":""explicit-disaster-readiness"",""budget_item_key"":""2026_general_expenditure_02_03_09"",""identity_fields"":{""display_program_name"":""防災訓練・組織育成（砧）"",""hierarchy"":[""総務費"",""区民費"",""防災対策費""],""department_display_name"":""砧総合支所 地域振興課"",""amount_thousand_yen"":23400},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_09_01_15_01"",""major_program_name"":""防災対策事業費"",""budget_program_name"":""防災訓練・組織育成（砧）"",""detail_program_name"":""防災訓練・組織育成（砧）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9199}],""same_budget_item_other_program_names"":[""危機管理"",""危機管理部庶務事務"",""国民保護法制"",""災害対策・体制の整備"",""災害対策基金積立金"",""災害被災世帯支援"",""情報通信システムの整備"",""地域防災力の向上"",""備蓄体制等の整備"",""防災訓練・組織育成（烏山）"",""防災訓練・組織育成（玉川）"",""防災訓練・組織育成（世田谷）"",""防災訓練・組織育成（北沢）"",""防災施設管理（烏山）"",""防災施設管理（砧）"",""防災施設管理（玉川）"",""防災施設管理（世田谷）"",""防災施設管理（北沢）"",""防災施設整備"",""防災事業運営（烏山）"",""防災事業運営（砧）"",""防災事業運営（玉川）"",""防災事業運営（世田谷）"",""防災事業運営（北沢）""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_17_01_40_01_12_2435100000"",""revenue_hierarchy"":[""繰入金"",""基金繰入金"",""災害対策基金繰入金"",""災害対策基金繰入金"",""防災訓練・組織育成（砧）""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_069b912bf37d2594d258a2546cf4860345efe78bfb07043f3da56d56dd11664e","防災施設整備","一般会計","総務費","区民費","防災対策費","危機管理部 災害対策課","23007","災害への備えと地域防災力の向上","supports","公式の防災対策費に属し、事業名に防災、災害、備蓄または避難が明記されているため、災害への備えを支える強い候補とした。","B_strong_structural","{""matched_rule_id"":""explicit-disaster-readiness"",""budget_item_key"":""2026_general_expenditure_02_03_09"",""identity_fields"":{""display_program_name"":""防災施設整備"",""hierarchy"":[""総務費"",""区民費"",""防災対策費""],""department_display_name"":""危機管理部 災害対策課"",""amount_thousand_yen"":23007},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_09_01_25_01"",""major_program_name"":""防災対策事業費"",""budget_program_name"":""防災施設整備"",""detail_program_name"":""防災施設整備"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9334}],""same_budget_item_other_program_names"":[""危機管理"",""危機管理部庶務事務"",""国民保護法制"",""災害対策・体制の整備"",""災害対策基金積立金"",""災害被災世帯支援"",""情報通信システムの整備"",""地域防災力の向上"",""備蓄体制等の整備"",""防災訓練・組織育成（烏山）"",""防災訓練・組織育成（砧）"",""防災訓練・組織育成（玉川）"",""防災訓練・組織育成（世田谷）"",""防災訓練・組織育成（北沢）"",""防災施設管理（烏山）"",""防災施設管理（砧）"",""防災施設管理（玉川）"",""防災施設管理（世田谷）"",""防災施設管理（北沢）"",""防災事業運営（烏山）"",""防災事業運営（砧）"",""防災事業運営（玉川）"",""防災事業運営（世田谷）"",""防災事業運営（北沢）""],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_8b8bda6f0259a10152f7918119e9fa4ad81b70d5ddd61ffad612d090312946ef","防災訓練・組織育成（玉川）","一般会計","総務費","区民費","防災対策費","玉川総合支所 地域振興課","20611","災害への備えと地域防災力の向上","supports","公式の防災対策費に属し、事業名に防災、災害、備蓄または避難が明記されているため、災害への備えを支える強い候補とした。","B_strong_structural","{""matched_rule_id"":""explicit-disaster-readiness"",""budget_item_key"":""2026_general_expenditure_02_03_09"",""identity_fields"":{""display_program_name"":""防災訓練・組織育成（玉川）"",""hierarchy"":[""総務費"",""区民費"",""防災対策費""],""department_display_name"":""玉川総合支所 地域振興課"",""amount_thousand_yen"":20611},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_09_01_14_01"",""major_program_name"":""防災対策事業費"",""budget_program_name"":""防災訓練・組織育成（玉川）"",""detail_program_name"":""防災訓練・組織育成（玉川）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9169}],""same_budget_item_other_program_names"":[""危機管理"",""危機管理部庶務事務"",""国民保護法制"",""災害対策・体制の整備"",""災害対策基金積立金"",""災害被災世帯支援"",""情報通信システムの整備"",""地域防災力の向上"",""備蓄体制等の整備"",""防災訓練・組織育成（烏山）"",""防災訓練・組織育成（砧）"",""防災訓練・組織育成（世田谷）"",""防災訓練・組織育成（北沢）"",""防災施設管理（烏山）"",""防災施設管理（砧）"",""防災施設管理（玉川）"",""防災施設管理（世田谷）"",""防災施設管理（北沢）"",""防災施設整備"",""防災事業運営（烏山）"",""防災事業運営（砧）"",""防災事業運営（玉川）"",""防災事業運営（世田谷）"",""防災事業運営（北沢）""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_17_01_40_01_08_2335100000"",""revenue_hierarchy"":[""繰入金"",""基金繰入金"",""災害対策基金繰入金"",""災害対策基金繰入金"",""防災訓練・組織育成（玉川）""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_5ccdd144b5ae35d35a2d28d4af843dc6d0a0695e3f05c25ce154ef0ddcbbb2ec","防災施設管理（世田谷）","一般会計","総務費","区民費","防災対策費","世田谷総合支所 地域振興課","19150","災害への備えと地域防災力の向上","supports","公式の防災対策費に属し、事業名に防災、災害、備蓄または避難が明記されているため、災害への備えを支える強い候補とした。","B_strong_structural","{""matched_rule_id"":""explicit-disaster-readiness"",""budget_item_key"":""2026_general_expenditure_02_03_09"",""identity_fields"":{""display_program_name"":""防災施設管理（世田谷）"",""hierarchy"":[""総務費"",""区民費"",""防災対策費""],""department_display_name"":""世田谷総合支所 地域振興課"",""amount_thousand_yen"":19150},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_09_01_17_01"",""major_program_name"":""防災対策事業費"",""budget_program_name"":""防災施設管理（世田谷）"",""detail_program_name"":""防災施設管理（世田谷）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9106}],""same_budget_item_other_program_names"":[""危機管理"",""危機管理部庶務事務"",""国民保護法制"",""災害対策・体制の整備"",""災害対策基金積立金"",""災害被災世帯支援"",""情報通信システムの整備"",""地域防災力の向上"",""備蓄体制等の整備"",""防災訓練・組織育成（烏山）"",""防災訓練・組織育成（砧）"",""防災訓練・組織育成（玉川）"",""防災訓練・組織育成（世田谷）"",""防災訓練・組織育成（北沢）"",""防災施設管理（烏山）"",""防災施設管理（砧）"",""防災施設管理（玉川）"",""防災施設管理（北沢）"",""防災施設整備"",""防災事業運営（烏山）"",""防災事業運営（砧）"",""防災事業運営（玉川）"",""防災事業運営（世田谷）"",""防災事業運営（北沢）""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_17_01_40_01_05_2135100000"",""revenue_hierarchy"":[""繰入金"",""基金繰入金"",""災害対策基金繰入金"",""災害対策基金繰入金"",""防災施設管理（世田谷）""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_3ff96aacd9c988995f515ae32e1874bfdaae564095e34e1296257913b068b895","防災訓練・組織育成（烏山）","一般会計","総務費","区民費","防災対策費","烏山総合支所 地域振興課","17527","災害への備えと地域防災力の向上","supports","公式の防災対策費に属し、事業名に防災、災害、備蓄または避難が明記されているため、災害への備えを支える強い候補とした。","B_strong_structural","{""matched_rule_id"":""explicit-disaster-readiness"",""budget_item_key"":""2026_general_expenditure_02_03_09"",""identity_fields"":{""display_program_name"":""防災訓練・組織育成（烏山）"",""hierarchy"":[""総務費"",""区民費"",""防災対策費""],""department_display_name"":""烏山総合支所 地域振興課"",""amount_thousand_yen"":17527},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_09_01_16_01"",""major_program_name"":""防災対策事業費"",""budget_program_name"":""防災訓練・組織育成（烏山）"",""detail_program_name"":""防災訓練・組織育成（烏山）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9230}],""same_budget_item_other_program_names"":[""危機管理"",""危機管理部庶務事務"",""国民保護法制"",""災害対策・体制の整備"",""災害対策基金積立金"",""災害被災世帯支援"",""情報通信システムの整備"",""地域防災力の向上"",""備蓄体制等の整備"",""防災訓練・組織育成（砧）"",""防災訓練・組織育成（玉川）"",""防災訓練・組織育成（世田谷）"",""防災訓練・組織育成（北沢）"",""防災施設管理（烏山）"",""防災施設管理（砧）"",""防災施設管理（玉川）"",""防災施設管理（世田谷）"",""防災施設管理（北沢）"",""防災施設整備"",""防災事業運営（烏山）"",""防災事業運営（砧）"",""防災事業運営（玉川）"",""防災事業運営（世田谷）"",""防災事業運営（北沢）""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_17_01_40_01_14_2535100000"",""revenue_hierarchy"":[""繰入金"",""基金繰入金"",""災害対策基金繰入金"",""災害対策基金繰入金"",""防災訓練・組織育成（烏山）""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
