"budget_program_identity_id","display_program_name","account_name","kan_name","kou_name","moku_name","department_display_name","amount_thousand_yen","candidate_topic","proposed_relation_type","proposed_explanation","evidence_level","evidence_fields","confidence","review_decision","review_note"
"bpi_b55e51de6d41c9f9e2302349c0f7a11790df1cb4835ebe1c8990b0dd44d25850","会計年度任用職員の人件費（教育委員会事務局）","一般会計","職員費","職員費","教育職員費","教育委員会事務局 教育総務課","6478119","教育・学びを支える行政","supports","公式予算の職員費で教育職員費または学校職員費に属するため、教育・学びに関する行政機能を支える予算事業として整理した。","B_strong_structural","{""matched_rule_id"":""education-staff-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_09_01_08"",""identity_fields"":{""display_program_name"":""会計年度任用職員の人件費（教育委員会事務局）"",""hierarchy"":[""職員費"",""職員費"",""教育職員費""],""department_display_name"":""教育委員会事務局 教育総務課"",""amount_thousand_yen"":6478119},""member_programs"":[{""program_id"":""2026_general_expenditure_09_01_08_01_04_01"",""major_program_name"":""教育関係事務従事職員の人件費"",""budget_program_name"":""会計年度任用職員の人件費（教育委員会事務局）"",""detail_program_name"":""会計年度任用職員の人件費（教育委員会事務局）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10080},{""program_id"":""2026_general_expenditure_09_01_08_01_07_01"",""major_program_name"":""教育関係事務従事職員の人件費"",""budget_program_name"":""会計年度任用職員の人件費（教育委員会事務局）"",""detail_program_name"":""会計年度任用職員の人件費（教育委員会事務局）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10081},{""program_id"":""2026_general_expenditure_09_01_08_01_08_01"",""major_program_name"":""教育関係事務従事職員の人件費"",""budget_program_name"":""会計年度任用職員の人件費（教育委員会事務局）"",""detail_program_name"":""会計年度任用職員の人件費（教育委員会事務局）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10082},{""program_id"":""2026_general_expenditure_09_01_08_01_09_01"",""major_program_name"":""教育関係事務従事職員の人件費"",""budget_program_name"":""会計年度任用職員の人件費（教育委員会事務局）"",""detail_program_name"":""会計年度任用職員の人件費（教育委員会事務局）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10083},{""program_id"":""2026_general_expenditure_09_01_08_01_10_01"",""major_program_name"":""教育関係事務従事職員の人件費"",""budget_program_name"":""会計年度任用職員の人件費（教育委員会事務局）"",""detail_program_name"":""会計年度任用職員の人件費（教育委員会事務局）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10084}],""same_budget_item_other_program_names"":[""教育関係事務従事職員の人件費""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_01_54_44_4960100000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""民生費補助金"",""地域子ども・子育て支援事業"",""一時預かり事業（区立幼稚園）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_13_02_01_54_45_4960100000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""民生費補助金"",""地域子ども・子育て支援事業"",""放課後児童健全育成事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_13_02_05_25_06_4960100000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""教育費補助金"",""教育支援体制整備事業費補助金"",""インクルーシブ教育システム推進事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_92_44_4960100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""地域子ども・子育て支援事業"",""一時預かり事業（区立幼稚園）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_92_45_4960100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""地域子ども・子育て支援事業"",""放課後児童健全育成事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_07_09_02_4960100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""教育費補助金"",""放課後子どもプラン"",""放課後子どもプラン""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_07_15_07_4960100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""教育費補助金"",""スクールソーシャルワーカー活用事業費"",""スクールソーシャルワーカー活用事業費""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_07_15_10_4960100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""教育費補助金"",""スクールソーシャルワーカー活用事業費"",""スクールソーシャルワーカー活用事業費""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_07_15_11_4960100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""教育費補助金"",""スクールソーシャルワーカー活用事業費"",""スクールソーシャルワーカー活用事業費""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_07_31_02_4960100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""教育費補助金"",""スクール・サポート・スタッフ配置支援事業補助金"",""スクール・サポート・スタッフ配置支援事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_07_53_01_4960100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""教育費補助金"",""学校マネジメント強化事業"",""副校長補佐の配置""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_07_59_01_4960100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""教育費補助金"",""東京都公立小・中学校インクルーシブ教育支援員配置補助事業"",""東京都公立小・中学校インクルーシブ教育支援員配置補助事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_07_65_03_4960100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""教育費補助金"",""東京都教育支援体制整備事業費補助金"",""帰国・外国人児童生徒等に対するきめ細かな支援事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_03_07_08_07_4960100000"",""revenue_hierarchy"":[""都支出金"",""都委託金"",""教育費委託金"",""会計年度任用職員報酬"",""小学校費""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_03_07_08_08_4960100000"",""revenue_hierarchy"":[""都支出金"",""都委託金"",""教育費委託金"",""会計年度任用職員報酬"",""中学校費""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_04_06_07_4960100000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""納付金"",""納付金（３）"",""会計年度任用職員社会保険料（教育委員会事務局）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_04_06_56_4960100000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""納付金"",""納付金（３）"",""会計年度任用職員社会保険料（教育委員会事務局）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_04_06_58_4960100000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""納付金"",""納付金（３）"",""会計年度任用職員社会保険料（教育委員会事務局）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_04_06_59_4960100000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""納付金"",""納付金（３）"",""会計年度任用職員社会保険料（教育委員会事務局）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_04_06_60_4960100000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""納付金"",""納付金（３）"",""会計年度任用職員社会保険料（教育委員会事務局）""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_2f71dc6a1bb24ac902f856df671525cbb761e76677a2a03d90602f612dfd5f0a","学校給食事務運営","一般会計","教育費","学校給食管理費","学校給食管理費","教育委員会事務局 学校健康推進課","4483774","教育・学びを支える行政","supports","公式予算で教育費に属するため、教育・学びに関する行政機能を支える予算事業として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""education-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_08_08_01"",""identity_fields"":{""display_program_name"":""学校給食事務運営"",""hierarchy"":[""教育費"",""学校給食管理費"",""学校給食管理費""],""department_display_name"":""教育委員会事務局 学校健康推進課"",""amount_thousand_yen"":4483774},""member_programs"":[{""program_id"":""2026_general_expenditure_08_08_01_01_05_01"",""major_program_name"":""学校給食管理費"",""budget_program_name"":""学校給食事務運営"",""detail_program_name"":""学校給食事務運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10112}],""same_budget_item_other_program_names"":[""学校給食費収納事務"",""学校給食保護者負担軽減事務"",""小学校給食維持運営"",""中学校給食維持運営"",""調理場維持運営"",""調理場施設整備工事""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_07_54_07_4960150000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""教育費補助金"",""学校給食費支援事業"",""学校給食費支援事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_03_14_01_4960150000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""賄収入"",""学校給食"",""学校給食費賄収入""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_ade86719922583315962d30cd076758c8266300b40233adc94c7fb2a1e3e721e","中学校改築工事","一般会計","教育費","中学校費","学校施設建設費","教育委員会事務局 教育環境課","4210841","教育・学びを支える行政","supports","公式予算で教育費に属するため、教育・学びに関する行政機能を支える予算事業として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""education-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_08_03_09"",""identity_fields"":{""display_program_name"":""中学校改築工事"",""hierarchy"":[""教育費"",""中学校費"",""学校施設建設費""],""department_display_name"":""教育委員会事務局 教育環境課"",""amount_thousand_yen"":4210841},""member_programs"":[{""program_id"":""2026_general_expenditure_08_03_09_01_02_01"",""major_program_name"":""中学校校舎・体育館・プール建設費"",""budget_program_name"":""中学校改築工事"",""detail_program_name"":""中学校改築工事"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10128}],""same_budget_item_other_program_names"":[""義務教育施設整備基金積立金"",""中学校改築事務""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_05_22_09_4960160000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""教育費補助金"",""学校施設環境改善交付金"",""中学校改築""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_13_02_05_22_11_4960160000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""教育費補助金"",""学校施設環境改善交付金"",""中学校改築（学校水泳プール）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_17_01_06_01_10_4960160000"",""revenue_hierarchy"":[""繰入金"",""基金繰入金"",""義務教育施設整備基金繰入金"",""義務教育"",""中学校""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_20_01_04_01_04_4960160000"",""revenue_hierarchy"":[""特別区債"",""特別区債"",""教育債"",""学校建設費"",""中学校改築工事""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_664c16372df8ae4f31a48c463cd71931b75ca32f30231fdddb8ee05bdbfb3d1b","小学校施設改修工事","一般会計","教育費","小学校費","学校施設充実費","教育委員会事務局 教育環境課","4140518","教育・学びを支える行政","supports","公式予算で教育費に属するため、教育・学びに関する行政機能を支える予算事業として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""education-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_08_02_06"",""identity_fields"":{""display_program_name"":""小学校施設改修工事"",""hierarchy"":[""教育費"",""小学校費"",""学校施設充実費""],""department_display_name"":""教育委員会事務局 教育環境課"",""amount_thousand_yen"":4140518},""member_programs"":[{""program_id"":""2026_general_expenditure_08_02_06_01_02_01"",""major_program_name"":""校舎校庭等施設整備･充実費"",""budget_program_name"":""小学校施設改修工事"",""detail_program_name"":""小学校施設改修工事"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10118}],""same_budget_item_other_program_names"":[""小学校施設改修事務"",""小学校施設整備事業""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_05_22_15_4960160000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""教育費補助金"",""学校施設環境改善交付金"",""小学校改修（大規模改造）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_13_02_05_22_20_4960160000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""教育費補助金"",""学校施設環境改善交付金"",""小学校改修（防災機能強化）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_07_64_01_4960160000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""教育費補助金"",""公立学校施設防災機能強化支援事業補助金"",""小学校（防災機能強化）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_17_01_06_01_11_4960160000"",""revenue_hierarchy"":[""繰入金"",""基金繰入金"",""義務教育施設整備基金繰入金"",""義務教育"",""小学校（施設改修）""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_d217e916810a3cb94e8650936067abad934f1d4c33f5779441597cc79cb69555","教育関係事務従事職員の人件費","一般会計","職員費","職員費","教育職員費","総務部 人事課","3327572","教育・学びを支える行政","supports","公式予算の職員費で教育職員費または学校職員費に属するため、教育・学びに関する行政機能を支える予算事業として整理した。","B_strong_structural","{""matched_rule_id"":""education-staff-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_09_01_08"",""identity_fields"":{""display_program_name"":""教育関係事務従事職員の人件費"",""hierarchy"":[""職員費"",""職員費"",""教育職員費""],""department_display_name"":""総務部 人事課"",""amount_thousand_yen"":3327572},""member_programs"":[{""program_id"":""2026_general_expenditure_09_01_08_01_01_01"",""major_program_name"":""教育関係事務従事職員の人件費"",""budget_program_name"":""教育関係事務従事職員の人件費"",""detail_program_name"":""教育関係事務従事職員の人件費"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9307}],""same_budget_item_other_program_names"":[""会計年度任用職員の人件費（教育委員会事務局）""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_06_02_02_4985400000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""教育使用料"",""幼稚園"",""幼稚園預かり保育料""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_04_01_29_3205500000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""納付金"",""納付金"",""再任用職員社会保険料（教育）""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_bdf5952754017d246f8fee1bd0e38ed3fbfa7a8fc3db9fb43bfa7b9fb97c0e9e","小学校維持管理","一般会計","教育費","小学校費","学校管理費","教育委員会事務局 教育環境課","3207961","教育・学びを支える行政","supports","公式予算で教育費に属するため、教育・学びに関する行政機能を支える予算事業として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""education-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_08_02_01"",""identity_fields"":{""display_program_name"":""小学校維持管理"",""hierarchy"":[""教育費"",""小学校費"",""学校管理費""],""department_display_name"":""教育委員会事務局 教育環境課"",""amount_thousand_yen"":3207961},""member_programs"":[{""program_id"":""2026_general_expenditure_08_02_01_01_02_01"",""major_program_name"":""小学校維持運営費"",""budget_program_name"":""小学校維持管理"",""detail_program_name"":""小学校維持管理"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10116}],""same_budget_item_other_program_names"":[""小学校維持運営"",""小学校管理運営"",""小学校特別支援学級運営"",""通学路安全対策""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_06_01_01_4960160000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""教育使用料"",""学校施設"",""小学校""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_15_01_01_03_44_4960160000"",""revenue_hierarchy"":[""財産収入"",""財産運用収入"",""財産貸付収入"",""建物貸付"",""小学校""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_910a35cc9e5e73b00e129e16cf76f5c607cd9536b554e7462642aefcd5ac5487","小学校給食維持運営","一般会計","教育費","学校給食管理費","学校給食管理費","教育委員会事務局 学校健康推進課","3163729","教育・学びを支える行政","supports","公式予算で教育費に属するため、教育・学びに関する行政機能を支える予算事業として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""education-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_08_08_01"",""identity_fields"":{""display_program_name"":""小学校給食維持運営"",""hierarchy"":[""教育費"",""学校給食管理費"",""学校給食管理費""],""department_display_name"":""教育委員会事務局 学校健康推進課"",""amount_thousand_yen"":3163729},""member_programs"":[{""program_id"":""2026_general_expenditure_08_08_01_01_01_01"",""major_program_name"":""学校給食管理費"",""budget_program_name"":""小学校給食維持運営"",""detail_program_name"":""小学校給食維持運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10108}],""same_budget_item_other_program_names"":[""学校給食事務運営"",""学校給食費収納事務"",""学校給食保護者負担軽減事務"",""中学校給食維持運営"",""調理場維持運営"",""調理場施設整備工事""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_07_54_05_4960150000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""教育費補助金"",""学校給食費支援事業"",""学校給食費支援事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_15_38_4960150000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""リサイクル資源売払金"",""廃食用油回収事業（給食）""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_99ed3cb8df164fc0a25f1dccdc23b862b739384d9943072616bf4712cb9fb1a2","中学校施設改修工事","一般会計","教育費","中学校費","学校施設充実費","教育委員会事務局 教育環境課","2173450","教育・学びを支える行政","supports","公式予算で教育費に属するため、教育・学びに関する行政機能を支える予算事業として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""education-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_08_03_05"",""identity_fields"":{""display_program_name"":""中学校施設改修工事"",""hierarchy"":[""教育費"",""中学校費"",""学校施設充実費""],""department_display_name"":""教育委員会事務局 教育環境課"",""amount_thousand_yen"":2173450},""member_programs"":[{""program_id"":""2026_general_expenditure_08_03_05_01_02_01"",""major_program_name"":""校舎校庭等施設整備･充実費"",""budget_program_name"":""中学校施設改修工事"",""detail_program_name"":""中学校施設改修工事"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10125}],""same_budget_item_other_program_names"":[""中学校施設改修事務"",""中学校施設整備事業""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_05_22_16_4960160000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""教育費補助金"",""学校施設環境改善交付金"",""中学校改修（大規模改造）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_13_02_05_22_23_4960160000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""教育費補助金"",""学校施設環境改善交付金"",""中学校改修（防災機能強化）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_07_64_02_4960160000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""教育費補助金"",""公立学校施設防災機能強化支援事業補助金"",""中学校（防災機能強化）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_17_01_06_01_12_4960160000"",""revenue_hierarchy"":[""繰入金"",""基金繰入金"",""義務教育施設整備基金繰入金"",""義務教育"",""中学校（施設改修）""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_49a233fff89b928698cde2646a26714688b14453a74bacc47c93d311057dea67","学校関係事務従事職員の人件費","一般会計","職員費","職員費","学校職員費","教育委員会事務局 学校職員課","1887388","教育・学びを支える行政","supports","公式予算の職員費で教育職員費または学校職員費に属するため、教育・学びに関する行政機能を支える予算事業として整理した。","B_strong_structural","{""matched_rule_id"":""education-staff-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_09_01_09"",""identity_fields"":{""display_program_name"":""学校関係事務従事職員の人件費"",""hierarchy"":[""職員費"",""職員費"",""学校職員費""],""department_display_name"":""教育委員会事務局 学校職員課"",""amount_thousand_yen"":1887388},""member_programs"":[{""program_id"":""2026_general_expenditure_09_01_09_01_01_01"",""major_program_name"":""学校関係事務従事職員の人件費"",""budget_program_name"":""学校関係事務従事職員の人件費"",""detail_program_name"":""学校関係事務従事職員の人件費"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10180}],""same_budget_item_other_program_names"":[""学校関係事務従事職員の人件費""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_19_06_04_01_69_4975100000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""納付金"",""納付金"",""再任用職員社会保険料""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_7fc474cb88c61f73194838556c1c41e8ecf1b4f938492a04fb780e0b86e8deb2","私立幼稚園施設等利用給付","一般会計","教育費","教育総務費","教育振興費","子ども・若者部 子ども・若者支援課","1647359","教育・学びを支える行政","supports","公式予算で教育費に属するため、教育・学びに関する行政機能を支える予算事業として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""education-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_08_01_04"",""identity_fields"":{""display_program_name"":""私立幼稚園施設等利用給付"",""hierarchy"":[""教育費"",""教育総務費"",""教育振興費""],""department_display_name"":""子ども・若者部 子ども・若者支援課"",""amount_thousand_yen"":1647359},""member_programs"":[{""program_id"":""2026_general_expenditure_08_01_04_02_01_01"",""major_program_name"":""幼稚園施設等利用給付費"",""budget_program_name"":""私立幼稚園施設等利用給付"",""detail_program_name"":""私立幼稚園施設等利用給付"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9797}],""same_budget_item_other_program_names"":[],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_01_01_40_08_3665150000"",""revenue_hierarchy"":[""国庫支出金"",""国庫負担金"",""民生費負担金"",""子育てのための施設等利用給付交付金"",""私立幼稚園""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_01_01_33_08_3665150000"",""revenue_hierarchy"":[""都支出金"",""都負担金"",""民生費負担金"",""子育てのための施設等利用給付交付金"",""私立幼稚園""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
