"budget_program_identity_id","display_program_name","account_name","kan_name","kou_name","moku_name","department_display_name","amount_thousand_yen","candidate_topic","proposed_relation_type","proposed_explanation","evidence_level","evidence_fields","confidence","review_decision","review_note"
"bpi_664c16372df8ae4f31a48c463cd71931b75ca32f30231fdddb8ee05bdbfb3d1b","小学校施設改修工事","一般会計","教育費","小学校費","学校施設充実費","教育委員会事務局 教育環境課","4140518","学校施設の老朽化への対応","responds_to","事業名に「施設改修工事」、大事業名に「校舎校庭等施設整備・充実費」とあり、教育費／小学校費／学校施設充実費に属するため、学校施設の老朽化への対応と構造的に強く関連する候補とした。老朽化を目的とすること自体は公開7ファイルに明記されていないため、人間レビューを要する。","B_strong_structural","{""budget_item_key"":""2026_general_expenditure_08_02_06"",""identity_fields"":{""display_program_name"":""小学校施設改修工事"",""hierarchy"":[""教育費"",""小学校費"",""学校施設充実費""],""department_display_name"":""教育委員会事務局 教育環境課"",""amount_thousand_yen"":4140518},""member_programs"":[{""program_id"":""2026_general_expenditure_08_02_06_01_02_01"",""major_program_name"":""校舎校庭等施設整備･充実費"",""budget_program_name"":""小学校施設改修工事"",""detail_program_name"":""小学校施設改修工事"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10118}],""same_budget_item_other_program_names"":[""小学校施設改修事務"",""小学校施設整備事業""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_05_22_15_4960160000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""教育費補助金"",""学校施設環境改善交付金"",""小学校改修（大規模改造）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_13_02_05_22_20_4960160000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""教育費補助金"",""学校施設環境改善交付金"",""小学校改修（防災機能強化）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_07_64_01_4960160000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""教育費補助金"",""公立学校施設防災機能強化支援事業補助金"",""小学校（防災機能強化）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_17_01_06_01_11_4960160000"",""revenue_hierarchy"":[""繰入金"",""基金繰入金"",""義務教育施設整備基金繰入金"",""義務教育"",""小学校（施設改修）""],""amount_attribution_status"":""not_available""}]}","high","approve","2026-07-30 チャットレビューで、課題との関係候補を承認"
"bpi_8b7a3201ee363df3d910a851e7b8307c09aad8d8a205857c9d88ffeb7a51ce47","小学校施設改修事務","一般会計","教育費","小学校費","学校施設充実費","教育委員会事務局 教育環境課","57001","学校施設の老朽化への対応","enables","事業名に「施設改修事務」、大事業名に「校舎校庭等施設整備・充実費」とあり、教育費／小学校費／学校施設充実費に属するため、施設改修を実施可能にする関係候補とした。老朽化を目的とすること自体は公開7ファイルに明記されていないため、人間レビューを要する。","B_strong_structural","{""budget_item_key"":""2026_general_expenditure_08_02_06"",""identity_fields"":{""display_program_name"":""小学校施設改修事務"",""hierarchy"":[""教育費"",""小学校費"",""学校施設充実費""],""department_display_name"":""教育委員会事務局 教育環境課"",""amount_thousand_yen"":57001},""member_programs"":[{""program_id"":""2026_general_expenditure_08_02_06_01_03_01"",""major_program_name"":""校舎校庭等施設整備･充実費"",""budget_program_name"":""小学校施設改修事務"",""detail_program_name"":""小学校施設改修事務"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10119}],""same_budget_item_other_program_names"":[""小学校施設改修工事"",""小学校施設整備事業""],""related_revenues"":[]}","high","approve","2026-07-30 チャットレビューで、課題との関係候補を承認"
"bpi_727b1b52685ea49b8c24660ff6cbcf9bc9d1f95a9177ffd8b73eed151bdd871a","小学校施設整備事業","一般会計","教育費","小学校費","学校施設充実費","教育委員会事務局 教育環境課","230835","学校施設の老朽化への対応","supports","事業名に「施設整備事業」、大事業名に「校舎校庭等施設整備・充実費」とあり、教育費／小学校費／学校施設充実費に属するため、学校施設の整備を支える関係候補とした。整備目的が老朽化対応かは公開7ファイルだけでは確定できないため、人間レビューを要する。","B_strong_structural","{""budget_item_key"":""2026_general_expenditure_08_02_06"",""identity_fields"":{""display_program_name"":""小学校施設整備事業"",""hierarchy"":[""教育費"",""小学校費"",""学校施設充実費""],""department_display_name"":""教育委員会事務局 教育環境課"",""amount_thousand_yen"":230835},""member_programs"":[{""program_id"":""2026_general_expenditure_08_02_06_01_01_01"",""major_program_name"":""校舎校庭等施設整備･充実費"",""budget_program_name"":""小学校施設整備事業"",""detail_program_name"":""小学校施設整備事業"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10117}],""same_budget_item_other_program_names"":[""小学校施設改修事務"",""小学校施設改修工事""],""related_revenues"":[]}","high","approve","2026-07-30 チャットレビューで、課題との関係候補を承認"
"bpi_e01048bab09dca8ac69b46b753ca6831831da04e8d8641dc54d8dc6e4f5f505a","小学校改築工事","一般会計","教育費","小学校費","学校施設建設費","教育委員会事務局 教育環境課","1517614","学校施設の老朽化への対応","responds_to","事業名に「改築工事」、大事業名に校舎・体育館・プールの建設費が明記され、教育費／小学校費／学校施設建設費に属するため、学校施設の老朽化への対応と構造的に強く関連する候補とした。個別の改築理由は公開7ファイルだけでは確定できないため、人間レビューを要する。","B_strong_structural","{""budget_item_key"":""2026_general_expenditure_08_02_10"",""identity_fields"":{""display_program_name"":""小学校改築工事"",""hierarchy"":[""教育費"",""小学校費"",""学校施設建設費""],""department_display_name"":""教育委員会事務局 教育環境課"",""amount_thousand_yen"":1517614},""member_programs"":[{""program_id"":""2026_general_expenditure_08_02_10_01_01_01"",""major_program_name"":""小学校校舎・体育館・プール建設費"",""budget_program_name"":""小学校改築工事"",""detail_program_name"":""小学校改築工事"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10120}],""same_budget_item_other_program_names"":[""小学校改築事務"",""小学校用地買収""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_04_51_42_4960160000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""土木費補助金"",""社会資本整備総合交付金"",""流域貯留浸透事業（小学校）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_06_71_03_4960160000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""土木費補助金"",""流域対策等強化・推進事業"",""雨水流出抑制施設設置事業（小学校）""],""amount_attribution_status"":""not_available""}]}","high","approve","2026-07-30 チャットレビューで、課題との関係候補を承認"
"bpi_65a519619501c5796422d4df8b697d3c80437e66af8af93e5922b2d65ada964c","小学校改築事務","一般会計","教育費","小学校費","学校施設建設費","教育委員会事務局 教育環境課","292171","学校施設の老朽化への対応","enables","事業名に「改築事務」、大事業名に校舎・体育館・プールの建設費が明記され、教育費／小学校費／学校施設建設費に属するため、学校改築を実施可能にする関係候補とした。個別の改築理由は公開7ファイルだけでは確定できないため、人間レビューを要する。","B_strong_structural","{""budget_item_key"":""2026_general_expenditure_08_02_10"",""identity_fields"":{""display_program_name"":""小学校改築事務"",""hierarchy"":[""教育費"",""小学校費"",""学校施設建設費""],""department_display_name"":""教育委員会事務局 教育環境課"",""amount_thousand_yen"":292171},""member_programs"":[{""program_id"":""2026_general_expenditure_08_02_10_01_02_01"",""major_program_name"":""小学校校舎・体育館・プール建設費"",""budget_program_name"":""小学校改築事務"",""detail_program_name"":""小学校改築事務"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10121}],""same_budget_item_other_program_names"":[""小学校改築工事"",""小学校用地買収""],""related_revenues"":[]}","high","approve","2026-07-30 チャットレビューで、課題との関係候補を承認"
"bpi_99ed3cb8df164fc0a25f1dccdc23b862b739384d9943072616bf4712cb9fb1a2","中学校施設改修工事","一般会計","教育費","中学校費","学校施設充実費","教育委員会事務局 教育環境課","2173450","学校施設の老朽化への対応","responds_to","事業名に「施設改修工事」、大事業名に「校舎校庭等施設整備・充実費」とあり、教育費／中学校費／学校施設充実費に属するため、学校施設の老朽化への対応と構造的に強く関連する候補とした。老朽化を目的とすること自体は公開7ファイルに明記されていないため、人間レビューを要する。","B_strong_structural","{""budget_item_key"":""2026_general_expenditure_08_03_05"",""identity_fields"":{""display_program_name"":""中学校施設改修工事"",""hierarchy"":[""教育費"",""中学校費"",""学校施設充実費""],""department_display_name"":""教育委員会事務局 教育環境課"",""amount_thousand_yen"":2173450},""member_programs"":[{""program_id"":""2026_general_expenditure_08_03_05_01_02_01"",""major_program_name"":""校舎校庭等施設整備･充実費"",""budget_program_name"":""中学校施設改修工事"",""detail_program_name"":""中学校施設改修工事"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10125}],""same_budget_item_other_program_names"":[""中学校施設改修事務"",""中学校施設整備事業""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_05_22_16_4960160000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""教育費補助金"",""学校施設環境改善交付金"",""中学校改修（大規模改造）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_13_02_05_22_23_4960160000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""教育費補助金"",""学校施設環境改善交付金"",""中学校改修（防災機能強化）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_07_64_02_4960160000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""教育費補助金"",""公立学校施設防災機能強化支援事業補助金"",""中学校（防災機能強化）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_17_01_06_01_12_4960160000"",""revenue_hierarchy"":[""繰入金"",""基金繰入金"",""義務教育施設整備基金繰入金"",""義務教育"",""中学校（施設改修）""],""amount_attribution_status"":""not_available""}]}","high","approve","2026-07-30 チャットレビューで、課題との関係候補を承認"
"bpi_91782de2362afe67d9654be3e27bcc410525d24d231045ce5e1f2ed77ee6a2dd","中学校施設改修事務","一般会計","教育費","中学校費","学校施設充実費","教育委員会事務局 教育環境課","29593","学校施設の老朽化への対応","enables","事業名に「施設改修事務」、大事業名に「校舎校庭等施設整備・充実費」とあり、教育費／中学校費／学校施設充実費に属するため、施設改修を実施可能にする関係候補とした。老朽化を目的とすること自体は公開7ファイルに明記されていないため、人間レビューを要する。","B_strong_structural","{""budget_item_key"":""2026_general_expenditure_08_03_05"",""identity_fields"":{""display_program_name"":""中学校施設改修事務"",""hierarchy"":[""教育費"",""中学校費"",""学校施設充実費""],""department_display_name"":""教育委員会事務局 教育環境課"",""amount_thousand_yen"":29593},""member_programs"":[{""program_id"":""2026_general_expenditure_08_03_05_01_03_01"",""major_program_name"":""校舎校庭等施設整備･充実費"",""budget_program_name"":""中学校施設改修事務"",""detail_program_name"":""中学校施設改修事務"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10126}],""same_budget_item_other_program_names"":[""中学校施設改修工事"",""中学校施設整備事業""],""related_revenues"":[]}","high","approve","2026-07-30 チャットレビューで、課題との関係候補を承認"
"bpi_e6d8559a1e67da1c2b48cc522d2d12616cb556c9856dd623c3fb3a34d8d51ed8","中学校施設整備事業","一般会計","教育費","中学校費","学校施設充実費","教育委員会事務局 教育環境課","136213","学校施設の老朽化への対応","supports","事業名に「施設整備事業」、大事業名に「校舎校庭等施設整備・充実費」とあり、教育費／中学校費／学校施設充実費に属するため、学校施設の整備を支える関係候補とした。整備目的が老朽化対応かは公開7ファイルだけでは確定できないため、人間レビューを要する。","B_strong_structural","{""budget_item_key"":""2026_general_expenditure_08_03_05"",""identity_fields"":{""display_program_name"":""中学校施設整備事業"",""hierarchy"":[""教育費"",""中学校費"",""学校施設充実費""],""department_display_name"":""教育委員会事務局 教育環境課"",""amount_thousand_yen"":136213},""member_programs"":[{""program_id"":""2026_general_expenditure_08_03_05_01_01_01"",""major_program_name"":""校舎校庭等施設整備･充実費"",""budget_program_name"":""中学校施設整備事業"",""detail_program_name"":""中学校施設整備事業"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10124}],""same_budget_item_other_program_names"":[""中学校施設改修事務"",""中学校施設改修工事""],""related_revenues"":[]}","high","approve","2026-07-30 チャットレビューで、課題との関係候補を承認"
"bpi_ade86719922583315962d30cd076758c8266300b40233adc94c7fb2a1e3e721e","中学校改築工事","一般会計","教育費","中学校費","学校施設建設費","教育委員会事務局 教育環境課","4210841","学校施設の老朽化への対応","responds_to","事業名に「改築工事」、大事業名に校舎・体育館・プールの建設費が明記され、教育費／中学校費／学校施設建設費に属するため、学校施設の老朽化への対応と構造的に強く関連する候補とした。個別の改築理由は公開7ファイルだけでは確定できないため、人間レビューを要する。","B_strong_structural","{""budget_item_key"":""2026_general_expenditure_08_03_09"",""identity_fields"":{""display_program_name"":""中学校改築工事"",""hierarchy"":[""教育費"",""中学校費"",""学校施設建設費""],""department_display_name"":""教育委員会事務局 教育環境課"",""amount_thousand_yen"":4210841},""member_programs"":[{""program_id"":""2026_general_expenditure_08_03_09_01_02_01"",""major_program_name"":""中学校校舎・体育館・プール建設費"",""budget_program_name"":""中学校改築工事"",""detail_program_name"":""中学校改築工事"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10128}],""same_budget_item_other_program_names"":[""中学校改築事務"",""義務教育施設整備基金積立金""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_05_22_09_4960160000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""教育費補助金"",""学校施設環境改善交付金"",""中学校改築""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_13_02_05_22_11_4960160000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""教育費補助金"",""学校施設環境改善交付金"",""中学校改築（学校水泳プール）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_17_01_06_01_10_4960160000"",""revenue_hierarchy"":[""繰入金"",""基金繰入金"",""義務教育施設整備基金繰入金"",""義務教育"",""中学校""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_20_01_04_01_04_4960160000"",""revenue_hierarchy"":[""特別区債"",""特別区債"",""教育債"",""学校建設費"",""中学校改築工事""],""amount_attribution_status"":""not_available""}]}","high","approve","2026-07-30 チャットレビューで、課題との関係候補を承認"
"bpi_9cca9350afde1d7f1315f5f1afe668ace359a17896e3fc0b0bf03e0f38399e91","中学校改築事務","一般会計","教育費","中学校費","学校施設建設費","教育委員会事務局 教育環境課","295657","学校施設の老朽化への対応","enables","事業名に「改築事務」、大事業名に校舎・体育館・プールの建設費が明記され、教育費／中学校費／学校施設建設費に属するため、学校改築を実施可能にする関係候補とした。個別の改築理由は公開7ファイルだけでは確定できないため、人間レビューを要する。","B_strong_structural","{""budget_item_key"":""2026_general_expenditure_08_03_09"",""identity_fields"":{""display_program_name"":""中学校改築事務"",""hierarchy"":[""教育費"",""中学校費"",""学校施設建設費""],""department_display_name"":""教育委員会事務局 教育環境課"",""amount_thousand_yen"":295657},""member_programs"":[{""program_id"":""2026_general_expenditure_08_03_09_01_03_01"",""major_program_name"":""中学校校舎・体育館・プール建設費"",""budget_program_name"":""中学校改築事務"",""detail_program_name"":""中学校改築事務"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10129}],""same_budget_item_other_program_names"":[""中学校改築工事"",""義務教育施設整備基金積立金""],""related_revenues"":[]}","high","approve","2026-07-30 チャットレビューで、課題との関係候補を承認"
