"budget_program_identity_id","display_program_name","account_name","kan_name","kou_name","moku_name","department_display_name","amount_thousand_yen","candidate_topic","proposed_relation_type","proposed_explanation","evidence_level","evidence_fields","confidence","review_decision","review_note"
"bpi_e088c2024d4618ffd7d516e072d232fcb91fde63d9e587d04ff965e2f74de89d","清掃分担金","一般会計","環境費","清掃費","清掃管理費","環境政策部 管理課","5174544","環境・清掃行政","supports","公式予算で環境費に属するため、環境・清掃・資源循環に関する行政機能を支える予算事業として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""environment-waste-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_04_03_01"",""identity_fields"":{""display_program_name"":""清掃分担金"",""hierarchy"":[""環境費"",""清掃費"",""清掃管理費""],""department_display_name"":""環境政策部 管理課"",""amount_thousand_yen"":5174544},""member_programs"":[{""program_id"":""2026_general_expenditure_04_03_01_01_07_01"",""major_program_name"":""清掃管理運営費"",""budget_program_name"":""清掃分担金"",""detail_program_name"":""清掃分担金"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9500}],""same_budget_item_other_program_names"":[""ごみ減量・リサイクルの促進"",""ごみ減量・リサイクル活動推進"",""ごみ減量・リサイクル普及・啓発施設運営"",""ごみ集積所の美化"",""砧清掃事務所維持管理"",""玉川清掃事務所維持管理"",""事業用大規模建築物の対象拡大"",""世田谷清掃事務所維持管理"",""清掃・リサイクル審議会の運営"",""清掃・リサイクル部庶務事務"",""清掃指導業務"",""清掃事業運営"",""清掃事業管理・調整事務"",""清掃事業管理運営"",""清掃職員の安全衛生"",""清掃職員の被服貸与"",""有料ごみ処理券事務""],""related_revenues"":[]}","high","reject","[publication-policy] 広域な行政機能topicは具体的な課題topicと重複するため公開しない"
"bpi_6b9d2197dba15c7b72f878f5704fa5475f891e6d8639f651197efb09c9982ca6","ごみ収集作業","一般会計","環境費","清掃費","廃棄物対策費","環境政策部 事業課","4038206","環境・清掃行政","supports","公式予算で環境費に属するため、環境・清掃・資源循環に関する行政機能を支える予算事業として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""environment-waste-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_04_03_02"",""identity_fields"":{""display_program_name"":""ごみ収集作業"",""hierarchy"":[""環境費"",""清掃費"",""廃棄物対策費""],""department_display_name"":""環境政策部 事業課"",""amount_thousand_yen"":4038206},""member_programs"":[{""program_id"":""2026_general_expenditure_04_03_02_01_01_01"",""major_program_name"":""廃棄物対策事業費"",""budget_program_name"":""ごみ収集作業"",""detail_program_name"":""ごみ収集作業"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9513}],""same_budget_item_other_program_names"":[""し尿収集運搬作業"",""希望丘中継所維持運営"",""清掃車両購入・維持"",""動物死体処理作業"",""不法投棄ごみ処理作業""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_02_03_05_01_3555300000"",""revenue_hierarchy"":[""使用料及手数料"",""手数料"",""環境手数料"",""有料ごみ処理券"",""有料ごみ処理券""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_12_02_03_08_01_3555300000"",""revenue_hierarchy"":[""使用料及手数料"",""手数料"",""環境手数料"",""粗大ごみ処理"",""粗大ごみ処理キャッシュレス決済手数料""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_15_02_02_01_24_3555300000"",""revenue_hierarchy"":[""財産収入"",""財産売払収入"",""物品売払収入"",""不用品売払"",""リサイクル資源売払（金属分資源化事業）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_15_20_3555300000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""リサイクル資源売払金"",""金属以外資源化事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_66_19_3555300000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""東京都環境公社補助金"",""熱中症・ヒートアイランド対策推進事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_66_24_3555300000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""東京都環境公社補助金"",""廃棄物の適正処理推進事業""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 広域な行政機能topicは具体的な課題topicと重複するため公開しない"
"bpi_6d9589f83a7741e1a146c5742f0e83592b24f7a4186514a309b7230fec444697","資源分別回収事業","一般会計","環境費","清掃費","省資源対策費","環境政策部 事業課","3254872","環境・清掃行政","supports","公式予算で環境費に属するため、環境・清掃・資源循環に関する行政機能を支える予算事業として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""environment-waste-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_04_03_03"",""identity_fields"":{""display_program_name"":""資源分別回収事業"",""hierarchy"":[""環境費"",""清掃費"",""省資源対策費""],""department_display_name"":""環境政策部 事業課"",""amount_thousand_yen"":3254872},""member_programs"":[{""program_id"":""2026_general_expenditure_04_03_03_01_09_01"",""major_program_name"":""省資源対策事業費"",""budget_program_name"":""資源分別回収事業"",""detail_program_name"":""資源分別回収事業"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9519}],""same_budget_item_other_program_names"":[""リサイクル活動団体援助"",""リサイクル施設維持運営"",""拠点回収事業""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_03_22_01_3555300000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""環境費補助金"",""一般廃棄物の適正処理・資源利用における働き方改革事業"",""一般廃棄物の適正処理・資源利用における働き方改革事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_15_02_02_01_22_3555300000"",""revenue_hierarchy"":[""財産収入"",""財産売払収入"",""物品売払収入"",""不用品売払"",""リサイクル資源売払（資源分別回収事業）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_66_18_3555300000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""東京都環境公社補助金"",""熱中症・ヒートアイランド対策推進事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_83_40_3555300000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""雑入（３）"",""ペットボトル等の有償入札拠出金""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_83_41_3555300000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""雑入（３）"",""再商品化合理化拠出金""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 広域な行政機能topicは具体的な課題topicと重複するため公開しない"
"bpi_42b873a6e7ce6f2674f8cfeac89f32a30bc82217c9b7ae1bc6297bbb0bbe1c3e","清掃関係事務従事職員の人件費","一般会計","職員費","職員費","清掃職員費","総務部 人事課","2539915","環境・清掃行政","supports","公式予算の職員費で環境職員費または清掃職員費に属するため、環境・清掃・資源循環に関する行政機能を支える予算事業として整理した。","B_strong_structural","{""matched_rule_id"":""environment-waste-staff-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_09_01_10"",""identity_fields"":{""display_program_name"":""清掃関係事務従事職員の人件費"",""hierarchy"":[""職員費"",""職員費"",""清掃職員費""],""department_display_name"":""総務部 人事課"",""amount_thousand_yen"":2539915},""member_programs"":[{""program_id"":""2026_general_expenditure_09_01_10_01_01_01"",""major_program_name"":""清掃関係事務従事職員の人件費"",""budget_program_name"":""清掃関係事務従事職員の人件費"",""detail_program_name"":""清掃関係事務従事職員の人件費"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9309}],""same_budget_item_other_program_names"":[],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_19_06_04_01_30_3205500000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""納付金"",""納付金"",""再任用職員社会保険料（清掃）""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 広域な行政機能topicは具体的な課題topicと重複するため公開しない"
"bpi_8602f9ace5d4e2d3fc46453eec95973931cd87c6ccbe7a3060ee9f6fa32fc15d","環境関係事務従事職員の人件費","一般会計","職員費","職員費","環境職員費","総務部 人事課","679083","環境・清掃行政","supports","公式予算の職員費で環境職員費または清掃職員費に属するため、環境・清掃・資源循環に関する行政機能を支える予算事業として整理した。","B_strong_structural","{""matched_rule_id"":""environment-waste-staff-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_09_01_04"",""identity_fields"":{""display_program_name"":""環境関係事務従事職員の人件費"",""hierarchy"":[""職員費"",""職員費"",""環境職員費""],""department_display_name"":""総務部 人事課"",""amount_thousand_yen"":679083},""member_programs"":[{""program_id"":""2026_general_expenditure_09_01_04_01_01_01"",""major_program_name"":""環境関係事務従事職員の人件費"",""budget_program_name"":""環境関係事務従事職員の人件費"",""detail_program_name"":""環境関係事務従事職員の人件費"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9303}],""same_budget_item_other_program_names"":[""会計年度任用職員の人件費（環境政策部）"",""会計年度任用職員の人件費（清掃・リサイクル部）""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_19_06_04_01_26_3205500000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""納付金"",""納付金"",""再任用職員社会保険料（環境）""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 広域な行政機能topicは具体的な課題topicと重複するため公開しない"
"bpi_1735f661325171d8cd1dae52117106cfd2d7263398ee18729c80601f8e20c016","リサイクル施設維持運営","一般会計","環境費","清掃費","省資源対策費","環境政策部 事業課","361168","環境・清掃行政","supports","公式予算で環境費に属するため、環境・清掃・資源循環に関する行政機能を支える予算事業として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""environment-waste-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_04_03_03"",""identity_fields"":{""display_program_name"":""リサイクル施設維持運営"",""hierarchy"":[""環境費"",""清掃費"",""省資源対策費""],""department_display_name"":""環境政策部 事業課"",""amount_thousand_yen"":361168},""member_programs"":[{""program_id"":""2026_general_expenditure_04_03_03_01_11_01"",""major_program_name"":""省資源対策事業費"",""budget_program_name"":""リサイクル施設維持運営"",""detail_program_name"":""リサイクル施設維持運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9520}],""same_budget_item_other_program_names"":[""リサイクル活動団体援助"",""拠点回収事業"",""資源分別回収事業""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_15_01_01_03_41_3555300000"",""revenue_hierarchy"":[""財産収入"",""財産運用収入"",""財産貸付収入"",""建物貸付"",""資源循環センター""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_15_02_02_01_21_3555300000"",""revenue_hierarchy"":[""財産収入"",""財産売払収入"",""物品売払収入"",""不用品売払"",""リサイクル資源売払（資源循環センター）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_54_34_3555300000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""光熱水費等負担金（２）"",""資源循環センター""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 広域な行政機能topicは具体的な課題topicと重複するため公開しない"
"bpi_a8fd772b391e7e3f7c31b1a9612e269e17209602b8ebfee1341eea636e0696f1","希望丘中継所維持運営","一般会計","環境費","清掃費","廃棄物対策費","環境政策部 砧清掃事務所","220993","環境・清掃行政","supports","公式予算で環境費に属するため、環境・清掃・資源循環に関する行政機能を支える予算事業として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""environment-waste-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_04_03_02"",""identity_fields"":{""display_program_name"":""希望丘中継所維持運営"",""hierarchy"":[""環境費"",""清掃費"",""廃棄物対策費""],""department_display_name"":""環境政策部 砧清掃事務所"",""amount_thousand_yen"":220993},""member_programs"":[{""program_id"":""2026_general_expenditure_04_03_02_01_06_01"",""major_program_name"":""廃棄物対策事業費"",""budget_program_name"":""希望丘中継所維持運営"",""detail_program_name"":""希望丘中継所維持運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9526}],""same_budget_item_other_program_names"":[""ごみ収集作業"",""し尿収集運搬作業"",""清掃車両購入・維持"",""動物死体処理作業"",""不法投棄ごみ処理作業""],""related_revenues"":[]}","high","reject","[publication-policy] 広域な行政機能topicは具体的な課題topicと重複するため公開しない"
"bpi_bc1b031edb252543706db6adbe30630f20aaec924b824ceca1849687fdcaef13","ごみ減量・リサイクル普及・啓発施設運営","一般会計","環境費","清掃費","清掃管理費","環境政策部 事業課","150161","環境・清掃行政","supports","公式予算で環境費に属するため、環境・清掃・資源循環に関する行政機能を支える予算事業として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""environment-waste-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_04_03_01"",""identity_fields"":{""display_program_name"":""ごみ減量・リサイクル普及・啓発施設運営"",""hierarchy"":[""環境費"",""清掃費"",""清掃管理費""],""department_display_name"":""環境政策部 事業課"",""amount_thousand_yen"":150161},""member_programs"":[{""program_id"":""2026_general_expenditure_04_03_01_01_13_01"",""major_program_name"":""清掃管理運営費"",""budget_program_name"":""ごみ減量・リサイクル普及・啓発施設運営"",""detail_program_name"":""ごみ減量・リサイクル普及・啓発施設運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9508}],""same_budget_item_other_program_names"":[""ごみ減量・リサイクルの促進"",""ごみ減量・リサイクル活動推進"",""ごみ集積所の美化"",""砧清掃事務所維持管理"",""玉川清掃事務所維持管理"",""事業用大規模建築物の対象拡大"",""世田谷清掃事務所維持管理"",""清掃・リサイクル審議会の運営"",""清掃・リサイクル部庶務事務"",""清掃指導業務"",""清掃事業運営"",""清掃事業管理・調整事務"",""清掃事業管理運営"",""清掃職員の安全衛生"",""清掃職員の被服貸与"",""清掃分担金"",""有料ごみ処理券事務""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_07_01_01_3555300000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""環境使用料"",""清掃・リサイクル普及啓発施設"",""エコプラザ用賀""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_15_02_02_01_20_3555300000"",""revenue_hierarchy"":[""財産収入"",""財産売払収入"",""物品売払収入"",""不用品売払"",""リユース品売払（エコプラザ用賀）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_05_81_3555300000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""光熱水費等負担金"",""エコプラザ用賀""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 広域な行政機能topicは具体的な課題topicと重複するため公開しない"
"bpi_4e70af1c99723e197a7bcdd1128f307431d6fae52123f73ec92d3d8a2a4acc02","ポイ捨てごみゼロ等の推進","一般会計","環境費","環境費","環境対策費","環境政策部 環境保全課","125866","環境・清掃行政","supports","公式予算で環境費に属するため、環境・清掃・資源循環に関する行政機能を支える予算事業として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""environment-waste-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_04_02_01"",""identity_fields"":{""display_program_name"":""ポイ捨てごみゼロ等の推進"",""hierarchy"":[""環境費"",""環境費"",""環境対策費""],""department_display_name"":""環境政策部 環境保全課"",""amount_thousand_yen"":125866},""member_programs"":[{""program_id"":""2026_general_expenditure_04_02_01_01_04_01"",""major_program_name"":""環境対策事業費"",""budget_program_name"":""ポイ捨てごみゼロ等の推進"",""detail_program_name"":""ポイ捨てごみゼロ等の推進"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9449}],""same_budget_item_other_program_names"":[""エコ区役所の実現"",""環境監視調査"",""環境啓発事業の推進"",""環境計画等の推進"",""環境審議会運営"",""環境政策部庶務事務"",""環境配慮型住宅推進事業"",""気候危機対策基金積立金"",""公害防止等指導"",""再生可能エネルギーの利用拡大と促進"",""生活環境保全事業"",""脱炭素地域づくり等の推進""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_40_64_3465200000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""保健医療政策区市町村包括補助事業費"",""受動喫煙防止対策の強化に伴う喫煙環境の整備事業""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 広域な行政機能topicは具体的な課題topicと重複するため公開しない"
"bpi_a6c6d568b5f84dae7b72a9bd4ae09ae6204d6001a912332f1a7f23cade30ad96","環境配慮型住宅推進事業","一般会計","環境費","環境費","環境対策費","環境政策部 気候危機対策課","113193","環境・清掃行政","supports","公式予算で環境費に属するため、環境・清掃・資源循環に関する行政機能を支える予算事業として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""environment-waste-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_04_02_01"",""identity_fields"":{""display_program_name"":""環境配慮型住宅推進事業"",""hierarchy"":[""環境費"",""環境費"",""環境対策費""],""department_display_name"":""環境政策部 気候危機対策課"",""amount_thousand_yen"":113193},""member_programs"":[{""program_id"":""2026_general_expenditure_04_02_01_01_19_01"",""major_program_name"":""環境対策事業費"",""budget_program_name"":""環境配慮型住宅推進事業"",""detail_program_name"":""環境配慮型住宅推進事業"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9447}],""same_budget_item_other_program_names"":[""エコ区役所の実現"",""ポイ捨てごみゼロ等の推進"",""環境監視調査"",""環境啓発事業の推進"",""環境計画等の推進"",""環境審議会運営"",""環境政策部庶務事務"",""気候危機対策基金積立金"",""公害防止等指導"",""再生可能エネルギーの利用拡大と促進"",""生活環境保全事業"",""脱炭素地域づくり等の推進""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_17_01_47_01_05_3465120000"",""revenue_hierarchy"":[""繰入金"",""基金繰入金"",""気候危機対策基金繰入金"",""気候危機対策基金"",""環境配慮型住宅推進事業""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 広域な行政機能topicは具体的な課題topicと重複するため公開しない"
