"budget_program_identity_id","display_program_name","account_name","kan_name","kou_name","moku_name","department_display_name","amount_thousand_yen","candidate_topic","proposed_relation_type","proposed_explanation","evidence_level","evidence_fields","confidence","review_decision","review_note"
"bpi_52ff1618a9b22f75a4c83c3f8ae15b1e23e901a180282b7675a1265abb823b55","公共下水道枝線建設","一般会計","土木費","道路橋梁費","公共下水道建設費","土木部 豪雨・下水道整備課","428894","豪雨・水害に備え水の流れを整える","responds_to","公式予算の会計・款・項・目と事業名から「豪雨・水害に備え水の流れを整える」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""flood-river-and-drainage-resilience-official-structure"",""budget_item_key"":""2026_general_expenditure_07_02_08"",""identity_fields"":{""display_program_name"":""公共下水道枝線建設"",""hierarchy"":[""土木費"",""道路橋梁費"",""公共下水道建設費""],""department_display_name"":""土木部 豪雨・下水道整備課"",""amount_thousand_yen"":428894},""member_programs"":[{""program_id"":""2026_general_expenditure_07_02_08_01_01_01"",""major_program_name"":""公共下水道枝線建設事業費"",""budget_program_name"":""公共下水道枝線建設"",""detail_program_name"":""公共下水道枝線建設"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10022}],""same_budget_item_other_program_names"":[],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_19_04_03_03_01_3895170000"",""revenue_hierarchy"":[""諸収入"",""受託事業収入"",""土木費受託収入"",""下水道建設費"",""公共下水道建設受託工事費収入""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_c683bf380fec5add0a3b4b26146d4556b7d8ca7df8a6eaaa8faed497e8bfbcc4","河川・水路維持管理（玉川・砧）","一般会計","土木費","河川費","河川総務費","土木部 工事第二課","177330","豪雨・水害に備え水の流れを整える","responds_to","公式予算の会計・款・項・目と事業名から「豪雨・水害に備え水の流れを整える」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""flood-river-and-drainage-resilience-official-structure"",""budget_item_key"":""2026_general_expenditure_07_03_01"",""identity_fields"":{""display_program_name"":""河川・水路維持管理（玉川・砧）"",""hierarchy"":[""土木費"",""河川費"",""河川総務費""],""department_display_name"":""土木部 工事第二課"",""amount_thousand_yen"":177330},""member_programs"":[{""program_id"":""2026_general_expenditure_07_03_01_01_23_01"",""major_program_name"":""河川・水路管理事業費"",""budget_program_name"":""河川・水路維持管理（玉川・砧）"",""detail_program_name"":""河川・水路維持管理（玉川・砧）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10068}],""same_budget_item_other_program_names"":[""下水道局樋門管理受託"",""河川・水路維持管理（世田谷・北沢・烏山）"",""水防対策"",""水防対策（玉川・砧）"",""水防対策（世田谷・北沢・烏山）""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_03_03_01_02_3895400000"",""revenue_hierarchy"":[""国庫支出金"",""国庫委託金"",""土木費委託金"",""水門管理事務費"",""玉川樋管管理事務費""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_e5e5dabe1b8f63938ebd282367449637c86f5f5d66f4923448f92f5f140329e2","河川・水路整備（玉川・砧）","一般会計","土木費","河川費","河川整備費","土木部 工事第二課","80340","豪雨・水害に備え水の流れを整える","responds_to","公式予算の会計・款・項・目と事業名から「豪雨・水害に備え水の流れを整える」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""flood-river-and-drainage-resilience-official-structure"",""budget_item_key"":""2026_general_expenditure_07_03_05"",""identity_fields"":{""display_program_name"":""河川・水路整備（玉川・砧）"",""hierarchy"":[""土木費"",""河川費"",""河川整備費""],""department_display_name"":""土木部 工事第二課"",""amount_thousand_yen"":80340},""member_programs"":[{""program_id"":""2026_general_expenditure_07_03_05_01_07_01"",""major_program_name"":""河川整備事業費"",""budget_program_name"":""河川・水路整備（玉川・砧）"",""detail_program_name"":""河川・水路整備（玉川・砧）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10069}],""same_budget_item_other_program_names"":[""河川・水路整備（世田谷・北沢・烏山）""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_03_01_13_09_3895400000"",""revenue_hierarchy"":[""都支出金"",""都委託金"",""総務費委託金"",""事務処理特例交付金"",""事務処理特例交付金（河川）""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_6b2d79636a06e2430aca597b5fa4037d315d12cb1039d890983a85a7f475a772","河川・水路維持管理（世田谷・北沢・烏山）","一般会計","土木費","河川費","河川総務費","土木部 工事第一課","47200","豪雨・水害に備え水の流れを整える","responds_to","公式予算の会計・款・項・目と事業名から「豪雨・水害に備え水の流れを整える」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""flood-river-and-drainage-resilience-official-structure"",""budget_item_key"":""2026_general_expenditure_07_03_01"",""identity_fields"":{""display_program_name"":""河川・水路維持管理（世田谷・北沢・烏山）"",""hierarchy"":[""土木費"",""河川費"",""河川総務費""],""department_display_name"":""土木部 工事第一課"",""amount_thousand_yen"":47200},""member_programs"":[{""program_id"":""2026_general_expenditure_07_03_01_01_22_01"",""major_program_name"":""河川・水路管理事業費"",""budget_program_name"":""河川・水路維持管理（世田谷・北沢・烏山）"",""detail_program_name"":""河川・水路維持管理（世田谷・北沢・烏山）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10048}],""same_budget_item_other_program_names"":[""下水道局樋門管理受託"",""河川・水路維持管理（玉川・砧）"",""水防対策"",""水防対策（玉川・砧）"",""水防対策（世田谷・北沢・烏山）""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_05_02_08_3895300000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""土木使用料"",""公共物占用"",""水路""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_1d48cede256e01529f08d737da53766a9c533c31df68714dd2f4312441c2a460","水防対策","一般会計","土木費","河川費","河川総務費","土木部 土木計画調整課","23361","豪雨・水害に備え水の流れを整える","responds_to","公式予算の会計・款・項・目と事業名から「豪雨・水害に備え水の流れを整える」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""flood-river-and-drainage-resilience-official-structure"",""budget_item_key"":""2026_general_expenditure_07_03_01"",""identity_fields"":{""display_program_name"":""水防対策"",""hierarchy"":[""土木費"",""河川費"",""河川総務費""],""department_display_name"":""土木部 土木計画調整課"",""amount_thousand_yen"":23361},""member_programs"":[{""program_id"":""2026_general_expenditure_07_03_01_01_01_01"",""major_program_name"":""河川・水路管理事業費"",""budget_program_name"":""水防対策"",""detail_program_name"":""水防対策"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10019}],""same_budget_item_other_program_names"":[""下水道局樋門管理受託"",""河川・水路維持管理（玉川・砧）"",""河川・水路維持管理（世田谷・北沢・烏山）"",""水防対策（玉川・砧）"",""水防対策（世田谷・北沢・烏山）""],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_087a3eb0853f8be313f6a1d6a2c7694afc0fd524713b04be8d97709a80e6ba26","河川・水路整備（世田谷・北沢・烏山）","一般会計","土木費","河川費","河川整備費","土木部 工事第一課","11009","豪雨・水害に備え水の流れを整える","responds_to","公式予算の会計・款・項・目と事業名から「豪雨・水害に備え水の流れを整える」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""flood-river-and-drainage-resilience-official-structure"",""budget_item_key"":""2026_general_expenditure_07_03_05"",""identity_fields"":{""display_program_name"":""河川・水路整備（世田谷・北沢・烏山）"",""hierarchy"":[""土木費"",""河川費"",""河川整備費""],""department_display_name"":""土木部 工事第一課"",""amount_thousand_yen"":11009},""member_programs"":[{""program_id"":""2026_general_expenditure_07_03_05_01_06_01"",""major_program_name"":""河川整備事業費"",""budget_program_name"":""河川・水路整備（世田谷・北沢・烏山）"",""detail_program_name"":""河川・水路整備（世田谷・北沢・烏山）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10049}],""same_budget_item_other_program_names"":[""河川・水路整備（玉川・砧）""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_03_01_13_10_3895300000"",""revenue_hierarchy"":[""都支出金"",""都委託金"",""総務費委託金"",""事務処理特例交付金"",""事務処理特例交付金（河川）""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_c59f27a6f45dc87af4981c1c20161fa3cea2b6d45d32d1962c5847a5aa47836a","下水道局樋門管理受託","一般会計","土木費","河川費","河川総務費","土木部 工事第二課","3753","豪雨・水害に備え水の流れを整える","responds_to","公式予算の会計・款・項・目と事業名から「豪雨・水害に備え水の流れを整える」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""flood-river-and-drainage-resilience-official-structure"",""budget_item_key"":""2026_general_expenditure_07_03_01"",""identity_fields"":{""display_program_name"":""下水道局樋門管理受託"",""hierarchy"":[""土木費"",""河川費"",""河川総務費""],""department_display_name"":""土木部 工事第二課"",""amount_thousand_yen"":3753},""member_programs"":[{""program_id"":""2026_general_expenditure_07_03_01_01_17_01"",""major_program_name"":""河川・水路管理事業費"",""budget_program_name"":""下水道局樋門管理受託"",""detail_program_name"":""下水道局樋門管理受託"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10066}],""same_budget_item_other_program_names"":[""河川・水路維持管理（玉川・砧）"",""河川・水路維持管理（世田谷・北沢・烏山）"",""水防対策"",""水防対策（玉川・砧）"",""水防対策（世田谷・北沢・烏山）""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_03_04_03_02_3895400000"",""revenue_hierarchy"":[""都支出金"",""都委託金"",""土木費委託金"",""水門管理費"",""水門管理""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_5dc7b77742d6852422e575d1c610b35db5559f1ff02bea987eedbc7088e20d81","私道排水設備助成","一般会計","土木費","道路橋梁費","水洗化促進費","土木部 工事第二課","3500","豪雨・水害に備え水の流れを整える","responds_to","公式予算の会計・款・項・目と事業名から「豪雨・水害に備え水の流れを整える」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""flood-river-and-drainage-resilience-official-structure"",""budget_item_key"":""2026_general_expenditure_07_02_09"",""identity_fields"":{""display_program_name"":""私道排水設備助成"",""hierarchy"":[""土木費"",""道路橋梁費"",""水洗化促進費""],""department_display_name"":""土木部 工事第二課"",""amount_thousand_yen"":3500},""member_programs"":[{""program_id"":""2026_general_expenditure_07_02_09_01_11_01"",""major_program_name"":""水洗化促進事業費"",""budget_program_name"":""私道排水設備助成"",""detail_program_name"":""私道排水設備助成"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10063}],""same_budget_item_other_program_names"":[],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_40e5833575d31d55388217895c49925d0eebdcdee645c8344a49ef5d5c56dc6b","水防対策（玉川・砧）","一般会計","土木費","河川費","河川総務費","土木部 工事第二課","1946","豪雨・水害に備え水の流れを整える","responds_to","公式予算の会計・款・項・目と事業名から「豪雨・水害に備え水の流れを整える」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""flood-river-and-drainage-resilience-official-structure"",""budget_item_key"":""2026_general_expenditure_07_03_01"",""identity_fields"":{""display_program_name"":""水防対策（玉川・砧）"",""hierarchy"":[""土木費"",""河川費"",""河川総務費""],""department_display_name"":""土木部 工事第二課"",""amount_thousand_yen"":1946},""member_programs"":[{""program_id"":""2026_general_expenditure_07_03_01_01_21_01"",""major_program_name"":""河川・水路管理事業費"",""budget_program_name"":""水防対策（玉川・砧）"",""detail_program_name"":""水防対策（玉川・砧）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10067}],""same_budget_item_other_program_names"":[""下水道局樋門管理受託"",""河川・水路維持管理（玉川・砧）"",""河川・水路維持管理（世田谷・北沢・烏山）"",""水防対策"",""水防対策（世田谷・北沢・烏山）""],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_ecd712539398c5522416957716c12b9ba3bd5dce72f9cfbaa16e58cd9b98515d","水防対策（世田谷・北沢・烏山）","一般会計","土木費","河川費","河川総務費","土木部 工事第一課","1041","豪雨・水害に備え水の流れを整える","responds_to","公式予算の会計・款・項・目と事業名から「豪雨・水害に備え水の流れを整える」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""flood-river-and-drainage-resilience-official-structure"",""budget_item_key"":""2026_general_expenditure_07_03_01"",""identity_fields"":{""display_program_name"":""水防対策（世田谷・北沢・烏山）"",""hierarchy"":[""土木費"",""河川費"",""河川総務費""],""department_display_name"":""土木部 工事第一課"",""amount_thousand_yen"":1041},""member_programs"":[{""program_id"":""2026_general_expenditure_07_03_01_01_20_01"",""major_program_name"":""河川・水路管理事業費"",""budget_program_name"":""水防対策（世田谷・北沢・烏山）"",""detail_program_name"":""水防対策（世田谷・北沢・烏山）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10047}],""same_budget_item_other_program_names"":[""下水道局樋門管理受託"",""河川・水路維持管理（玉川・砧）"",""河川・水路維持管理（世田谷・北沢・烏山）"",""水防対策"",""水防対策（玉川・砧）""],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
