"budget_program_identity_id","display_program_name","account_name","kan_name","kou_name","moku_name","department_display_name","amount_thousand_yen","candidate_topic","proposed_relation_type","proposed_explanation","evidence_level","evidence_fields","confidence","review_decision","review_note"
"bpi_502530c07547f97eb564c396fe264df9d820a9e2b7fd1a2034b456ef76f4559f","商業振興","一般会計","産業経済費","商工費","商工振興費","経済産業部 商業課","927732","産業・農業行政","supports","公式予算で産業経済費に属するため、商工・農業・雇用に関する行政機能を支える予算事業として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""industry-agriculture-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_06_01_01"",""identity_fields"":{""display_program_name"":""商業振興"",""hierarchy"":[""産業経済費"",""商工費"",""商工振興費""],""department_display_name"":""経済産業部 商業課"",""amount_thousand_yen"":927732},""member_programs"":[{""program_id"":""2026_general_expenditure_06_01_01_01_27_01"",""major_program_name"":""商工業振興育成事業費"",""budget_program_name"":""商業振興"",""detail_program_name"":""商業振興"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9456}],""same_budget_item_other_program_names"":[""シルバー人材センター育成"",""ビジネスモデル研究開発支援事業"",""観光事業の推進"",""区内企業就業マッチングの推進"",""経営改善支援事業"",""経済産業部庶務事務"",""雇用促進事業"",""公衆浴場確保対策"",""工業・ものづくりの振興"",""産業活性化拠点維持管理"",""産業活性化拠点施設整備"",""産業活性化拠点事業"",""産業計画の推進"",""産業交流促進事業"",""産業振興"",""産業創造プラットフォーム"",""産業連携推進事業"",""就労支援拠点事業"",""商業支援"",""世田谷区産業振興公社運営助成"",""地域経済活動の促進"",""地域産業支援"",""地方版図柄入りナンバープレートＰＲ事業"",""中小企業者経営支援""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_05_05_11_3525100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""産業経済費補助金"",""商業振興費"",""商店街イベント支援事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_05_05_13_3525100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""産業経済費補助金"",""商業振興費"",""活力ある商店街育成事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_05_34_01_3525100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""産業経済費補助金"",""未来を創る商店街支援事業"",""未来を創る商店街支援事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_05_39_01_3525100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""産業経済費補助金"",""地域産業活力創出支援事業"",""せたがやＰａｙ機能拡充事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_05_41_01_3525100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""産業経済費補助金"",""未来商店街活力向上支援事業"",""未来商店街活力向上支援事業""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 広域な行政機能topicは具体的な課題topicと重複するため公開しない"
"bpi_c2adaf1c0785ed21143ef05a40f648adfc2c137693c1808239bfc643caa6c7f7","中小企業者経営支援","一般会計","産業経済費","商工費","商工振興費","経済産業部 商業課","538369","産業・農業行政","supports","公式予算で産業経済費に属するため、商工・農業・雇用に関する行政機能を支える予算事業として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""industry-agriculture-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_06_01_01"",""identity_fields"":{""display_program_name"":""中小企業者経営支援"",""hierarchy"":[""産業経済費"",""商工費"",""商工振興費""],""department_display_name"":""経済産業部 商業課"",""amount_thousand_yen"":538369},""member_programs"":[{""program_id"":""2026_general_expenditure_06_01_01_01_05_01"",""major_program_name"":""商工業振興育成事業費"",""budget_program_name"":""中小企業者経営支援"",""detail_program_name"":""中小企業者経営支援"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9454}],""same_budget_item_other_program_names"":[""シルバー人材センター育成"",""ビジネスモデル研究開発支援事業"",""観光事業の推進"",""区内企業就業マッチングの推進"",""経営改善支援事業"",""経済産業部庶務事務"",""雇用促進事業"",""公衆浴場確保対策"",""工業・ものづくりの振興"",""産業活性化拠点維持管理"",""産業活性化拠点施設整備"",""産業活性化拠点事業"",""産業計画の推進"",""産業交流促進事業"",""産業振興"",""産業創造プラットフォーム"",""産業連携推進事業"",""就労支援拠点事業"",""商業支援"",""商業振興"",""世田谷区産業振興公社運営助成"",""地域経済活動の促進"",""地域産業支援"",""地方版図柄入りナンバープレートＰＲ事業""],""related_revenues"":[]}","high","reject","[publication-policy] 広域な行政機能topicは具体的な課題topicと重複するため公開しない"
"bpi_1c6b0454d40f966bac6f8057c0cbcce3c36597b0df89734acdac0eae73af29d8","産業経済関係事務従事職員の人件費","一般会計","職員費","職員費","産業経済職員費","総務部 人事課","532618","産業・農業行政","supports","公式予算の職員費で産業経済職員費に属するため、商工・農業・雇用に関する行政機能を支える予算事業として整理した。","B_strong_structural","{""matched_rule_id"":""industry-staff-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_09_01_06"",""identity_fields"":{""display_program_name"":""産業経済関係事務従事職員の人件費"",""hierarchy"":[""職員費"",""職員費"",""産業経済職員費""],""department_display_name"":""総務部 人事課"",""amount_thousand_yen"":532618},""member_programs"":[{""program_id"":""2026_general_expenditure_09_01_06_01_01_01"",""major_program_name"":""産業経済関係事務従事職員の人件費"",""budget_program_name"":""産業経済関係事務従事職員の人件費"",""detail_program_name"":""産業経済関係事務従事職員の人件費"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9305}],""same_budget_item_other_program_names"":[],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_19_06_04_01_95_3205500000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""納付金"",""納付金"",""再任用職員社会保険料（産経）""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 広域な行政機能topicは具体的な課題topicと重複するため公開しない"
"bpi_61457ba595babbf78680c5cd7a3b7f70f700615a964a2aaeb76443990a47ed53","世田谷区産業振興公社運営助成","一般会計","産業経済費","商工費","商工振興費","経済産業部 商業課","372469","産業・農業行政","supports","公式予算で産業経済費に属するため、商工・農業・雇用に関する行政機能を支える予算事業として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""industry-agriculture-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_06_01_01"",""identity_fields"":{""display_program_name"":""世田谷区産業振興公社運営助成"",""hierarchy"":[""産業経済費"",""商工費"",""商工振興費""],""department_display_name"":""経済産業部 商業課"",""amount_thousand_yen"":372469},""member_programs"":[{""program_id"":""2026_general_expenditure_06_01_01_01_23_01"",""major_program_name"":""商工業振興育成事業費"",""budget_program_name"":""世田谷区産業振興公社運営助成"",""detail_program_name"":""世田谷区産業振興公社運営助成"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9455}],""same_budget_item_other_program_names"":[""シルバー人材センター育成"",""ビジネスモデル研究開発支援事業"",""観光事業の推進"",""区内企業就業マッチングの推進"",""経営改善支援事業"",""経済産業部庶務事務"",""雇用促進事業"",""公衆浴場確保対策"",""工業・ものづくりの振興"",""産業活性化拠点維持管理"",""産業活性化拠点施設整備"",""産業活性化拠点事業"",""産業計画の推進"",""産業交流促進事業"",""産業振興"",""産業創造プラットフォーム"",""産業連携推進事業"",""就労支援拠点事業"",""商業支援"",""商業振興"",""地域経済活動の促進"",""地域産業支援"",""地方版図柄入りナンバープレートＰＲ事業"",""中小企業者経営支援""],""related_revenues"":[]}","high","reject","[publication-policy] 広域な行政機能topicは具体的な課題topicと重複するため公開しない"
"bpi_e95fa0cc42a8423fbc88eb6539c3f2d98b2c44d2b8bc5056b7b70088822f4862","産業活性化拠点事業","一般会計","産業経済費","商工費","商工振興費","経済産業部 経済課","120656","産業・農業行政","supports","公式予算で産業経済費に属するため、商工・農業・雇用に関する行政機能を支える予算事業として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""industry-agriculture-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_06_01_01"",""identity_fields"":{""display_program_name"":""産業活性化拠点事業"",""hierarchy"":[""産業経済費"",""商工費"",""商工振興費""],""department_display_name"":""経済産業部 経済課"",""amount_thousand_yen"":120656},""member_programs"":[{""program_id"":""2026_general_expenditure_06_01_01_01_56_01"",""major_program_name"":""商工業振興育成事業費"",""budget_program_name"":""産業活性化拠点事業"",""detail_program_name"":""産業活性化拠点事業"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9468}],""same_budget_item_other_program_names"":[""シルバー人材センター育成"",""ビジネスモデル研究開発支援事業"",""観光事業の推進"",""区内企業就業マッチングの推進"",""経営改善支援事業"",""経済産業部庶務事務"",""雇用促進事業"",""公衆浴場確保対策"",""工業・ものづくりの振興"",""産業活性化拠点維持管理"",""産業活性化拠点施設整備"",""産業計画の推進"",""産業交流促進事業"",""産業振興"",""産業創造プラットフォーム"",""産業連携推進事業"",""就労支援拠点事業"",""商業支援"",""商業振興"",""世田谷区産業振興公社運営助成"",""地域経済活動の促進"",""地域産業支援"",""地方版図柄入りナンバープレートＰＲ事業"",""中小企業者経営支援""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_05_39_07_3525210000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""産業経済費補助金"",""地域産業活力創出支援事業"",""中小企業等ハンズオン支援事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_15_01_01_03_34_3525210000"",""revenue_hierarchy"":[""財産収入"",""財産運用収入"",""財産貸付収入"",""建物貸付"",""旧池尻中学校跡地貸付料""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_97_12_3525210000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""参加料・利用料（２）"",""池尻２丁目体育館""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_12_05_09_3525210000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入（２）"",""光熱水費等負担金（３）"",""池尻２丁目体育館ふれあいルーム光熱水費""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 広域な行政機能topicは具体的な課題topicと重複するため公開しない"
"bpi_65adb67dc3f671073ddd64e2b93a0220342cf50af70f48bb4a10930d6ad87ec2","シルバー人材センター育成","一般会計","産業経済費","商工費","商工振興費","経済産業部 工・建・雇用促進課","117536","産業・農業行政","supports","公式予算で産業経済費に属するため、商工・農業・雇用に関する行政機能を支える予算事業として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""industry-agriculture-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_06_01_01"",""identity_fields"":{""display_program_name"":""シルバー人材センター育成"",""hierarchy"":[""産業経済費"",""商工費"",""商工振興費""],""department_display_name"":""経済産業部 工・建・雇用促進課"",""amount_thousand_yen"":117536},""member_programs"":[{""program_id"":""2026_general_expenditure_06_01_01_02_04_01"",""major_program_name"":""労働・雇用促進事業費"",""budget_program_name"":""シルバー人材センター育成"",""detail_program_name"":""シルバー人材センター育成"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9475}],""same_budget_item_other_program_names"":[""ビジネスモデル研究開発支援事業"",""観光事業の推進"",""区内企業就業マッチングの推進"",""経営改善支援事業"",""経済産業部庶務事務"",""雇用促進事業"",""公衆浴場確保対策"",""工業・ものづくりの振興"",""産業活性化拠点維持管理"",""産業活性化拠点施設整備"",""産業活性化拠点事業"",""産業計画の推進"",""産業交流促進事業"",""産業振興"",""産業創造プラットフォーム"",""産業連携推進事業"",""就労支援拠点事業"",""商業支援"",""商業振興"",""世田谷区産業振興公社運営助成"",""地域経済活動の促進"",""地域産業支援"",""地方版図柄入りナンバープレートＰＲ事業"",""中小企業者経営支援""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_05_10_01_3525350000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""産業経済費補助金"",""就業推進事業費"",""シルバー人材センター""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 広域な行政機能topicは具体的な課題topicと重複するため公開しない"
"bpi_c5c11e0d18b6a537a9faeac27417d2e2ec36dccf5bea4d128b598d4050120da6","区民農園維持運営","一般会計","産業経済費","農業費","農業総務費","経済産業部 都市農業課","110809","産業・農業行政","supports","公式予算で産業経済費に属するため、商工・農業・雇用に関する行政機能を支える予算事業として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""industry-agriculture-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_06_02_02"",""identity_fields"":{""display_program_name"":""区民農園維持運営"",""hierarchy"":[""産業経済費"",""農業費"",""農業総務費""],""department_display_name"":""経済産業部 都市農業課"",""amount_thousand_yen"":110809},""member_programs"":[{""program_id"":""2026_general_expenditure_06_02_02_01_10_01"",""major_program_name"":""農業指導奨励費"",""budget_program_name"":""区民農園維持運営"",""detail_program_name"":""区民農園維持運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9487}],""same_budget_item_other_program_names"":[""ふれあい農業推進"",""花卉・そ菜展"",""農業経営安定化"",""農業振興等拠点運営"",""農産物ブランド化推進"",""農地の保全"",""農福連携事業"",""有機農業推進事業""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_04_03_01_3525400000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""産業経済使用料"",""区民農園"",""区民農園""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_05_36_01_3525400000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""産業経済費補助金"",""未来に残す東京の農地プロジェクト補助金"",""区民農園維持運営""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 広域な行政機能topicは具体的な課題topicと重複するため公開しない"
"bpi_5ae4fd98dd51318ae281d08d4b1d12ca99a00a1d7b5c02a041394ead2623f3ef","区内企業就業マッチングの推進","一般会計","産業経済費","商工費","商工振興費","経済産業部 工・建・雇用促進課","78968","産業・農業行政","supports","公式予算で産業経済費に属するため、商工・農業・雇用に関する行政機能を支える予算事業として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""industry-agriculture-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_06_01_01"",""identity_fields"":{""display_program_name"":""区内企業就業マッチングの推進"",""hierarchy"":[""産業経済費"",""商工費"",""商工振興費""],""department_display_name"":""経済産業部 工・建・雇用促進課"",""amount_thousand_yen"":78968},""member_programs"":[{""program_id"":""2026_general_expenditure_06_01_01_02_20_01"",""major_program_name"":""労働・雇用促進事業費"",""budget_program_name"":""区内企業就業マッチングの推進"",""detail_program_name"":""区内企業就業マッチングの推進"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9478}],""same_budget_item_other_program_names"":[""シルバー人材センター育成"",""ビジネスモデル研究開発支援事業"",""観光事業の推進"",""経営改善支援事業"",""経済産業部庶務事務"",""雇用促進事業"",""公衆浴場確保対策"",""工業・ものづくりの振興"",""産業活性化拠点維持管理"",""産業活性化拠点施設整備"",""産業活性化拠点事業"",""産業計画の推進"",""産業交流促進事業"",""産業振興"",""産業創造プラットフォーム"",""産業連携推進事業"",""就労支援拠点事業"",""商業支援"",""商業振興"",""世田谷区産業振興公社運営助成"",""地域経済活動の促進"",""地域産業支援"",""地方版図柄入りナンバープレートＰＲ事業"",""中小企業者経営支援""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_05_40_02_3525350000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""産業経済費補助金"",""東京都地域人材確保総合支援事業"",""地域人材確保総合支援事業""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 広域な行政機能topicは具体的な課題topicと重複するため公開しない"
"bpi_a42aa618cca3d3d203fd2b3c7dd68125658e1748768344405bae7830df482c21","地域産業支援","一般会計","産業経済費","商工費","商工振興費","経済産業部 経済課","78602","産業・農業行政","supports","公式予算で産業経済費に属するため、商工・農業・雇用に関する行政機能を支える予算事業として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""industry-agriculture-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_06_01_01"",""identity_fields"":{""display_program_name"":""地域産業支援"",""hierarchy"":[""産業経済費"",""商工費"",""商工振興費""],""department_display_name"":""経済産業部 経済課"",""amount_thousand_yen"":78602},""member_programs"":[{""program_id"":""2026_general_expenditure_06_01_01_01_57_01"",""major_program_name"":""商工業振興育成事業費"",""budget_program_name"":""地域産業支援"",""detail_program_name"":""地域産業支援"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9469}],""same_budget_item_other_program_names"":[""シルバー人材センター育成"",""ビジネスモデル研究開発支援事業"",""観光事業の推進"",""区内企業就業マッチングの推進"",""経営改善支援事業"",""経済産業部庶務事務"",""雇用促進事業"",""公衆浴場確保対策"",""工業・ものづくりの振興"",""産業活性化拠点維持管理"",""産業活性化拠点施設整備"",""産業活性化拠点事業"",""産業計画の推進"",""産業交流促進事業"",""産業振興"",""産業創造プラットフォーム"",""産業連携推進事業"",""就労支援拠点事業"",""商業支援"",""商業振興"",""世田谷区産業振興公社運営助成"",""地域経済活動の促進"",""地方版図柄入りナンバープレートＰＲ事業"",""中小企業者経営支援""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_05_39_05_3525210000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""産業経済費補助金"",""地域産業活力創出支援事業"",""中小事業者経営支援事業""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 広域な行政機能topicは具体的な課題topicと重複するため公開しない"
"bpi_8818b1b2ca68fddf60940bb7b7581d0c9b7da8dd2f5506ace4f0fa7e0b5e8779","就労支援拠点事業","一般会計","産業経済費","商工費","商工振興費","経済産業部 工・建・雇用促進課","66815","産業・農業行政","supports","公式予算で産業経済費に属するため、商工・農業・雇用に関する行政機能を支える予算事業として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""industry-agriculture-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_06_01_01"",""identity_fields"":{""display_program_name"":""就労支援拠点事業"",""hierarchy"":[""産業経済費"",""商工費"",""商工振興費""],""department_display_name"":""経済産業部 工・建・雇用促進課"",""amount_thousand_yen"":66815},""member_programs"":[{""program_id"":""2026_general_expenditure_06_01_01_02_14_01"",""major_program_name"":""労働・雇用促進事業費"",""budget_program_name"":""就労支援拠点事業"",""detail_program_name"":""就労支援拠点事業"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9477}],""same_budget_item_other_program_names"":[""シルバー人材センター育成"",""ビジネスモデル研究開発支援事業"",""観光事業の推進"",""区内企業就業マッチングの推進"",""経営改善支援事業"",""経済産業部庶務事務"",""雇用促進事業"",""公衆浴場確保対策"",""工業・ものづくりの振興"",""産業活性化拠点維持管理"",""産業活性化拠点施設整備"",""産業活性化拠点事業"",""産業計画の推進"",""産業交流促進事業"",""産業振興"",""産業創造プラットフォーム"",""産業連携推進事業"",""商業支援"",""商業振興"",""世田谷区産業振興公社運営助成"",""地域経済活動の促進"",""地域産業支援"",""地方版図柄入りナンバープレートＰＲ事業"",""中小企業者経営支援""],""related_revenues"":[]}","high","reject","[publication-policy] 広域な行政機能topicは具体的な課題topicと重複するため公開しない"
