"budget_program_identity_id","display_program_name","account_name","kan_name","kou_name","moku_name","department_display_name","amount_thousand_yen","candidate_topic","proposed_relation_type","proposed_explanation","evidence_level","evidence_fields","confidence","review_decision","review_note"
"bpi_74744aaec8ecd00ae341f3fe886619dafc6ec6997f2c75f9e3fde2dbb6a5a5ac","木造住宅密集地域の解消","一般会計","土木費","都市計画費","市街地開発費","防災街づくり担当部 防災街づくり課","674137","安全で災害に強い市街地をつくる","responds_to","公式予算の会計・款・項・目と事業名から「安全で災害に強い市街地をつくる」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""safe-buildings-and-resilient-neighborhoods-official-structure"",""budget_item_key"":""2026_general_expenditure_07_06_02"",""identity_fields"":{""display_program_name"":""木造住宅密集地域の解消"",""hierarchy"":[""土木費"",""都市計画費"",""市街地開発費""],""department_display_name"":""防災街づくり担当部 防災街づくり課"",""amount_thousand_yen"":674137},""member_programs"":[{""program_id"":""2026_general_expenditure_07_06_02_01_26_01"",""major_program_name"":""市街地開発事業費"",""budget_program_name"":""木造住宅密集地域の解消"",""detail_program_name"":""木造住宅密集地域の解消"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9965}],""same_budget_item_other_program_names"":[""市街地再開発"",""千歳烏山駅周辺地区市街地再開発"",""千歳船橋駅周辺地区街づくりの推進"",""祖師ヶ谷大蔵駅周辺地区街づくりの推進"",""都市整備基金積立金""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_04_51_51_3825100000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""土木費補助金"",""社会資本整備総合交付金"",""木造住宅密集地域の解消（住市総）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_06_11_26_3825100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""土木費補助金"",""木造住宅密集地域整備促進費"",""木造住宅密集地域の解消（木密）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_06_45_01_3825100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""土木費補助金"",""不燃化推進特定整備事業"",""木造住宅密集地域の解消（不燃化特区）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_06_57_01_3825100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""土木費補助金"",""防災生活道路整備・不燃化促進事業費"",""木造住宅密集地域の解消（地区防災不燃化促進）""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_ceba32d2896c0b79cc87f23b0b11c83443b5564545d248c2c8bf8365882710b7","建築物耐震診断・補強工事","一般会計","土木費","建築費","建築行政費","防災街づくり担当部 防災街づくり課","478366","安全で災害に強い市街地をつくる","responds_to","公式予算の会計・款・項・目と事業名から「安全で災害に強い市街地をつくる」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""safe-buildings-and-resilient-neighborhoods-official-structure"",""budget_item_key"":""2026_general_expenditure_07_05_01"",""identity_fields"":{""display_program_name"":""建築物耐震診断・補強工事"",""hierarchy"":[""土木費"",""建築費"",""建築行政費""],""department_display_name"":""防災街づくり担当部 防災街づくり課"",""amount_thousand_yen"":478366},""member_programs"":[{""program_id"":""2026_general_expenditure_07_05_01_01_04_01"",""major_program_name"":""建築行政費"",""budget_program_name"":""建築物耐震診断・補強工事"",""detail_program_name"":""建築物耐震診断・補強工事"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9961}],""same_budget_item_other_program_names"":[""違反建築物防止是正指導"",""空家等対策事業運営"",""建築行政事務"",""中高層建築物紛争調整"",""特殊建築物定期報告"",""民間建築敷地の安全促進""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_04_51_25_3825100000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""土木費補助金"",""社会資本整備総合交付金"",""建築物耐震診断・補強工事""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_13_02_04_68_01_3825100000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""土木費補助金"",""住宅・建築物防災力緊急促進事業補助金"",""建築物耐震対策緊急促進事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_42_29_3825100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""高齢者施策推進区市町村包括補助事業"",""建築物耐震診断・補強工事""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_06_37_01_3825100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""土木費補助金"",""緊急輸送道路沿道建築物耐震化促進事業費"",""緊急輸送道路沿道建築物耐震化促進事業費""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_06_39_01_3825100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""土木費補助金"",""耐震化促進普及啓発活動支援事業"",""建築物耐震診断・補強工事""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_06_48_01_3825100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""土木費補助金"",""マンション耐震化促進事業"",""マンション耐震化促進事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_06_62_02_3825100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""土木費補助金"",""ブロック塀等安全対策促進事業"",""ブロック塀等安全対策促進事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_06_65_01_3825100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""土木費補助金"",""戸建住宅等耐震化促進事業"",""戸建住宅等耐震化促進事業""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_47a48b9f5c0651f462c3a25c7bec0cdc01f0c3cd185a446307e65f8ddacf4be3","都市整備基金積立金","一般会計","土木費","都市計画費","市街地開発費","都市整備政策部 都市計画課","78169","安全で災害に強い市街地をつくる","responds_to","公式予算の会計・款・項・目と事業名から「安全で災害に強い市街地をつくる」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""safe-buildings-and-resilient-neighborhoods-official-structure"",""budget_item_key"":""2026_general_expenditure_07_06_02"",""identity_fields"":{""display_program_name"":""都市整備基金積立金"",""hierarchy"":[""土木費"",""都市計画費"",""市街地開発費""],""department_display_name"":""都市整備政策部 都市計画課"",""amount_thousand_yen"":78169},""member_programs"":[{""program_id"":""2026_general_expenditure_07_06_02_01_01_01"",""major_program_name"":""市街地開発事業費"",""budget_program_name"":""都市整備基金積立金"",""detail_program_name"":""都市整備基金積立金"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9946}],""same_budget_item_other_program_names"":[""市街地再開発"",""千歳烏山駅周辺地区市街地再開発"",""千歳船橋駅周辺地区街づくりの推進"",""祖師ヶ谷大蔵駅周辺地区街づくりの推進"",""木造住宅密集地域の解消""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_15_01_02_02_11_3815100000"",""revenue_hierarchy"":[""財産収入"",""財産運用収入"",""利子及配当金"",""基金利子"",""都市整備基金""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_5d37f920909a0bc14c35642ba9088fb14ad8d5accc3e9d4f933e70c2a6894b27","民間建築敷地の安全促進","一般会計","土木費","建築費","建築行政費","防災街づくり担当部 市街地整備課","22906","安全で災害に強い市街地をつくる","responds_to","公式予算の会計・款・項・目と事業名から「安全で災害に強い市街地をつくる」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""safe-buildings-and-resilient-neighborhoods-official-structure"",""budget_item_key"":""2026_general_expenditure_07_05_01"",""identity_fields"":{""display_program_name"":""民間建築敷地の安全促進"",""hierarchy"":[""土木費"",""建築費"",""建築行政費""],""department_display_name"":""防災街づくり担当部 市街地整備課"",""amount_thousand_yen"":22906},""member_programs"":[{""program_id"":""2026_general_expenditure_07_05_01_01_16_01"",""major_program_name"":""建築行政費"",""budget_program_name"":""民間建築敷地の安全促進"",""detail_program_name"":""民間建築敷地の安全促進"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9967}],""same_budget_item_other_program_names"":[""違反建築物防止是正指導"",""空家等対策事業運営"",""建築行政事務"",""建築物耐震診断・補強工事"",""中高層建築物紛争調整"",""特殊建築物定期報告""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_04_58_42_3825110000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""土木費補助金"",""社会資本整備総合交付金（２）"",""民間建築敷地の安全促進""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_06_70_01_3825110000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""土木費補助金"",""東京都住宅・建築物土砂災害対策事業補助金"",""住宅・建築物土砂災害対策改修事業""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_3e01729c012cd24c22b7010b25ac12d30196a2c93bd52d694c4cd6ec25c67f64","空家等対策事業運営","一般会計","土木費","建築費","建築行政費","防災街づくり担当部 建築安全課","19299","安全で災害に強い市街地をつくる","responds_to","公式予算の会計・款・項・目と事業名から「安全で災害に強い市街地をつくる」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""safe-buildings-and-resilient-neighborhoods-official-structure"",""budget_item_key"":""2026_general_expenditure_07_05_01"",""identity_fields"":{""display_program_name"":""空家等対策事業運営"",""hierarchy"":[""土木費"",""建築費"",""建築行政費""],""department_display_name"":""防災街づくり担当部 建築安全課"",""amount_thousand_yen"":19299},""member_programs"":[{""program_id"":""2026_general_expenditure_07_05_01_01_14_01"",""major_program_name"":""建築行政費"",""budget_program_name"":""空家等対策事業運営"",""detail_program_name"":""空家等対策事業運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9973}],""same_budget_item_other_program_names"":[""違反建築物防止是正指導"",""建築行政事務"",""建築物耐震診断・補強工事"",""中高層建築物紛争調整"",""特殊建築物定期報告"",""民間建築敷地の安全促進""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_06_52_08_3825150000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""土木費補助金"",""空き家利活用等区市町村支援事業"",""空き家対策基本型事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_64_02_3825150000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""空家等対策"",""空家等対策""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_1af30136bafb404ae125ea33b86968077d25d97e9b4bda20f8be3c3197375cc2","特殊建築物定期報告","一般会計","土木費","建築費","建築行政費","防災街づくり担当部 建築安全課","11548","安全で災害に強い市街地をつくる","responds_to","公式予算の会計・款・項・目と事業名から「安全で災害に強い市街地をつくる」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""safe-buildings-and-resilient-neighborhoods-official-structure"",""budget_item_key"":""2026_general_expenditure_07_05_01"",""identity_fields"":{""display_program_name"":""特殊建築物定期報告"",""hierarchy"":[""土木費"",""建築費"",""建築行政費""],""department_display_name"":""防災街づくり担当部 建築安全課"",""amount_thousand_yen"":11548},""member_programs"":[{""program_id"":""2026_general_expenditure_07_05_01_01_05_01"",""major_program_name"":""建築行政費"",""budget_program_name"":""特殊建築物定期報告"",""detail_program_name"":""特殊建築物定期報告"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9972}],""same_budget_item_other_program_names"":[""違反建築物防止是正指導"",""空家等対策事業運営"",""建築行政事務"",""建築物耐震診断・補強工事"",""中高層建築物紛争調整"",""民間建築敷地の安全促進""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_08_85_3825150000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""参加料・利用料"",""定期調査報告概要書等閲覧""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_7d1d3c60785990227e260d4852f2aa688d07f052c0f8bb03f0466ffdaa700960","祖師ヶ谷大蔵駅周辺地区街づくりの推進","一般会計","土木費","都市計画費","市街地開発費","防災街づくり担当部 防災街づくり課","8655","安全で災害に強い市街地をつくる","responds_to","公式予算の会計・款・項・目と事業名から「安全で災害に強い市街地をつくる」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""safe-buildings-and-resilient-neighborhoods-official-structure"",""budget_item_key"":""2026_general_expenditure_07_06_02"",""identity_fields"":{""display_program_name"":""祖師ヶ谷大蔵駅周辺地区街づくりの推進"",""hierarchy"":[""土木費"",""都市計画費"",""市街地開発費""],""department_display_name"":""防災街づくり担当部 防災街づくり課"",""amount_thousand_yen"":8655},""member_programs"":[{""program_id"":""2026_general_expenditure_07_06_02_01_11_01"",""major_program_name"":""市街地開発事業費"",""budget_program_name"":""祖師ヶ谷大蔵駅周辺地区街づくりの推進"",""detail_program_name"":""祖師ヶ谷大蔵駅周辺地区街づくりの推進"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9964}],""same_budget_item_other_program_names"":[""市街地再開発"",""千歳烏山駅周辺地区市街地再開発"",""千歳船橋駅周辺地区街づくりの推進"",""都市整備基金積立金"",""木造住宅密集地域の解消""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_06_11_32_3825100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""土木費補助金"",""木造住宅密集地域整備促進費"",""祖師ヶ谷大蔵駅周辺地区街づくりの推進""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_b5f73ed2c757baa8ed2f1d5876e6d6332b8586023e49260d03f49056f5325ba2","建築行政事務","一般会計","土木費","建築費","建築行政費","都市整備政策部 建築調整課","7051","安全で災害に強い市街地をつくる","responds_to","公式予算の会計・款・項・目と事業名から「安全で災害に強い市街地をつくる」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""safe-buildings-and-resilient-neighborhoods-official-structure"",""budget_item_key"":""2026_general_expenditure_07_05_01"",""identity_fields"":{""display_program_name"":""建築行政事務"",""hierarchy"":[""土木費"",""建築費"",""建築行政費""],""department_display_name"":""都市整備政策部 建築調整課"",""amount_thousand_yen"":7051},""member_programs"":[{""program_id"":""2026_general_expenditure_07_05_01_01_02_01"",""major_program_name"":""建築行政費"",""budget_program_name"":""建築行政事務"",""detail_program_name"":""建築行政事務"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9951}],""same_budget_item_other_program_names"":[""違反建築物防止是正指導"",""空家等対策事業運営"",""建築物耐震診断・補強工事"",""中高層建築物紛争調整"",""特殊建築物定期報告"",""民間建築敷地の安全促進""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_02_05_10_39_3815250000"",""revenue_hierarchy"":[""使用料及手数料"",""手数料"",""土木手数料"",""諸証明"",""建築諸証明手数料""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_12_02_05_18_01_3815250000"",""revenue_hierarchy"":[""使用料及手数料"",""手数料"",""土木手数料"",""低炭素建築物認定"",""低炭素建築物認定手数料""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_12_02_05_19_01_3815250000"",""revenue_hierarchy"":[""使用料及手数料"",""手数料"",""土木手数料"",""建築物エネルギー消費性能向上認定"",""建築物エネルギー消費性能向上認定手数料""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_03_04_02_03_3815250000"",""revenue_hierarchy"":[""都支出金"",""都委託金"",""土木費委託金"",""建築行政費"",""建築物動態統計調査事務費""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_08_84_3815250000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""参加料・利用料"",""建築計画概要書等閲覧""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_6c4a1d112a4edef36f6fc6bbab3f9808193b6521d0025cf3f4d4a937f3456640","市街地再開発","一般会計","土木費","都市計画費","市街地開発費","防災街づくり担当部 市街地整備課","4063","安全で災害に強い市街地をつくる","responds_to","公式予算の会計・款・項・目と事業名から「安全で災害に強い市街地をつくる」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""safe-buildings-and-resilient-neighborhoods-official-structure"",""budget_item_key"":""2026_general_expenditure_07_06_02"",""identity_fields"":{""display_program_name"":""市街地再開発"",""hierarchy"":[""土木費"",""都市計画費"",""市街地開発費""],""department_display_name"":""防災街づくり担当部 市街地整備課"",""amount_thousand_yen"":4063},""member_programs"":[{""program_id"":""2026_general_expenditure_07_06_02_01_29_01"",""major_program_name"":""市街地開発事業費"",""budget_program_name"":""市街地再開発"",""detail_program_name"":""市街地再開発"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9969}],""same_budget_item_other_program_names"":[""千歳烏山駅周辺地区市街地再開発"",""千歳船橋駅周辺地区街づくりの推進"",""祖師ヶ谷大蔵駅周辺地区街づくりの推進"",""都市整備基金積立金"",""木造住宅密集地域の解消""],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_841b72fd8e533a2020a8283085ab144a316903882bcff4467726479991ff6e8d","中高層建築物紛争調整","一般会計","土木費","建築費","建築行政費","都市整備政策部 建築調整課","405","安全で災害に強い市街地をつくる","responds_to","公式予算の会計・款・項・目と事業名から「安全で災害に強い市街地をつくる」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""safe-buildings-and-resilient-neighborhoods-official-structure"",""budget_item_key"":""2026_general_expenditure_07_05_01"",""identity_fields"":{""display_program_name"":""中高層建築物紛争調整"",""hierarchy"":[""土木費"",""建築費"",""建築行政費""],""department_display_name"":""都市整備政策部 建築調整課"",""amount_thousand_yen"":405},""member_programs"":[{""program_id"":""2026_general_expenditure_07_05_01_01_01_01"",""major_program_name"":""建築行政費"",""budget_program_name"":""中高層建築物紛争調整"",""detail_program_name"":""中高層建築物紛争調整"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9950}],""same_budget_item_other_program_names"":[""違反建築物防止是正指導"",""空家等対策事業運営"",""建築行政事務"",""建築物耐震診断・補強工事"",""特殊建築物定期報告"",""民間建築敷地の安全促進""],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_ab61b99d3ed18dc55e4944a24a7af531e0d1c8b2f70d8344548e84387be02ed0","違反建築物防止是正指導","一般会計","土木費","建築費","建築行政費","防災街づくり担当部 建築安全課","181","安全で災害に強い市街地をつくる","responds_to","公式予算の会計・款・項・目と事業名から「安全で災害に強い市街地をつくる」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""safe-buildings-and-resilient-neighborhoods-official-structure"",""budget_item_key"":""2026_general_expenditure_07_05_01"",""identity_fields"":{""display_program_name"":""違反建築物防止是正指導"",""hierarchy"":[""土木費"",""建築費"",""建築行政費""],""department_display_name"":""防災街づくり担当部 建築安全課"",""amount_thousand_yen"":181},""member_programs"":[{""program_id"":""2026_general_expenditure_07_05_01_01_03_01"",""major_program_name"":""建築行政費"",""budget_program_name"":""違反建築物防止是正指導"",""detail_program_name"":""違反建築物防止是正指導"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9971}],""same_budget_item_other_program_names"":[""空家等対策事業運営"",""建築行政事務"",""建築物耐震診断・補強工事"",""中高層建築物紛争調整"",""特殊建築物定期報告"",""民間建築敷地の安全促進""],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
