"budget_program_identity_id","display_program_name","account_name","kan_name","kou_name","moku_name","department_display_name","amount_thousand_yen","candidate_topic","proposed_relation_type","proposed_explanation","evidence_level","evidence_fields","confidence","review_decision","review_note"
"bpi_da0c09cdd21487a1853b8b2fa9d3d0da1a9ea4de8dda926fdca00e3d48877058","都市計画道路用地取得","一般会計","土木費","道路橋梁費","道路新設改良費","道路・交通計画部 道路計画課","3215932","歩行者・自転車が安全に移動できる道をつくる","supports","公式予算の会計・款・項・目と事業名から「歩行者・自転車が安全に移動できる道をつくる」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""safe-streets-and-cycling-official-structure"",""budget_item_key"":""2026_general_expenditure_07_02_03"",""identity_fields"":{""display_program_name"":""都市計画道路用地取得"",""hierarchy"":[""土木費"",""道路橋梁費"",""道路新設改良費""],""department_display_name"":""道路・交通計画部 道路計画課"",""amount_thousand_yen"":3215932},""member_programs"":[{""program_id"":""2026_general_expenditure_07_02_03_02_12_01"",""major_program_name"":""道路用地買収事業費"",""budget_program_name"":""都市計画道路用地取得"",""detail_program_name"":""都市計画道路用地取得"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10002}],""same_budget_item_other_program_names"":[""雨水貯留浸透施設整備（玉川・砧）"",""雨水貯留浸透施設整備（世田谷・北沢・烏山）"",""建築線・狭あい道路事業"",""座れる場づくりの推進（世田谷・北沢・烏山）"",""主要な生活道路築造（玉川・砧）"",""主要な生活道路築造（世田谷・北沢・烏山）"",""主要生活道路用地取得"",""地先道路築造（玉川・砧）"",""地先道路築造（世田谷・北沢・烏山）"",""地先道路用地取得"",""都市型水害対策の推進"",""都市計画道路（拠点整備・下北沢）"",""土地区画整理"",""道路建設事務"",""道路事業推進事務"",""歩道整備（玉川・砧）"",""歩道整備（世田谷・北沢・烏山）"",""無電柱化整備（玉川・砧）"",""無電柱化整備（世田谷・北沢・烏山）"",""路面改良（玉川・砧）"",""路面改良（世田谷・北沢・烏山）""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_04_51_62_3865300000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""土木費補助金"",""社会資本整備総合交付金"",""都市計画道路（街路）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_13_02_04_63_01_3865300000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""土木費補助金"",""無電柱化推進事業"",""都市計画道路用地取得""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_06_01_01_3865300000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""土木費補助金"",""都市計画交付金"",""道路用地""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_27af1b6cb664b0154a21f6f0b2b29dd229ec15ff8608943d265be234339f4c72","地先道路用地取得","一般会計","土木費","道路橋梁費","道路新設改良費","道路・交通計画部 道路計画課","1075896","歩行者・自転車が安全に移動できる道をつくる","supports","公式予算の会計・款・項・目と事業名から「歩行者・自転車が安全に移動できる道をつくる」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""safe-streets-and-cycling-official-structure"",""budget_item_key"":""2026_general_expenditure_07_02_03"",""identity_fields"":{""display_program_name"":""地先道路用地取得"",""hierarchy"":[""土木費"",""道路橋梁費"",""道路新設改良費""],""department_display_name"":""道路・交通計画部 道路計画課"",""amount_thousand_yen"":1075896},""member_programs"":[{""program_id"":""2026_general_expenditure_07_02_03_02_02_01"",""major_program_name"":""道路用地買収事業費"",""budget_program_name"":""地先道路用地取得"",""detail_program_name"":""地先道路用地取得"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10001}],""same_budget_item_other_program_names"":[""雨水貯留浸透施設整備（玉川・砧）"",""雨水貯留浸透施設整備（世田谷・北沢・烏山）"",""建築線・狭あい道路事業"",""座れる場づくりの推進（世田谷・北沢・烏山）"",""主要な生活道路築造（玉川・砧）"",""主要な生活道路築造（世田谷・北沢・烏山）"",""主要生活道路用地取得"",""地先道路築造（玉川・砧）"",""地先道路築造（世田谷・北沢・烏山）"",""都市型水害対策の推進"",""都市計画道路（拠点整備・下北沢）"",""都市計画道路用地取得"",""土地区画整理"",""道路建設事務"",""道路事業推進事務"",""歩道整備（玉川・砧）"",""歩道整備（世田谷・北沢・烏山）"",""無電柱化整備（玉川・砧）"",""無電柱化整備（世田谷・北沢・烏山）"",""路面改良（玉川・砧）"",""路面改良（世田谷・北沢・烏山）""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_04_51_17_3865300000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""土木費補助金"",""社会資本整備総合交付金"",""地先道路（住市総）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_13_02_04_57_02_3865300000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""土木費補助金"",""密集市街地総合防災事業"",""地先道路""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_17_01_10_01_05_3865300000"",""revenue_hierarchy"":[""繰入金"",""基金繰入金"",""都市整備基金繰入金"",""都市整備基金繰入金"",""地先道路用地""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_f28b2b1d530e5171a126ea1b55496be9e55fd906dd17e2054f9cb24d7274713a","建築線・狭あい道路事業","一般会計","土木費","道路橋梁費","道路新設改良費","防災街づくり担当部 建築安全課","1034715","歩行者・自転車が安全に移動できる道をつくる","supports","公式予算の会計・款・項・目と事業名から「歩行者・自転車が安全に移動できる道をつくる」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""safe-streets-and-cycling-official-structure"",""budget_item_key"":""2026_general_expenditure_07_02_03"",""identity_fields"":{""display_program_name"":""建築線・狭あい道路事業"",""hierarchy"":[""土木費"",""道路橋梁費"",""道路新設改良費""],""department_display_name"":""防災街づくり担当部 建築安全課"",""amount_thousand_yen"":1034715},""member_programs"":[{""program_id"":""2026_general_expenditure_07_02_03_01_01_01"",""major_program_name"":""道路新設改良事業費"",""budget_program_name"":""建築線・狭あい道路事業"",""detail_program_name"":""建築線・狭あい道路事業"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9970}],""same_budget_item_other_program_names"":[""雨水貯留浸透施設整備（玉川・砧）"",""雨水貯留浸透施設整備（世田谷・北沢・烏山）"",""座れる場づくりの推進（世田谷・北沢・烏山）"",""主要な生活道路築造（玉川・砧）"",""主要な生活道路築造（世田谷・北沢・烏山）"",""主要生活道路用地取得"",""地先道路築造（玉川・砧）"",""地先道路築造（世田谷・北沢・烏山）"",""地先道路用地取得"",""都市型水害対策の推進"",""都市計画道路（拠点整備・下北沢）"",""都市計画道路用地取得"",""土地区画整理"",""道路建設事務"",""道路事業推進事務"",""歩道整備（玉川・砧）"",""歩道整備（世田谷・北沢・烏山）"",""無電柱化整備（玉川・砧）"",""無電柱化整備（世田谷・北沢・烏山）"",""路面改良（玉川・砧）"",""路面改良（世田谷・北沢・烏山）""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_02_05_10_50_3825150000"",""revenue_hierarchy"":[""使用料及手数料"",""手数料"",""土木手数料"",""諸証明"",""位置指定道路証明手数料""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_12_02_05_15_06_3825150000"",""revenue_hierarchy"":[""使用料及手数料"",""手数料"",""土木手数料"",""位置指定申請"",""位置指定申請手数料""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_13_02_04_58_05_3825150000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""土木費補助金"",""社会資本整備総合交付金（２）"",""狭あい道路整備等促進事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_50_98_3825150000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""雑入"",""指定道路情報""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_936e69e0d838a4881a745614f2c1b7ce014b57cd43d24e676cbf6c0c3a39b2d9","路面改良（世田谷・北沢・烏山）","一般会計","土木費","道路橋梁費","道路新設改良費","土木部 工事第一課","961745","歩行者・自転車が安全に移動できる道をつくる","supports","公式予算の会計・款・項・目と事業名から「歩行者・自転車が安全に移動できる道をつくる」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""safe-streets-and-cycling-official-structure"",""budget_item_key"":""2026_general_expenditure_07_02_03"",""identity_fields"":{""display_program_name"":""路面改良（世田谷・北沢・烏山）"",""hierarchy"":[""土木費"",""道路橋梁費"",""道路新設改良費""],""department_display_name"":""土木部 工事第一課"",""amount_thousand_yen"":961745},""member_programs"":[{""program_id"":""2026_general_expenditure_07_02_03_01_78_01"",""major_program_name"":""道路新設改良事業費"",""budget_program_name"":""路面改良（世田谷・北沢・烏山）"",""detail_program_name"":""路面改良（世田谷・北沢・烏山）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10035}],""same_budget_item_other_program_names"":[""雨水貯留浸透施設整備（玉川・砧）"",""雨水貯留浸透施設整備（世田谷・北沢・烏山）"",""建築線・狭あい道路事業"",""座れる場づくりの推進（世田谷・北沢・烏山）"",""主要な生活道路築造（玉川・砧）"",""主要な生活道路築造（世田谷・北沢・烏山）"",""主要生活道路用地取得"",""地先道路築造（玉川・砧）"",""地先道路築造（世田谷・北沢・烏山）"",""地先道路用地取得"",""都市型水害対策の推進"",""都市計画道路（拠点整備・下北沢）"",""都市計画道路用地取得"",""土地区画整理"",""道路建設事務"",""道路事業推進事務"",""歩道整備（玉川・砧）"",""歩道整備（世田谷・北沢・烏山）"",""無電柱化整備（玉川・砧）"",""無電柱化整備（世田谷・北沢・烏山）"",""路面改良（玉川・砧）""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_04_58_06_3895300000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""土木費補助金"",""社会資本整備総合交付金（２）"",""路面改良（世田谷・北沢・烏山）（沿道環境）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_17_01_10_01_25_3895300000"",""revenue_hierarchy"":[""繰入金"",""基金繰入金"",""都市整備基金繰入金"",""都市整備基金繰入金"",""路面改良（世田谷・北沢・烏山）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_04_03_01_16_3895300000"",""revenue_hierarchy"":[""諸収入"",""受託事業収入"",""土木費受託収入"",""掘さく道路復旧費"",""掘さく道路受託復旧費収入""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_f5e83a0fb1a94103c19e8cd15aba04845f2a3a649b7e8e9483d1b23a647acf96","路面改良（玉川・砧）","一般会計","土木費","道路橋梁費","道路新設改良費","土木部 工事第二課","856964","歩行者・自転車が安全に移動できる道をつくる","supports","公式予算の会計・款・項・目と事業名から「歩行者・自転車が安全に移動できる道をつくる」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""safe-streets-and-cycling-official-structure"",""budget_item_key"":""2026_general_expenditure_07_02_03"",""identity_fields"":{""display_program_name"":""路面改良（玉川・砧）"",""hierarchy"":[""土木費"",""道路橋梁費"",""道路新設改良費""],""department_display_name"":""土木部 工事第二課"",""amount_thousand_yen"":856964},""member_programs"":[{""program_id"":""2026_general_expenditure_07_02_03_01_79_01"",""major_program_name"":""道路新設改良事業費"",""budget_program_name"":""路面改良（玉川・砧）"",""detail_program_name"":""路面改良（玉川・砧）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10056}],""same_budget_item_other_program_names"":[""雨水貯留浸透施設整備（玉川・砧）"",""雨水貯留浸透施設整備（世田谷・北沢・烏山）"",""建築線・狭あい道路事業"",""座れる場づくりの推進（世田谷・北沢・烏山）"",""主要な生活道路築造（玉川・砧）"",""主要な生活道路築造（世田谷・北沢・烏山）"",""主要生活道路用地取得"",""地先道路築造（玉川・砧）"",""地先道路築造（世田谷・北沢・烏山）"",""地先道路用地取得"",""都市型水害対策の推進"",""都市計画道路（拠点整備・下北沢）"",""都市計画道路用地取得"",""土地区画整理"",""道路建設事務"",""道路事業推進事務"",""歩道整備（玉川・砧）"",""歩道整備（世田谷・北沢・烏山）"",""無電柱化整備（玉川・砧）"",""無電柱化整備（世田谷・北沢・烏山）"",""路面改良（世田谷・北沢・烏山）""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_17_01_10_01_18_3895400000"",""revenue_hierarchy"":[""繰入金"",""基金繰入金"",""都市整備基金繰入金"",""都市整備基金繰入金"",""路面改良（玉川・砧）""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_943d72093f7e1285883a93621895adc8699442f741b6d47a91b9b26f5912dee7","主要生活道路用地取得","一般会計","土木費","道路橋梁費","道路新設改良費","道路・交通計画部 道路計画課","541709","歩行者・自転車が安全に移動できる道をつくる","supports","公式予算の会計・款・項・目と事業名から「歩行者・自転車が安全に移動できる道をつくる」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""safe-streets-and-cycling-official-structure"",""budget_item_key"":""2026_general_expenditure_07_02_03"",""identity_fields"":{""display_program_name"":""主要生活道路用地取得"",""hierarchy"":[""土木費"",""道路橋梁費"",""道路新設改良費""],""department_display_name"":""道路・交通計画部 道路計画課"",""amount_thousand_yen"":541709},""member_programs"":[{""program_id"":""2026_general_expenditure_07_02_03_02_13_01"",""major_program_name"":""道路用地買収事業費"",""budget_program_name"":""主要生活道路用地取得"",""detail_program_name"":""主要生活道路用地取得"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10003}],""same_budget_item_other_program_names"":[""雨水貯留浸透施設整備（玉川・砧）"",""雨水貯留浸透施設整備（世田谷・北沢・烏山）"",""建築線・狭あい道路事業"",""座れる場づくりの推進（世田谷・北沢・烏山）"",""主要な生活道路築造（玉川・砧）"",""主要な生活道路築造（世田谷・北沢・烏山）"",""地先道路築造（玉川・砧）"",""地先道路築造（世田谷・北沢・烏山）"",""地先道路用地取得"",""都市型水害対策の推進"",""都市計画道路（拠点整備・下北沢）"",""都市計画道路用地取得"",""土地区画整理"",""道路建設事務"",""道路事業推進事務"",""歩道整備（玉川・砧）"",""歩道整備（世田谷・北沢・烏山）"",""無電柱化整備（玉川・砧）"",""無電柱化整備（世田谷・北沢・烏山）"",""路面改良（玉川・砧）"",""路面改良（世田谷・北沢・烏山）""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_04_51_14_3865300000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""土木費補助金"",""社会資本整備総合交付金"",""主要生活道路（交通安全施設整備）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_13_02_04_51_16_3865300000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""土木費補助金"",""社会資本整備総合交付金"",""主要生活道路（住市総）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_04_03_20_01_3865300000"",""revenue_hierarchy"":[""諸収入"",""受託事業収入"",""土木費受託収入"",""主要生活道路事業執行費"",""占有家屋収去受託事業収入""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_d936772a76ee1e2d3eca406ddda2e6dd7bd3b919206e174f4c1063987ecc38c6","ＬＥＤ街路灯新設改良","一般会計","土木費","道路橋梁費","街路照明費","土木部 工事第一課","470198","歩行者・自転車が安全に移動できる道をつくる","supports","公式予算の会計・款・項・目と事業名から「歩行者・自転車が安全に移動できる道をつくる」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""safe-streets-and-cycling-official-structure"",""budget_item_key"":""2026_general_expenditure_07_02_07"",""identity_fields"":{""display_program_name"":""ＬＥＤ街路灯新設改良"",""hierarchy"":[""土木費"",""道路橋梁費"",""街路照明費""],""department_display_name"":""土木部 工事第一課"",""amount_thousand_yen"":470198},""member_programs"":[{""program_id"":""2026_general_expenditure_07_02_07_01_26_01"",""major_program_name"":""街路照明事業費"",""budget_program_name"":""ＬＥＤ街路灯新設改良"",""detail_program_name"":""ＬＥＤ街路灯新設改良"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10046}],""same_budget_item_other_program_names"":[""街路灯維持管理"",""民有防犯灯維持助成""],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_f7e9e562a20c43c869a6ae54134beed891d30129370bc08bfc65856718fd57b1","放置自転車対策","一般会計","土木費","道路橋梁費","交通安全対策費","土木部 交通安全自転車課","446568","歩行者・自転車が安全に移動できる道をつくる","supports","公式予算の会計・款・項・目と事業名から「歩行者・自転車が安全に移動できる道をつくる」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""safe-streets-and-cycling-official-structure"",""budget_item_key"":""2026_general_expenditure_07_02_06"",""identity_fields"":{""display_program_name"":""放置自転車対策"",""hierarchy"":[""土木費"",""道路橋梁費"",""交通安全対策費""],""department_display_name"":""土木部 交通安全自転車課"",""amount_thousand_yen"":446568},""member_programs"":[{""program_id"":""2026_general_expenditure_07_02_06_01_12_01"",""major_program_name"":""交通安全対策事業費"",""budget_program_name"":""放置自転車対策"",""detail_program_name"":""放置自転車対策"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10024}],""same_budget_item_other_program_names"":[""交通安全啓発"",""交通安全施設維持管理（玉川・砧）"",""交通安全施設維持管理（世田谷・北沢・烏山）"",""交通安全施設整備（玉川・砧）"",""交通安全施設整備（世田谷・北沢・烏山）"",""自転車走行環境整備の推進"",""自転車等駐車場等維持運営"",""自転車等駐車場等整備""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_05_03_07_3895200000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""土木使用料"",""土木施設"",""放置自転車等保管所""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_12_02_05_03_16_3895200000"",""revenue_hierarchy"":[""使用料及手数料"",""手数料"",""土木手数料"",""放置自転車"",""放置自転車等撤去手数料""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_15_01_01_04_64_3895200000"",""revenue_hierarchy"":[""財産収入"",""財産運用収入"",""財産貸付収入"",""土地貸付"",""自動二輪車駐車場""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_51_43_3895200000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""雑入（２）"",""未引取自転車売払""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_5d979750c9a31c1b7f2719a9d9a0af53ac53932dc34f092513de3a50466aa13f","主要な生活道路築造（世田谷・北沢・烏山）","一般会計","土木費","道路橋梁費","道路新設改良費","土木部 工事第一課","406595","歩行者・自転車が安全に移動できる道をつくる","supports","公式予算の会計・款・項・目と事業名から「歩行者・自転車が安全に移動できる道をつくる」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""safe-streets-and-cycling-official-structure"",""budget_item_key"":""2026_general_expenditure_07_02_03"",""identity_fields"":{""display_program_name"":""主要な生活道路築造（世田谷・北沢・烏山）"",""hierarchy"":[""土木費"",""道路橋梁費"",""道路新設改良費""],""department_display_name"":""土木部 工事第一課"",""amount_thousand_yen"":406595},""member_programs"":[{""program_id"":""2026_general_expenditure_07_02_03_01_80_01"",""major_program_name"":""道路新設改良事業費"",""budget_program_name"":""主要な生活道路築造（世田谷・北沢・烏山）"",""detail_program_name"":""主要な生活道路築造（世田谷・北沢・烏山）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10036}],""same_budget_item_other_program_names"":[""雨水貯留浸透施設整備（玉川・砧）"",""雨水貯留浸透施設整備（世田谷・北沢・烏山）"",""建築線・狭あい道路事業"",""座れる場づくりの推進（世田谷・北沢・烏山）"",""主要な生活道路築造（玉川・砧）"",""主要生活道路用地取得"",""地先道路築造（玉川・砧）"",""地先道路築造（世田谷・北沢・烏山）"",""地先道路用地取得"",""都市型水害対策の推進"",""都市計画道路（拠点整備・下北沢）"",""都市計画道路用地取得"",""土地区画整理"",""道路建設事務"",""道路事業推進事務"",""歩道整備（玉川・砧）"",""歩道整備（世田谷・北沢・烏山）"",""無電柱化整備（玉川・砧）"",""無電柱化整備（世田谷・北沢・烏山）"",""路面改良（玉川・砧）"",""路面改良（世田谷・北沢・烏山）""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_04_51_88_3895300000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""土木費補助金"",""社会資本整備総合交付金"",""主要な生活道路築造（世田谷・北沢・烏山）（街路）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_06_01_47_3895300000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""土木費補助金"",""都市計画交付金"",""道路整備（世田谷・北沢・烏山）""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_348ed0bae3a0b5c54dd7e19646af9c70ca6a287fa2457f589aa8d0d25b4fc267","街路灯維持管理","一般会計","土木費","道路橋梁費","街路照明費","土木部 工事第一課","382282","歩行者・自転車が安全に移動できる道をつくる","supports","公式予算の会計・款・項・目と事業名から「歩行者・自転車が安全に移動できる道をつくる」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""safe-streets-and-cycling-official-structure"",""budget_item_key"":""2026_general_expenditure_07_02_07"",""identity_fields"":{""display_program_name"":""街路灯維持管理"",""hierarchy"":[""土木費"",""道路橋梁費"",""街路照明費""],""department_display_name"":""土木部 工事第一課"",""amount_thousand_yen"":382282},""member_programs"":[{""program_id"":""2026_general_expenditure_07_02_07_01_24_01"",""major_program_name"":""街路照明事業費"",""budget_program_name"":""街路灯維持管理"",""detail_program_name"":""街路灯維持管理"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10044}],""same_budget_item_other_program_names"":[""ＬＥＤ街路灯新設改良"",""民有防犯灯維持助成""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_36_08_3895300000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""電力売払収入"",""街路灯維持管理（世田谷・北沢・烏山）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_12_05_12_3895300000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入（２）"",""光熱水費等負担金（３）"",""経堂駅駅前広場""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
