"budget_program_identity_id","display_program_name","account_name","kan_name","kou_name","moku_name","department_display_name","amount_thousand_yen","candidate_topic","proposed_relation_type","proposed_explanation","evidence_level","evidence_fields","confidence","review_decision","review_note"
"bpi_b55e51de6d41c9f9e2302349c0f7a11790df1cb4835ebe1c8990b0dd44d25850","会計年度任用職員の人件費（教育委員会事務局）","一般会計","職員費","職員費","教育職員費","教育委員会事務局 教育総務課","6478119","教育現場を安定して運営する","maintains","公式予算の会計・款・項・目と事業名から「教育現場を安定して運営する」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""stable-school-and-education-operations-official-structure"",""budget_item_key"":""2026_general_expenditure_09_01_08"",""identity_fields"":{""display_program_name"":""会計年度任用職員の人件費（教育委員会事務局）"",""hierarchy"":[""職員費"",""職員費"",""教育職員費""],""department_display_name"":""教育委員会事務局 教育総務課"",""amount_thousand_yen"":6478119},""member_programs"":[{""program_id"":""2026_general_expenditure_09_01_08_01_04_01"",""major_program_name"":""教育関係事務従事職員の人件費"",""budget_program_name"":""会計年度任用職員の人件費（教育委員会事務局）"",""detail_program_name"":""会計年度任用職員の人件費（教育委員会事務局）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10080},{""program_id"":""2026_general_expenditure_09_01_08_01_07_01"",""major_program_name"":""教育関係事務従事職員の人件費"",""budget_program_name"":""会計年度任用職員の人件費（教育委員会事務局）"",""detail_program_name"":""会計年度任用職員の人件費（教育委員会事務局）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10081},{""program_id"":""2026_general_expenditure_09_01_08_01_08_01"",""major_program_name"":""教育関係事務従事職員の人件費"",""budget_program_name"":""会計年度任用職員の人件費（教育委員会事務局）"",""detail_program_name"":""会計年度任用職員の人件費（教育委員会事務局）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10082},{""program_id"":""2026_general_expenditure_09_01_08_01_09_01"",""major_program_name"":""教育関係事務従事職員の人件費"",""budget_program_name"":""会計年度任用職員の人件費（教育委員会事務局）"",""detail_program_name"":""会計年度任用職員の人件費（教育委員会事務局）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10083},{""program_id"":""2026_general_expenditure_09_01_08_01_10_01"",""major_program_name"":""教育関係事務従事職員の人件費"",""budget_program_name"":""会計年度任用職員の人件費（教育委員会事務局）"",""detail_program_name"":""会計年度任用職員の人件費（教育委員会事務局）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10084}],""same_budget_item_other_program_names"":[""教育関係事務従事職員の人件費""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_01_54_44_4960100000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""民生費補助金"",""地域子ども・子育て支援事業"",""一時預かり事業（区立幼稚園）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_13_02_01_54_45_4960100000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""民生費補助金"",""地域子ども・子育て支援事業"",""放課後児童健全育成事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_13_02_05_25_06_4960100000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""教育費補助金"",""教育支援体制整備事業費補助金"",""インクルーシブ教育システム推進事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_92_44_4960100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""地域子ども・子育て支援事業"",""一時預かり事業（区立幼稚園）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_92_45_4960100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""地域子ども・子育て支援事業"",""放課後児童健全育成事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_07_09_02_4960100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""教育費補助金"",""放課後子どもプラン"",""放課後子どもプラン""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_07_15_07_4960100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""教育費補助金"",""スクールソーシャルワーカー活用事業費"",""スクールソーシャルワーカー活用事業費""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_07_15_10_4960100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""教育費補助金"",""スクールソーシャルワーカー活用事業費"",""スクールソーシャルワーカー活用事業費""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_07_15_11_4960100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""教育費補助金"",""スクールソーシャルワーカー活用事業費"",""スクールソーシャルワーカー活用事業費""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_07_31_02_4960100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""教育費補助金"",""スクール・サポート・スタッフ配置支援事業補助金"",""スクール・サポート・スタッフ配置支援事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_07_53_01_4960100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""教育費補助金"",""学校マネジメント強化事業"",""副校長補佐の配置""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_07_59_01_4960100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""教育費補助金"",""東京都公立小・中学校インクルーシブ教育支援員配置補助事業"",""東京都公立小・中学校インクルーシブ教育支援員配置補助事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_07_65_03_4960100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""教育費補助金"",""東京都教育支援体制整備事業費補助金"",""帰国・外国人児童生徒等に対するきめ細かな支援事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_03_07_08_07_4960100000"",""revenue_hierarchy"":[""都支出金"",""都委託金"",""教育費委託金"",""会計年度任用職員報酬"",""小学校費""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_03_07_08_08_4960100000"",""revenue_hierarchy"":[""都支出金"",""都委託金"",""教育費委託金"",""会計年度任用職員報酬"",""中学校費""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_04_06_07_4960100000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""納付金"",""納付金（３）"",""会計年度任用職員社会保険料（教育委員会事務局）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_04_06_56_4960100000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""納付金"",""納付金（３）"",""会計年度任用職員社会保険料（教育委員会事務局）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_04_06_58_4960100000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""納付金"",""納付金（３）"",""会計年度任用職員社会保険料（教育委員会事務局）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_04_06_59_4960100000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""納付金"",""納付金（３）"",""会計年度任用職員社会保険料（教育委員会事務局）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_04_06_60_4960100000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""納付金"",""納付金（３）"",""会計年度任用職員社会保険料（教育委員会事務局）""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_d217e916810a3cb94e8650936067abad934f1d4c33f5779441597cc79cb69555","教育関係事務従事職員の人件費","一般会計","職員費","職員費","教育職員費","総務部 人事課","3327572","教育現場を安定して運営する","maintains","公式予算の会計・款・項・目と事業名から「教育現場を安定して運営する」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""stable-school-and-education-operations-official-structure"",""budget_item_key"":""2026_general_expenditure_09_01_08"",""identity_fields"":{""display_program_name"":""教育関係事務従事職員の人件費"",""hierarchy"":[""職員費"",""職員費"",""教育職員費""],""department_display_name"":""総務部 人事課"",""amount_thousand_yen"":3327572},""member_programs"":[{""program_id"":""2026_general_expenditure_09_01_08_01_01_01"",""major_program_name"":""教育関係事務従事職員の人件費"",""budget_program_name"":""教育関係事務従事職員の人件費"",""detail_program_name"":""教育関係事務従事職員の人件費"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9307}],""same_budget_item_other_program_names"":[""会計年度任用職員の人件費（教育委員会事務局）""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_06_02_02_4985400000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""教育使用料"",""幼稚園"",""幼稚園預かり保育料""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_04_01_29_3205500000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""納付金"",""納付金"",""再任用職員社会保険料（教育）""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_49a233fff89b928698cde2646a26714688b14453a74bacc47c93d311057dea67","学校関係事務従事職員の人件費","一般会計","職員費","職員費","学校職員費","教育委員会事務局 学校職員課","1887388","教育現場を安定して運営する","maintains","公式予算の会計・款・項・目と事業名から「教育現場を安定して運営する」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""stable-school-and-education-operations-official-structure"",""budget_item_key"":""2026_general_expenditure_09_01_09"",""identity_fields"":{""display_program_name"":""学校関係事務従事職員の人件費"",""hierarchy"":[""職員費"",""職員費"",""学校職員費""],""department_display_name"":""教育委員会事務局 学校職員課"",""amount_thousand_yen"":1887388},""member_programs"":[{""program_id"":""2026_general_expenditure_09_01_09_01_01_01"",""major_program_name"":""学校関係事務従事職員の人件費"",""budget_program_name"":""学校関係事務従事職員の人件費"",""detail_program_name"":""学校関係事務従事職員の人件費"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10180}],""same_budget_item_other_program_names"":[""学校関係事務従事職員の人件費""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_19_06_04_01_69_4975100000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""納付金"",""納付金"",""再任用職員社会保険料""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_9411873f69f9cbf6528993ddfe044a487b39734c4d06f3fb8b7d81b0fdc8e60e","校務用電算機システム開発及び運用","一般会計","教育費","教育総務費","事務局費","教育委員会事務局 教育ＤＸ推進担当課","1254959","教育現場を安定して運営する","maintains","公式予算の会計・款・項・目と事業名から「教育現場を安定して運営する」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""stable-school-and-education-operations-official-structure"",""budget_item_key"":""2026_general_expenditure_08_01_02"",""identity_fields"":{""display_program_name"":""校務用電算機システム開発及び運用"",""hierarchy"":[""教育費"",""教育総務費"",""事務局費""],""department_display_name"":""教育委員会事務局 教育ＤＸ推進担当課"",""amount_thousand_yen"":1254959},""member_programs"":[{""program_id"":""2026_general_expenditure_08_01_02_01_14_01"",""major_program_name"":""教育委員会事務局運営費"",""budget_program_name"":""校務用電算機システム開発及び運用"",""detail_program_name"":""校務用電算機システム開発及び運用"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10225}],""same_budget_item_other_program_names"":[""学校庶務事務改善"",""学校職員健康管理事業"",""学校職員被服貸与"",""帰国・外国人児童・生徒教育の推進"",""教育広報"",""教育用電算機システム運用"",""教職員・児童生徒表彰"",""教職員健康管理事業"",""教職員被服貸与"",""事務局庶務事務"",""就学事務""],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_45704755a45de51cc8326aed68830453d1129020d2949c5d60c059632aa4fcda","小学校管理運営","一般会計","教育費","小学校費","学校管理費","教育委員会事務局 学校職員課","1042521","教育現場を安定して運営する","maintains","公式予算の会計・款・項・目と事業名から「教育現場を安定して運営する」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""stable-school-and-education-operations-official-structure"",""budget_item_key"":""2026_general_expenditure_08_02_01"",""identity_fields"":{""display_program_name"":""小学校管理運営"",""hierarchy"":[""教育費"",""小学校費"",""学校管理費""],""department_display_name"":""教育委員会事務局 学校職員課"",""amount_thousand_yen"":1042521},""member_programs"":[{""program_id"":""2026_general_expenditure_08_02_01_01_01_01"",""major_program_name"":""小学校維持運営費"",""budget_program_name"":""小学校管理運営"",""detail_program_name"":""小学校管理運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10178}],""same_budget_item_other_program_names"":[""小学校維持運営"",""小学校維持管理"",""小学校特別支援学級運営"",""通学路安全対策""],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_f9abf213a5ade20b2cef67e95ad42aca81f28888642e0e9ce63d90813a0d3ede","教育用電算機システム運用","一般会計","教育費","教育総務費","事務局費","教育委員会事務局 教育ＤＸ推進担当課","843781","教育現場を安定して運営する","maintains","公式予算の会計・款・項・目と事業名から「教育現場を安定して運営する」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""stable-school-and-education-operations-official-structure"",""budget_item_key"":""2026_general_expenditure_08_01_02"",""identity_fields"":{""display_program_name"":""教育用電算機システム運用"",""hierarchy"":[""教育費"",""教育総務費"",""事務局費""],""department_display_name"":""教育委員会事務局 教育ＤＸ推進担当課"",""amount_thousand_yen"":843781},""member_programs"":[{""program_id"":""2026_general_expenditure_08_01_02_01_15_01"",""major_program_name"":""教育委員会事務局運営費"",""budget_program_name"":""教育用電算機システム運用"",""detail_program_name"":""教育用電算機システム運用"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10226}],""same_budget_item_other_program_names"":[""学校庶務事務改善"",""学校職員健康管理事業"",""学校職員被服貸与"",""帰国・外国人児童・生徒教育の推進"",""教育広報"",""教職員・児童生徒表彰"",""教職員健康管理事業"",""教職員被服貸与"",""校務用電算機システム開発及び運用"",""事務局庶務事務"",""就学事務""],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_203d4186533c9035e22b4fbabc5267f1e4c8f592c079b0596eb2bc7ec984705c","中学校管理運営","一般会計","教育費","中学校費","学校管理費","教育委員会事務局 学校職員課","835990","教育現場を安定して運営する","maintains","公式予算の会計・款・項・目と事業名から「教育現場を安定して運営する」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""stable-school-and-education-operations-official-structure"",""budget_item_key"":""2026_general_expenditure_08_03_01"",""identity_fields"":{""display_program_name"":""中学校管理運営"",""hierarchy"":[""教育費"",""中学校費"",""学校管理費""],""department_display_name"":""教育委員会事務局 学校職員課"",""amount_thousand_yen"":835990},""member_programs"":[{""program_id"":""2026_general_expenditure_08_03_01_01_01_01"",""major_program_name"":""中学校維持運営費"",""budget_program_name"":""中学校管理運営"",""detail_program_name"":""中学校管理運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10179}],""same_budget_item_other_program_names"":[""学びの多様化学校の運営"",""中学校維持運営"",""中学校維持管理"",""中学校特別支援学級運営""],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_ff02bcca28e12b31f550a24948436f4b3b999f05e64f31bdb0d5d62430c59dab","小学校特別支援学級運営","一般会計","教育費","小学校費","学校管理費","教育委員会事務局 支援教育課","278682","教育現場を安定して運営する","maintains","公式予算の会計・款・項・目と事業名から「教育現場を安定して運営する」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""stable-school-and-education-operations-official-structure"",""budget_item_key"":""2026_general_expenditure_08_02_01"",""identity_fields"":{""display_program_name"":""小学校特別支援学級運営"",""hierarchy"":[""教育費"",""小学校費"",""学校管理費""],""department_display_name"":""教育委員会事務局 支援教育課"",""amount_thousand_yen"":278682},""member_programs"":[{""program_id"":""2026_general_expenditure_08_02_01_01_05_01"",""major_program_name"":""小学校維持運営費"",""budget_program_name"":""小学校特別支援学級運営"",""detail_program_name"":""小学校特別支援学級運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10234}],""same_budget_item_other_program_names"":[""小学校維持運営"",""小学校維持管理"",""小学校管理運営"",""通学路安全対策""],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_84e91f7b3a57b22a2db6849d74eae9640015d45e10774f060a2c9252982436b9","中学校特別支援学級運営","一般会計","教育費","中学校費","学校管理費","教育委員会事務局 支援教育課","102705","教育現場を安定して運営する","maintains","公式予算の会計・款・項・目と事業名から「教育現場を安定して運営する」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""stable-school-and-education-operations-official-structure"",""budget_item_key"":""2026_general_expenditure_08_03_01"",""identity_fields"":{""display_program_name"":""中学校特別支援学級運営"",""hierarchy"":[""教育費"",""中学校費"",""学校管理費""],""department_display_name"":""教育委員会事務局 支援教育課"",""amount_thousand_yen"":102705},""member_programs"":[{""program_id"":""2026_general_expenditure_08_03_01_01_06_01"",""major_program_name"":""中学校維持運営費"",""budget_program_name"":""中学校特別支援学級運営"",""detail_program_name"":""中学校特別支援学級運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10235}],""same_budget_item_other_program_names"":[""学びの多様化学校の運営"",""中学校維持運営"",""中学校維持管理"",""中学校管理運営""],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_02dbed34ad160c0e3e15b8c03f83c29729ff17dc8dbbdcb575381979af487a16","通学路安全対策","一般会計","教育費","小学校費","学校管理費","教育委員会事務局 学校健康推進課","82432","教育現場を安定して運営する","maintains","公式予算の会計・款・項・目と事業名から「教育現場を安定して運営する」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""stable-school-and-education-operations-official-structure"",""budget_item_key"":""2026_general_expenditure_08_02_01"",""identity_fields"":{""display_program_name"":""通学路安全対策"",""hierarchy"":[""教育費"",""小学校費"",""学校管理費""],""department_display_name"":""教育委員会事務局 学校健康推進課"",""amount_thousand_yen"":82432},""member_programs"":[{""program_id"":""2026_general_expenditure_08_02_01_01_06_01"",""major_program_name"":""小学校維持運営費"",""budget_program_name"":""通学路安全対策"",""detail_program_name"":""通学路安全対策"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10090}],""same_budget_item_other_program_names"":[""小学校維持運営"",""小学校維持管理"",""小学校管理運営"",""小学校特別支援学級運営""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_07_18_03_4960150000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""教育費補助金"",""教育支援活動促進事業"",""地域ぐるみの学校安全体制の整備補助金（登下校中のパトロール）""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
