"budget_program_identity_id","display_program_name","account_name","kan_name","kou_name","moku_name","department_display_name","amount_thousand_yen","candidate_topic","proposed_relation_type","proposed_explanation","evidence_level","evidence_fields","confidence","review_decision","review_note"
"bpi_c5c11e0d18b6a537a9faeac27417d2e2ec36dccf5bea4d128b598d4050120da6","区民農園維持運営","一般会計","産業経済費","農業費","農業総務費","経済産業部 都市農業課","110809","都市農業","supports","公式予算の会計・款・項・目と事業名から「都市農業」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""urban-agriculture-and-farmland-official-structure"",""budget_item_key"":""2026_general_expenditure_06_02_02"",""identity_fields"":{""display_program_name"":""区民農園維持運営"",""hierarchy"":[""産業経済費"",""農業費"",""農業総務費""],""department_display_name"":""経済産業部 都市農業課"",""amount_thousand_yen"":110809},""member_programs"":[{""program_id"":""2026_general_expenditure_06_02_02_01_10_01"",""major_program_name"":""農業指導奨励費"",""budget_program_name"":""区民農園維持運営"",""detail_program_name"":""区民農園維持運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9487}],""same_budget_item_other_program_names"":[""ふれあい農業推進"",""花卉・そ菜展"",""農業経営安定化"",""農業振興等拠点運営"",""農産物ブランド化推進"",""農地の保全"",""農福連携事業"",""有機農業推進事業""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_04_03_01_3525400000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""産業経済使用料"",""区民農園"",""区民農園""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_05_36_01_3525400000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""産業経済費補助金"",""未来に残す東京の農地プロジェクト補助金"",""区民農園維持運営""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_43ed92ba01b75a5e07351341e4a808aae9a6229951f46622b2116656bb3f2fd5","農地の保全","一般会計","産業経済費","農業費","農業総務費","経済産業部 都市農業課","49582","都市農業","supports","公式予算の会計・款・項・目と事業名から「都市農業」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""urban-agriculture-and-farmland-official-structure"",""budget_item_key"":""2026_general_expenditure_06_02_02"",""identity_fields"":{""display_program_name"":""農地の保全"",""hierarchy"":[""産業経済費"",""農業費"",""農業総務費""],""department_display_name"":""経済産業部 都市農業課"",""amount_thousand_yen"":49582},""member_programs"":[{""program_id"":""2026_general_expenditure_06_02_02_01_02_01"",""major_program_name"":""農業指導奨励費"",""budget_program_name"":""農地の保全"",""detail_program_name"":""農地の保全"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9481}],""same_budget_item_other_program_names"":[""ふれあい農業推進"",""花卉・そ菜展"",""区民農園維持運営"",""農業経営安定化"",""農業振興等拠点運営"",""農産物ブランド化推進"",""農福連携事業"",""有機農業推進事業""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_05_36_02_3525400000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""産業経済費補助金"",""未来に残す東京の農地プロジェクト補助金"",""農地の保全""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_7730b7405cf9a9e4d6925842bb2e0fd1d37fa9225f6718cb2f2e82b97173cd47","花卉・そ菜展","一般会計","産業経済費","農業費","農業総務費","経済産業部 都市農業課","24352","都市農業","supports","公式予算の会計・款・項・目と事業名から「都市農業」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""urban-agriculture-and-farmland-official-structure"",""budget_item_key"":""2026_general_expenditure_06_02_02"",""identity_fields"":{""display_program_name"":""花卉・そ菜展"",""hierarchy"":[""産業経済費"",""農業費"",""農業総務費""],""department_display_name"":""経済産業部 都市農業課"",""amount_thousand_yen"":24352},""member_programs"":[{""program_id"":""2026_general_expenditure_06_02_02_01_08_01"",""major_program_name"":""農業指導奨励費"",""budget_program_name"":""花卉・そ菜展"",""detail_program_name"":""花卉・そ菜展"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9485}],""same_budget_item_other_program_names"":[""ふれあい農業推進"",""区民農園維持運営"",""農業経営安定化"",""農業振興等拠点運営"",""農産物ブランド化推進"",""農地の保全"",""農福連携事業"",""有機農業推進事業""],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_78e53185e5e2e9d9df7412ed39adc54c705c94b6d3f32faf403fa146a76367a0","農業経営安定化","一般会計","産業経済費","農業費","農業総務費","経済産業部 都市農業課","13423","都市農業","supports","公式予算の会計・款・項・目と事業名から「都市農業」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""urban-agriculture-and-farmland-official-structure"",""budget_item_key"":""2026_general_expenditure_06_02_02"",""identity_fields"":{""display_program_name"":""農業経営安定化"",""hierarchy"":[""産業経済費"",""農業費"",""農業総務費""],""department_display_name"":""経済産業部 都市農業課"",""amount_thousand_yen"":13423},""member_programs"":[{""program_id"":""2026_general_expenditure_06_02_02_01_04_01"",""major_program_name"":""農業指導奨励費"",""budget_program_name"":""農業経営安定化"",""detail_program_name"":""農業経営安定化"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9482}],""same_budget_item_other_program_names"":[""ふれあい農業推進"",""花卉・そ菜展"",""区民農園維持運営"",""農業振興等拠点運営"",""農産物ブランド化推進"",""農地の保全"",""農福連携事業"",""有機農業推進事業""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_05_26_01_3525400000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""産業経済費補助金"",""農作物獣害防止対策事業費補助金"",""農作物獣害防止対策事業""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_754aea2fb9c5bedca128fe79cebf1f80e937f4a4e02dd2403c6b3b248ca90211","農業委員会委員報酬","一般会計","産業経済費","農業費","農業委員会費","経済産業部 都市農業課","7380","都市農業","supports","公式予算の会計・款・項・目と事業名から「都市農業」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""urban-agriculture-and-farmland-official-structure"",""budget_item_key"":""2026_general_expenditure_06_02_01"",""identity_fields"":{""display_program_name"":""農業委員会委員報酬"",""hierarchy"":[""産業経済費"",""農業費"",""農業委員会費""],""department_display_name"":""経済産業部 都市農業課"",""amount_thousand_yen"":7380},""member_programs"":[{""program_id"":""2026_general_expenditure_06_02_01_01_01_01"",""major_program_name"":""農業委員会委員報酬"",""budget_program_name"":""農業委員会委員報酬"",""detail_program_name"":""農業委員会委員報酬"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9479}],""same_budget_item_other_program_names"":[""農業委員会運営""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_05_01_01_3525400000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""産業経済費補助金"",""農業委員会費"",""委員報酬""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_7eb8e47a08bb247ced2ea551266b7741300d654e78a09e3833f95e07b0d2337a","農業振興等拠点運営","一般会計","産業経済費","農業費","農業総務費","経済産業部 都市農業課","6475","都市農業","supports","公式予算の会計・款・項・目と事業名から「都市農業」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""urban-agriculture-and-farmland-official-structure"",""budget_item_key"":""2026_general_expenditure_06_02_02"",""identity_fields"":{""display_program_name"":""農業振興等拠点運営"",""hierarchy"":[""産業経済費"",""農業費"",""農業総務費""],""department_display_name"":""経済産業部 都市農業課"",""amount_thousand_yen"":6475},""member_programs"":[{""program_id"":""2026_general_expenditure_06_02_02_01_13_01"",""major_program_name"":""農業指導奨励費"",""budget_program_name"":""農業振興等拠点運営"",""detail_program_name"":""農業振興等拠点運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9488}],""same_budget_item_other_program_names"":[""ふれあい農業推進"",""花卉・そ菜展"",""区民農園維持運営"",""農業経営安定化"",""農産物ブランド化推進"",""農地の保全"",""農福連携事業"",""有機農業推進事業""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_08_67_3525400000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""参加料・利用料"",""次大夫堀公園自然体験農園事業""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_2efcdb206f0c0547cdbc9abe25c05bd44b3af67fba867cbd98db009d31617e74","農産物ブランド化推進","一般会計","産業経済費","農業費","農業総務費","経済産業部 都市農業課","5578","都市農業","supports","公式予算の会計・款・項・目と事業名から「都市農業」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""urban-agriculture-and-farmland-official-structure"",""budget_item_key"":""2026_general_expenditure_06_02_02"",""identity_fields"":{""display_program_name"":""農産物ブランド化推進"",""hierarchy"":[""産業経済費"",""農業費"",""農業総務費""],""department_display_name"":""経済産業部 都市農業課"",""amount_thousand_yen"":5578},""member_programs"":[{""program_id"":""2026_general_expenditure_06_02_02_01_07_01"",""major_program_name"":""農業指導奨励費"",""budget_program_name"":""農産物ブランド化推進"",""detail_program_name"":""農産物ブランド化推進"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9484}],""same_budget_item_other_program_names"":[""ふれあい農業推進"",""花卉・そ菜展"",""区民農園維持運営"",""農業経営安定化"",""農業振興等拠点運営"",""農地の保全"",""農福連携事業"",""有機農業推進事業""],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_9ad8d4874fe82b110798fd222ef92b8be24bf363d324aac7c60abbf3afd51f47","農福連携事業","一般会計","産業経済費","農業費","農業総務費","経済産業部 都市農業課","4838","都市農業","supports","公式予算の会計・款・項・目と事業名から「都市農業」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""urban-agriculture-and-farmland-official-structure"",""budget_item_key"":""2026_general_expenditure_06_02_02"",""identity_fields"":{""display_program_name"":""農福連携事業"",""hierarchy"":[""産業経済費"",""農業費"",""農業総務費""],""department_display_name"":""経済産業部 都市農業課"",""amount_thousand_yen"":4838},""member_programs"":[{""program_id"":""2026_general_expenditure_06_02_02_01_15_01"",""major_program_name"":""農業指導奨励費"",""budget_program_name"":""農福連携事業"",""detail_program_name"":""農福連携事業"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9489}],""same_budget_item_other_program_names"":[""ふれあい農業推進"",""花卉・そ菜展"",""区民農園維持運営"",""農業経営安定化"",""農業振興等拠点運営"",""農産物ブランド化推進"",""農地の保全"",""有機農業推進事業""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_19_06_12_05_08_3525400000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入（２）"",""光熱水費等負担金（３）"",""農福連携事業""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_3f3b654f65420d5995d948b3bb6d3e59b133ccd5e5f48bad7ec588932751cc24","ふれあい農業推進","一般会計","産業経済費","農業費","農業総務費","経済産業部 都市農業課","4356","都市農業","supports","公式予算の会計・款・項・目と事業名から「都市農業」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""urban-agriculture-and-farmland-official-structure"",""budget_item_key"":""2026_general_expenditure_06_02_02"",""identity_fields"":{""display_program_name"":""ふれあい農業推進"",""hierarchy"":[""産業経済費"",""農業費"",""農業総務費""],""department_display_name"":""経済産業部 都市農業課"",""amount_thousand_yen"":4356},""member_programs"":[{""program_id"":""2026_general_expenditure_06_02_02_01_09_01"",""major_program_name"":""農業指導奨励費"",""budget_program_name"":""ふれあい農業推進"",""detail_program_name"":""ふれあい農業推進"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9486}],""same_budget_item_other_program_names"":[""花卉・そ菜展"",""区民農園維持運営"",""農業経営安定化"",""農業振興等拠点運営"",""農産物ブランド化推進"",""農地の保全"",""農福連携事業"",""有機農業推進事業""],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_d45b88b14d56708b593fab6935b48b3fc87d7d5b3b70b7b1097dd347a3ed32d9","農業委員会運営","一般会計","産業経済費","農業費","農業委員会費","経済産業部 都市農業課","3672","都市農業","supports","公式予算の会計・款・項・目と事業名から「都市農業」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""urban-agriculture-and-farmland-official-structure"",""budget_item_key"":""2026_general_expenditure_06_02_01"",""identity_fields"":{""display_program_name"":""農業委員会運営"",""hierarchy"":[""産業経済費"",""農業費"",""農業委員会費""],""department_display_name"":""経済産業部 都市農業課"",""amount_thousand_yen"":3672},""member_programs"":[{""program_id"":""2026_general_expenditure_06_02_01_02_01_01"",""major_program_name"":""農業委員会運営費"",""budget_program_name"":""農業委員会運営"",""detail_program_name"":""農業委員会運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9480}],""same_budget_item_other_program_names"":[""農業委員会委員報酬""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_05_01_02_3525400000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""産業経済費補助金"",""農業委員会費"",""事務運営""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_04_02_01_02_3525400000"",""revenue_hierarchy"":[""諸収入"",""受託事業収入"",""産業経済費受託収入"",""農業者年金費"",""農業者年金基金業務受託事業収入""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
