"budget_program_identity_id","display_program_name","account_name","kan_name","kou_name","moku_name","department_display_name","amount_thousand_yen","candidate_topic","proposed_relation_type","proposed_explanation","evidence_level","evidence_fields","confidence","review_decision","review_note"
"bpi_5514ebac92df97541fc72dcb995412a4efd023cee05294300d6b86ca6ced3ee6","民生関係事務従事職員の人件費","一般会計","職員費","職員費","民生職員費","総務部 人事課","19385105","福祉・保健の人材","enables","公式予算の会計・款・項・目と事業名から「福祉・保健の人材」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""welfare-and-public-health-workforce-official-structure"",""budget_item_key"":""2026_general_expenditure_09_01_03"",""identity_fields"":{""display_program_name"":""民生関係事務従事職員の人件費"",""hierarchy"":[""職員費"",""職員費"",""民生職員費""],""department_display_name"":""総務部 人事課"",""amount_thousand_yen"":19385105},""member_programs"":[{""program_id"":""2026_general_expenditure_09_01_03_01_01_01"",""major_program_name"":""民生関係事務従事職員の人件費"",""budget_program_name"":""民生関係事務従事職員の人件費"",""detail_program_name"":""民生関係事務従事職員の人件費"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9302}],""same_budget_item_other_program_names"":[""会計年度任用職員の人件費（烏山総合支所）"",""会計年度任用職員の人件費（砧総合支所）"",""会計年度任用職員の人件費（玉川総合支所）"",""会計年度任用職員の人件費（高齢福祉部）"",""会計年度任用職員の人件費（子ども・若者部（２））"",""会計年度任用職員の人件費（子ども・若者部）"",""会計年度任用職員の人件費（児童相談所）"",""会計年度任用職員の人件費（障害福祉部）"",""会計年度任用職員の人件費（世田谷総合支所）"",""会計年度任用職員の人件費（保健福祉政策部）"",""会計年度任用職員の人件費（北沢総合支所）""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_01_01_11_05_3595400000"",""revenue_hierarchy"":[""国庫支出金"",""国庫負担金"",""民生費負担金"",""国民年金事務費"",""年金事務""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_13_01_01_11_08_3595400000"",""revenue_hierarchy"":[""国庫支出金"",""国庫負担金"",""民生費負担金"",""国民年金事務費"",""年金生活者支援給付金""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_05_01_3595200000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""旧軍人援護費"",""旧軍人援護""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_15_01_01_04_08_3645100000"",""revenue_hierarchy"":[""財産収入"",""財産運用収入"",""財産貸付収入"",""土地貸付"",""老人保健施設""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_03_01_01_01_3665150000"",""revenue_hierarchy"":[""諸収入"",""貸付金元利収入"",""奨学資金等収入"",""貸付金返還金"",""奨学資金等貸付金返還金""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_04_01_25_3205500000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""納付金"",""納付金"",""再任用職員社会保険料（民生）""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 広域な行政機能topicは具体的な課題topicと重複するため公開しない"
"bpi_9d639f61d0cd8ae35f2160fcb55a44122da0209fd05f067ee108471955cb843a","衛生関係事務従事職員の人件費","一般会計","職員費","職員費","衛生職員費","総務部 人事課","2587333","福祉・保健の人材","enables","公式予算の会計・款・項・目と事業名から「福祉・保健の人材」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""welfare-and-public-health-workforce-official-structure"",""budget_item_key"":""2026_general_expenditure_09_01_05"",""identity_fields"":{""display_program_name"":""衛生関係事務従事職員の人件費"",""hierarchy"":[""職員費"",""職員費"",""衛生職員費""],""department_display_name"":""総務部 人事課"",""amount_thousand_yen"":2587333},""member_programs"":[{""program_id"":""2026_general_expenditure_09_01_05_01_01_01"",""major_program_name"":""衛生関係事務従事職員の人件費"",""budget_program_name"":""衛生関係事務従事職員の人件費"",""detail_program_name"":""衛生関係事務従事職員の人件費"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9304}],""same_budget_item_other_program_names"":[""会計年度任用職員の人件費（烏山総合支所）"",""会計年度任用職員の人件費（砧総合支所）"",""会計年度任用職員の人件費（玉川総合支所）"",""会計年度任用職員の人件費（世田谷総合支所）"",""会計年度任用職員の人件費（世田谷保健所）"",""会計年度任用職員の人件費（北沢総合支所）""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_02_04_04_02_3785700000"",""revenue_hierarchy"":[""使用料及手数料"",""手数料"",""衛生手数料"",""食品衛生"",""衛生監視""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_12_02_04_05_03_3785700000"",""revenue_hierarchy"":[""使用料及手数料"",""手数料"",""衛生手数料"",""環境衛生"",""環境監視手数料""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_12_02_04_08_02_3785700000"",""revenue_hierarchy"":[""使用料及手数料"",""手数料"",""衛生手数料"",""医務薬務"",""医薬品販売業等許可""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_03_02_02_09_3655300000"",""revenue_hierarchy"":[""都支出金"",""都委託金"",""衛生費委託金"",""医療費助成事務費"",""小児精神病等""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_03_02_02_11_3785250000"",""revenue_hierarchy"":[""都支出金"",""都委託金"",""衛生費委託金"",""医療費助成事務費"",""難病医療費事務費交付金""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_04_01_27_3205500000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""納付金"",""納付金"",""再任用職員社会保険料（衛生）""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 広域な行政機能topicは具体的な課題topicと重複するため公開しない"
"bpi_5939d32e45ec716f31e67094aa1fdc3e15149a40dfc89175ae186f2e884591b1","会計年度任用職員の人件費（子ども・若者部（２））","一般会計","職員費","職員費","民生職員費","子ども・若者部 子ども・若者支援課","2353017","福祉・保健の人材","enables","公式予算の会計・款・項・目と事業名から「福祉・保健の人材」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""welfare-and-public-health-workforce-official-structure"",""budget_item_key"":""2026_general_expenditure_09_01_03"",""identity_fields"":{""display_program_name"":""会計年度任用職員の人件費（子ども・若者部（２））"",""hierarchy"":[""職員費"",""職員費"",""民生職員費""],""department_display_name"":""子ども・若者部 子ども・若者支援課"",""amount_thousand_yen"":2353017},""member_programs"":[{""program_id"":""2026_general_expenditure_09_01_03_01_20_01"",""major_program_name"":""民生関係事務従事職員の人件費"",""budget_program_name"":""会計年度任用職員の人件費（子ども・若者部（２））"",""detail_program_name"":""会計年度任用職員の人件費（子ども・若者部（２））"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9799}],""same_budget_item_other_program_names"":[""会計年度任用職員の人件費（烏山総合支所）"",""会計年度任用職員の人件費（砧総合支所）"",""会計年度任用職員の人件費（玉川総合支所）"",""会計年度任用職員の人件費（高齢福祉部）"",""会計年度任用職員の人件費（子ども・若者部）"",""会計年度任用職員の人件費（児童相談所）"",""会計年度任用職員の人件費（障害福祉部）"",""会計年度任用職員の人件費（世田谷総合支所）"",""会計年度任用職員の人件費（保健福祉政策部）"",""会計年度任用職員の人件費（北沢総合支所）"",""民生関係事務従事職員の人件費""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_19_06_04_06_25_3665150000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""納付金"",""納付金（３）"",""会計年度任用職員社会保険料（子ども・若者部（２））""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 広域な行政機能topicは具体的な課題topicと重複するため公開しない"
"bpi_b20577636fe2f4187fd662b1f0fc27c1a15b49e5c5e258c012206f3f329eb489","会計年度任用職員の人件費（子ども・若者部）","一般会計","職員費","職員費","民生職員費","子ども・若者部 子ども・若者支援課","273208","福祉・保健の人材","enables","公式予算の会計・款・項・目と事業名から「福祉・保健の人材」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""welfare-and-public-health-workforce-official-structure"",""budget_item_key"":""2026_general_expenditure_09_01_03"",""identity_fields"":{""display_program_name"":""会計年度任用職員の人件費（子ども・若者部）"",""hierarchy"":[""職員費"",""職員費"",""民生職員費""],""department_display_name"":""子ども・若者部 子ども・若者支援課"",""amount_thousand_yen"":273208},""member_programs"":[{""program_id"":""2026_general_expenditure_09_01_03_01_18_01"",""major_program_name"":""民生関係事務従事職員の人件費"",""budget_program_name"":""会計年度任用職員の人件費（子ども・若者部）"",""detail_program_name"":""会計年度任用職員の人件費（子ども・若者部）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9798},{""program_id"":""2026_general_expenditure_09_01_03_01_23_01"",""major_program_name"":""民生関係事務従事職員の人件費"",""budget_program_name"":""会計年度任用職員の人件費（子ども・若者部）"",""detail_program_name"":""会計年度任用職員の人件費（子ども・若者部）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9800}],""same_budget_item_other_program_names"":[""会計年度任用職員の人件費（烏山総合支所）"",""会計年度任用職員の人件費（砧総合支所）"",""会計年度任用職員の人件費（玉川総合支所）"",""会計年度任用職員の人件費（高齢福祉部）"",""会計年度任用職員の人件費（子ども・若者部（２））"",""会計年度任用職員の人件費（児童相談所）"",""会計年度任用職員の人件費（障害福祉部）"",""会計年度任用職員の人件費（世田谷総合支所）"",""会計年度任用職員の人件費（保健福祉政策部）"",""会計年度任用職員の人件費（北沢総合支所）"",""民生関係事務従事職員の人件費""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_01_78_30_3665570000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""民生費補助金"",""重層的支援体制整備事業"",""利用者支援事業（こども家庭センター型）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_68_30_3665500000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""子供家庭支援区市町村包括補助事業"",""発達支援親子グループ事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_08_68_06_3665150000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金（２）"",""子供家庭支援区市町村包括補助事業（２）"",""子どもの権利擁護""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_04_06_19_3665150000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""納付金"",""納付金（３）"",""会計年度任用職員社会保険料（子ども・若者部）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_04_06_62_3665150000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""納付金"",""納付金（３）"",""会計年度任用職員社会保険料（子ども・若者部）""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 広域な行政機能topicは具体的な課題topicと重複するため公開しない"
"bpi_11c09a256ac1f0b08b604ed1e947ffc80d0cb7edff4703759634a064845e0bd8","会計年度任用職員の人件費（世田谷保健所）","一般会計","職員費","職員費","衛生職員費","世田谷保健所 健康企画課","178711","福祉・保健の人材","enables","公式予算の会計・款・項・目と事業名から「福祉・保健の人材」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""welfare-and-public-health-workforce-official-structure"",""budget_item_key"":""2026_general_expenditure_09_01_05"",""identity_fields"":{""display_program_name"":""会計年度任用職員の人件費（世田谷保健所）"",""hierarchy"":[""職員費"",""職員費"",""衛生職員費""],""department_display_name"":""世田谷保健所 健康企画課"",""amount_thousand_yen"":178711},""member_programs"":[{""program_id"":""2026_general_expenditure_09_01_05_01_14_01"",""major_program_name"":""衛生関係事務従事職員の人件費"",""budget_program_name"":""会計年度任用職員の人件費（世田谷保健所）"",""detail_program_name"":""会計年度任用職員の人件費（世田谷保健所）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9891},{""program_id"":""2026_general_expenditure_09_01_05_01_16_01"",""major_program_name"":""衛生関係事務従事職員の人件費"",""budget_program_name"":""会計年度任用職員の人件費（世田谷保健所）"",""detail_program_name"":""会計年度任用職員の人件費（世田谷保健所）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9892}],""same_budget_item_other_program_names"":[""衛生関係事務従事職員の人件費"",""会計年度任用職員の人件費（烏山総合支所）"",""会計年度任用職員の人件費（砧総合支所）"",""会計年度任用職員の人件費（玉川総合支所）"",""会計年度任用職員の人件費（世田谷総合支所）"",""会計年度任用職員の人件費（北沢総合支所）""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_03_15_02_3785100000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""衛生費補助金"",""地域保健対策費"",""地域保健従事者現任教育推進事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_03_02_01_03_3785100000"",""revenue_hierarchy"":[""都支出金"",""都委託金"",""衛生費委託金"",""衛生統計費"",""人口動態調査等""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_04_06_26_3785100000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""納付金"",""納付金（３）"",""会計年度任用職員社会保険料（世田谷保健所）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_04_06_63_3785100000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""納付金"",""納付金（３）"",""会計年度任用職員社会保険料（世田谷保健所）""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 広域な行政機能topicは具体的な課題topicと重複するため公開しない"
"bpi_abbd17f8fda03037d67a0c443732282df2af2dadfa3166b668a4dab9be8a79b0","会計年度任用職員の人件費（児童相談所）","一般会計","職員費","職員費","民生職員費","児童相談所 児童相談課","134156","福祉・保健の人材","enables","公式予算の会計・款・項・目と事業名から「福祉・保健の人材」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""welfare-and-public-health-workforce-official-structure"",""budget_item_key"":""2026_general_expenditure_09_01_03"",""identity_fields"":{""display_program_name"":""会計年度任用職員の人件費（児童相談所）"",""hierarchy"":[""職員費"",""職員費"",""民生職員費""],""department_display_name"":""児童相談所 児童相談課"",""amount_thousand_yen"":134156},""member_programs"":[{""program_id"":""2026_general_expenditure_09_01_03_01_19_03"",""major_program_name"":""民生関係事務従事職員の人件費"",""budget_program_name"":""会計年度任用職員の人件費（児童相談所）"",""detail_program_name"":""会計年度任用職員の人件費（児童相談所）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9871}],""same_budget_item_other_program_names"":[""会計年度任用職員の人件費（烏山総合支所）"",""会計年度任用職員の人件費（砧総合支所）"",""会計年度任用職員の人件費（玉川総合支所）"",""会計年度任用職員の人件費（高齢福祉部）"",""会計年度任用職員の人件費（子ども・若者部（２））"",""会計年度任用職員の人件費（子ども・若者部）"",""会計年度任用職員の人件費（障害福祉部）"",""会計年度任用職員の人件費（世田谷総合支所）"",""会計年度任用職員の人件費（保健福祉政策部）"",""会計年度任用職員の人件費（北沢総合支所）"",""民生関係事務従事職員の人件費""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_01_01_43_03_3695200000"",""revenue_hierarchy"":[""国庫支出金"",""国庫負担金"",""民生費負担金"",""児童入所施設費等"",""一時保護所運営""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_04_06_37_3695150000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""納付金"",""納付金（３）"",""会計年度任用職員社会保険料（児童相談所）""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 広域な行政機能topicは具体的な課題topicと重複するため公開しない"
"bpi_b9f1165f165cc6c8a854899bb8a10556c041f2a5f248c866e36eadfd1f138699","会計年度任用職員の人件費（保健福祉政策部）","一般会計","職員費","職員費","民生職員費","保健福祉政策部 保健福祉政策課","128690","福祉・保健の人材","enables","公式予算の会計・款・項・目と事業名から「福祉・保健の人材」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""welfare-and-public-health-workforce-official-structure"",""budget_item_key"":""2026_general_expenditure_09_01_03"",""identity_fields"":{""display_program_name"":""会計年度任用職員の人件費（保健福祉政策部）"",""hierarchy"":[""職員費"",""職員費"",""民生職員費""],""department_display_name"":""保健福祉政策部 保健福祉政策課"",""amount_thousand_yen"":128690},""member_programs"":[{""program_id"":""2026_general_expenditure_09_01_03_01_15_01"",""major_program_name"":""民生関係事務従事職員の人件費"",""budget_program_name"":""会計年度任用職員の人件費（保健福祉政策部）"",""detail_program_name"":""会計年度任用職員の人件費（保健福祉政策部）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9536}],""same_budget_item_other_program_names"":[""会計年度任用職員の人件費（烏山総合支所）"",""会計年度任用職員の人件費（砧総合支所）"",""会計年度任用職員の人件費（玉川総合支所）"",""会計年度任用職員の人件費（高齢福祉部）"",""会計年度任用職員の人件費（子ども・若者部（２））"",""会計年度任用職員の人件費（子ども・若者部）"",""会計年度任用職員の人件費（児童相談所）"",""会計年度任用職員の人件費（障害福祉部）"",""会計年度任用職員の人件費（世田谷総合支所）"",""会計年度任用職員の人件費（北沢総合支所）"",""民生関係事務従事職員の人件費""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_01_01_31_07_3595110000"",""revenue_hierarchy"":[""国庫支出金"",""国庫負担金"",""民生費負担金"",""生活困窮者自立相談支援事業費等負担金"",""被保護者就労支援事業費（生保事務）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_13_01_01_31_08_3595110000"",""revenue_hierarchy"":[""国庫支出金"",""国庫負担金"",""民生費負担金"",""生活困窮者自立相談支援事業費等負担金"",""生活困窮者自立相談支援事業費""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_13_01_01_45_05_3595110000"",""revenue_hierarchy"":[""国庫支出金"",""国庫負担金"",""民生費負担金"",""重層的支援体制整備事業"",""生活困窮者自立相談支援事業費（会計年度任用職員人件費）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_13_02_01_56_18_3595110000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""民生費補助金"",""生活困窮者就労準備支援事業費等補助金"",""生活保護適正実施推進事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_13_03_01_05_02_3595110000"",""revenue_hierarchy"":[""国庫支出金"",""国庫委託金"",""民生費委託金"",""特定中国残留邦人等支援事業"",""特定中国残留邦人等支援事業費""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_60_74_3595110000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""地域福祉推進区市町村包括補助事業"",""保健福祉サービス苦情審査会（専門調査員人件費分）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_60_75_3595110000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""地域福祉推進区市町村包括補助事業"",""保健福祉サービス向上委員会運営事業（専門調査員人件費分）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_04_06_08_3595110000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""納付金"",""納付金（３）"",""会計年度任用職員社会保険料（保健福祉政策部）""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 広域な行政機能topicは具体的な課題topicと重複するため公開しない"
"bpi_181d68cd53e1bae8c0ff0b19f41abc04ca2fba5d55dc0649f06039d0ddf44c32","会計年度任用職員の人件費（障害福祉部）","一般会計","職員費","職員費","民生職員費","障害福祉部 障害施策課","61654","福祉・保健の人材","enables","公式予算の会計・款・項・目と事業名から「福祉・保健の人材」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""welfare-and-public-health-workforce-official-structure"",""budget_item_key"":""2026_general_expenditure_09_01_03"",""identity_fields"":{""display_program_name"":""会計年度任用職員の人件費（障害福祉部）"",""hierarchy"":[""職員費"",""職員費"",""民生職員費""],""department_display_name"":""障害福祉部 障害施策課"",""amount_thousand_yen"":61654},""member_programs"":[{""program_id"":""2026_general_expenditure_09_01_03_01_17_01"",""major_program_name"":""民生関係事務従事職員の人件費"",""budget_program_name"":""会計年度任用職員の人件費（障害福祉部）"",""detail_program_name"":""会計年度任用職員の人件費（障害福祉部）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9734},{""program_id"":""2026_general_expenditure_09_01_03_01_24_01"",""major_program_name"":""民生関係事務従事職員の人件費"",""budget_program_name"":""会計年度任用職員の人件費（障害福祉部）"",""detail_program_name"":""会計年度任用職員の人件費（障害福祉部）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9735}],""same_budget_item_other_program_names"":[""会計年度任用職員の人件費（烏山総合支所）"",""会計年度任用職員の人件費（砧総合支所）"",""会計年度任用職員の人件費（玉川総合支所）"",""会計年度任用職員の人件費（高齢福祉部）"",""会計年度任用職員の人件費（子ども・若者部（２））"",""会計年度任用職員の人件費（子ども・若者部）"",""会計年度任用職員の人件費（児童相談所）"",""会計年度任用職員の人件費（世田谷総合支所）"",""会計年度任用職員の人件費（保健福祉政策部）"",""会計年度任用職員の人件費（北沢総合支所）"",""民生関係事務従事職員の人件費""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_68_86_3655100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""子供家庭支援区市町村包括補助事業"",""発達障害支援相談員""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_04_06_10_3655100000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""納付金"",""納付金（３）"",""会計年度任用職員社会保険料（障害福祉部）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_04_06_61_3655100000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""納付金"",""納付金（３）"",""会計年度任用職員社会保険料（障害福祉部）""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 広域な行政機能topicは具体的な課題topicと重複するため公開しない"
"bpi_fa8dd2d3248166a974a489fa6fb65e60a2b628120edb1174be40467b94a43029","会計年度任用職員の人件費（烏山総合支所）","一般会計","職員費","職員費","民生職員費","烏山総合支所 生活支援課","13250","福祉・保健の人材","enables","公式予算の会計・款・項・目と事業名から「福祉・保健の人材」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""welfare-and-public-health-workforce-official-structure"",""budget_item_key"":""2026_general_expenditure_09_01_03"",""identity_fields"":{""display_program_name"":""会計年度任用職員の人件費（烏山総合支所）"",""hierarchy"":[""職員費"",""職員費"",""民生職員費""],""department_display_name"":""烏山総合支所 生活支援課"",""amount_thousand_yen"":13250},""member_programs"":[{""program_id"":""2026_general_expenditure_09_01_03_01_14_01"",""major_program_name"":""民生関係事務従事職員の人件費"",""budget_program_name"":""会計年度任用職員の人件費（烏山総合支所）"",""detail_program_name"":""会計年度任用職員の人件費（烏山総合支所）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9235}],""same_budget_item_other_program_names"":[""会計年度任用職員の人件費（砧総合支所）"",""会計年度任用職員の人件費（玉川総合支所）"",""会計年度任用職員の人件費（高齢福祉部）"",""会計年度任用職員の人件費（子ども・若者部（２））"",""会計年度任用職員の人件費（子ども・若者部）"",""会計年度任用職員の人件費（児童相談所）"",""会計年度任用職員の人件費（障害福祉部）"",""会計年度任用職員の人件費（世田谷総合支所）"",""会計年度任用職員の人件費（保健福祉政策部）"",""会計年度任用職員の人件費（北沢総合支所）"",""民生関係事務従事職員の人件費""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_19_06_04_06_55_2565100000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""納付金"",""納付金（３）"",""会計年度任用職員社会保険料（烏山総合支所）""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 広域な行政機能topicは具体的な課題topicと重複するため公開しない"
"bpi_41df3ff6c5153db6480ef1d345b238e6316a2aa568e3c17ad8e8c20b778a1c0e","会計年度任用職員の人件費（玉川総合支所）","一般会計","職員費","職員費","民生職員費","玉川総合支所 生活支援課","12690","福祉・保健の人材","enables","公式予算の会計・款・項・目と事業名から「福祉・保健の人材」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""welfare-and-public-health-workforce-official-structure"",""budget_item_key"":""2026_general_expenditure_09_01_03"",""identity_fields"":{""display_program_name"":""会計年度任用職員の人件費（玉川総合支所）"",""hierarchy"":[""職員費"",""職員費"",""民生職員費""],""department_display_name"":""玉川総合支所 生活支援課"",""amount_thousand_yen"":12690},""member_programs"":[{""program_id"":""2026_general_expenditure_09_01_03_01_12_01"",""major_program_name"":""民生関係事務従事職員の人件費"",""budget_program_name"":""会計年度任用職員の人件費（玉川総合支所）"",""detail_program_name"":""会計年度任用職員の人件費（玉川総合支所）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9173}],""same_budget_item_other_program_names"":[""会計年度任用職員の人件費（烏山総合支所）"",""会計年度任用職員の人件費（砧総合支所）"",""会計年度任用職員の人件費（高齢福祉部）"",""会計年度任用職員の人件費（子ども・若者部（２））"",""会計年度任用職員の人件費（子ども・若者部）"",""会計年度任用職員の人件費（児童相談所）"",""会計年度任用職員の人件費（障害福祉部）"",""会計年度任用職員の人件費（世田谷総合支所）"",""会計年度任用職員の人件費（保健福祉政策部）"",""会計年度任用職員の人件費（北沢総合支所）"",""民生関係事務従事職員の人件費""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_19_06_04_06_53_2365100000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""納付金"",""納付金（３）"",""会計年度任用職員社会保険料（玉川総合支所）""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 広域な行政機能topicは具体的な課題topicと重複するため公開しない"
