"budget_program_identity_id","display_program_name","account_name","kan_name","kou_name","moku_name","department_display_name","amount_thousand_yen","candidate_topic","proposed_relation_type","proposed_explanation","evidence_level","evidence_fields","confidence","review_decision","review_note"
"bpi_fc7fb4925f2b99a3ae501dc2856ec0f0f72494b7ae0ef4f4a6473dd400ae4c25","総合事業指定事業者実施サービス等諸費","介護保険事業会計","地域支援事業費","介護予防・日常生活支援総合事業費","介護予防・日常生活支援総合事業費","高齢福祉部 介護保険課","1285437","介護予防と地域生活の支援","supports","介護保険事業会計の地域支援事業費に属することが公式階層で確認できるため、介護予防と地域生活を支える構造的な候補とした。個別の関係は人間レビューで確定する。","B_strong_structural","{""matched_rule_id"":""long-term-care-community-support"",""budget_item_key"":""2026_long_term_care_insurance_expenditure_49_03_01"",""identity_fields"":{""display_program_name"":""総合事業指定事業者実施サービス等諸費"",""hierarchy"":[""地域支援事業費"",""介護予防・日常生活支援総合事業費"",""介護予防・日常生活支援総合事業費""],""department_display_name"":""高齢福祉部 介護保険課"",""amount_thousand_yen"":1285437},""member_programs"":[{""program_id"":""2026_long_term_care_insurance_expenditure_49_03_01_01_09_01"",""major_program_name"":""介護予防・日常生活支援総合事業費"",""budget_program_name"":""総合事業指定事業者実施サービス等諸費"",""detail_program_name"":""総合事業指定事業者実施サービス等諸費"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9683}],""same_budget_item_other_program_names"":[""サービス・活動事業"",""一般介護予防事業"",""高額介護サービス費相当等事業費""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_41_01_01_01_64_3645200000"",""revenue_hierarchy"":[""保険料"",""介護保険料"",""第１号被保険者保険料"",""現年度分特別徴収分"",""総合事業指定事業者実施サービス等諸費""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_43_02_01_01_36_3645200000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""調整交付金"",""現年度分"",""総合事業指定事業者実施サービス等諸費（調整）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_43_02_14_01_13_3645200000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""地域支援事業交付金（介護予防・日常生活支援総合事業）"",""現年度分"",""総合事業指定事業者実施サービス等諸費（地域支援）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_44_01_03_01_09_3645200000"",""revenue_hierarchy"":[""支払基金交付金"",""支払基金交付金"",""地域支援事業支援交付金（介護予防・日常生活支援総合事業）"",""現年度分"",""総合事業指定事業者実施サービス等諸費""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_45_03_08_01_09_3645200000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""地域支援事業交付金（介護予防・日常生活支援総合事業）"",""現年度分"",""総合事業指定事業者実施サービス等諸費""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_48_01_05_01_10_3645200000"",""revenue_hierarchy"":[""繰入金"",""一般会計繰入金"",""地域支援事業繰入金（介護予防・日常生活支援総合事業）"",""現年度分"",""総合事業指定事業者実施サービス等諸費""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_7b131f4de76f3f4dccf996785b67622db5b130d7c116eb23fd4c49740dc57596","サービス・活動事業","介護保険事業会計","地域支援事業費","介護予防・日常生活支援総合事業費","介護予防・日常生活支援総合事業費","高齢福祉部 介護予防・支援課","249630","介護予防と地域生活の支援","supports","介護保険事業会計の地域支援事業費に属することが公式階層で確認できるため、介護予防と地域生活を支える構造的な候補とした。個別の関係は人間レビューで確定する。","B_strong_structural","{""matched_rule_id"":""long-term-care-community-support"",""budget_item_key"":""2026_long_term_care_insurance_expenditure_49_03_01"",""identity_fields"":{""display_program_name"":""サービス・活動事業"",""hierarchy"":[""地域支援事業費"",""介護予防・日常生活支援総合事業費"",""介護予防・日常生活支援総合事業費""],""department_display_name"":""高齢福祉部 介護予防・支援課"",""amount_thousand_yen"":249630},""member_programs"":[{""program_id"":""2026_long_term_care_insurance_expenditure_49_03_01_01_06_01"",""major_program_name"":""介護予防・日常生活支援総合事業費"",""budget_program_name"":""サービス・活動事業"",""detail_program_name"":""サービス・活動事業"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9699}],""same_budget_item_other_program_names"":[""一般介護予防事業"",""高額介護サービス費相当等事業費"",""総合事業指定事業者実施サービス等諸費""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_41_01_01_01_57_3645300000"",""revenue_hierarchy"":[""保険料"",""介護保険料"",""第１号被保険者保険料"",""現年度分特別徴収分"",""サービス・活動事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_43_02_01_01_34_3645300000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""調整交付金"",""現年度分"",""サービス・活動事業（調整）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_43_02_14_01_11_3645300000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""地域支援事業交付金（介護予防・日常生活支援総合事業）"",""現年度分"",""サービス・活動事業（地域支援）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_43_02_17_01_02_3645300000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""介護保険保険者努力支援交付金"",""介護保険保険者努力支援交付金"",""サービス・活動事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_44_01_03_01_05_3645300000"",""revenue_hierarchy"":[""支払基金交付金"",""支払基金交付金"",""地域支援事業支援交付金（介護予防・日常生活支援総合事業）"",""現年度分"",""サービス・活動事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_45_03_08_01_05_3645300000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""地域支援事業交付金（介護予防・日常生活支援総合事業）"",""現年度分"",""サービス・活動事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_48_01_05_01_05_3645300000"",""revenue_hierarchy"":[""繰入金"",""一般会計繰入金"",""地域支援事業繰入金（介護予防・日常生活支援総合事業）"",""現年度分"",""サービス・活動事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_50_04_04_01_17_3645300000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""雑入"",""介護予防ケアマネジメント費返還金""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_9aa29a81195366086b47888f03521abd0e30363ba6eeba778366f565cfa02afc","一般介護予防事業","介護保険事業会計","地域支援事業費","介護予防・日常生活支援総合事業費","介護予防・日常生活支援総合事業費","高齢福祉部 介護予防・支援課","223985","介護予防と地域生活の支援","supports","介護保険事業会計の地域支援事業費に属することが公式階層で確認できるため、介護予防と地域生活を支える構造的な候補とした。個別の関係は人間レビューで確定する。","B_strong_structural","{""matched_rule_id"":""long-term-care-community-support"",""budget_item_key"":""2026_long_term_care_insurance_expenditure_49_03_01"",""identity_fields"":{""display_program_name"":""一般介護予防事業"",""hierarchy"":[""地域支援事業費"",""介護予防・日常生活支援総合事業費"",""介護予防・日常生活支援総合事業費""],""department_display_name"":""高齢福祉部 介護予防・支援課"",""amount_thousand_yen"":223985},""member_programs"":[{""program_id"":""2026_long_term_care_insurance_expenditure_49_03_01_01_05_01"",""major_program_name"":""介護予防・日常生活支援総合事業費"",""budget_program_name"":""一般介護予防事業"",""detail_program_name"":""一般介護予防事業"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9698}],""same_budget_item_other_program_names"":[""サービス・活動事業"",""高額介護サービス費相当等事業費"",""総合事業指定事業者実施サービス等諸費""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_43_02_01_01_35_3645300000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""調整交付金"",""現年度分"",""一般介護予防事業（調整）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_43_02_14_01_12_3645300000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""地域支援事業交付金（介護予防・日常生活支援総合事業）"",""現年度分"",""一般介護予防事業（地域支援）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_43_02_17_01_01_3645300000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""介護保険保険者努力支援交付金"",""介護保険保険者努力支援交付金"",""一般介護予防事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_44_01_03_01_07_3645300000"",""revenue_hierarchy"":[""支払基金交付金"",""支払基金交付金"",""地域支援事業支援交付金（介護予防・日常生活支援総合事業）"",""現年度分"",""一般介護予防事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_45_03_08_01_07_3645300000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""地域支援事業交付金（介護予防・日常生活支援総合事業）"",""現年度分"",""一般介護予防事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_48_01_05_01_08_3645300000"",""revenue_hierarchy"":[""繰入金"",""一般会計繰入金"",""地域支援事業繰入金（介護予防・日常生活支援総合事業）"",""現年度分"",""一般介護予防事業""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_c819a60602282a711e9933e2fd46c189c7840e6d8cc381b6b41b5a76cc3231fe","高齢者おむつ支給","介護保険事業会計","地域支援事業費","包括支援事業・任意事業費","任意事業費","高齢福祉部 高齢福祉課","181861","介護予防と地域生活の支援","supports","介護保険事業会計の地域支援事業費に属することが公式階層で確認できるため、介護予防と地域生活を支える構造的な候補とした。個別の関係は人間レビューで確定する。","B_strong_structural","{""matched_rule_id"":""long-term-care-community-support"",""budget_item_key"":""2026_long_term_care_insurance_expenditure_49_02_02"",""identity_fields"":{""display_program_name"":""高齢者おむつ支給"",""hierarchy"":[""地域支援事業費"",""包括支援事業・任意事業費"",""任意事業費""],""department_display_name"":""高齢福祉部 高齢福祉課"",""amount_thousand_yen"":181861},""member_programs"":[{""program_id"":""2026_long_term_care_insurance_expenditure_49_02_02_01_03_01"",""major_program_name"":""任意事業費"",""budget_program_name"":""高齢者おむつ支給"",""detail_program_name"":""高齢者おむつ支給"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9646}],""same_budget_item_other_program_names"":[""家族介護支援事業"",""介護給付適正化事業"",""高齢者安心コール"",""住宅改修アドバイザー派遣"",""成年後見報酬助成"",""認知症ケア推進事業""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_41_01_01_01_33_3645100000"",""revenue_hierarchy"":[""保険料"",""介護保険料"",""第１号被保険者保険料"",""現年度分特別徴収分"",""高齢者おむつ支給""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_43_02_05_01_04_3645100000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""地域支援事業交付金（包括的支援事業・任意事業）"",""現年度分"",""高齢者おむつ支給""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_45_03_02_01_04_3645100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""地域支援事業交付金（包括的支援事業・任意事業）"",""現年度分"",""高齢者おむつ支給""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_48_01_04_01_04_3645100000"",""revenue_hierarchy"":[""繰入金"",""一般会計繰入金"",""地域支援事業繰入金（包括的支援・任意事業）"",""現年度分"",""高齢者おむつ支給""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_cb11731fa879eed02b417923e076978c444d67ae28a64fd45bab289f8c68f0a3","在宅医療・介護連携推進事業","介護保険事業会計","地域支援事業費","包括支援事業・任意事業費","包括的支援事業費","保健福祉政策部 保福推進課","80167","介護予防と地域生活の支援","supports","介護保険事業会計の地域支援事業費に属することが公式階層で確認できるため、介護予防と地域生活を支える構造的な候補とした。個別の関係は人間レビューで確定する。","B_strong_structural","{""matched_rule_id"":""long-term-care-community-support"",""budget_item_key"":""2026_long_term_care_insurance_expenditure_49_02_01"",""identity_fields"":{""display_program_name"":""在宅医療・介護連携推進事業"",""hierarchy"":[""地域支援事業費"",""包括支援事業・任意事業費"",""包括的支援事業費""],""department_display_name"":""保健福祉政策部 保福推進課"",""amount_thousand_yen"":80167},""member_programs"":[{""program_id"":""2026_long_term_care_insurance_expenditure_49_02_01_01_05_01"",""major_program_name"":""包括的支援事業費"",""budget_program_name"":""在宅医療・介護連携推進事業"",""detail_program_name"":""在宅医療・介護連携推進事業"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9548}],""same_budget_item_other_program_names"":[""地域包括支援センター運営委託"",""認知症包括支援事業""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_43_02_05_01_17_3595150000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""地域支援事業交付金（包括的支援事業・任意事業）"",""現年度分"",""在宅医療・介護連携推進事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_43_02_17_01_06_3595150000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""介護保険保険者努力支援交付金"",""介護保険保険者努力支援交付金"",""在宅医療・介護連携推進事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_45_03_02_01_17_3595150000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""地域支援事業交付金（包括的支援事業・任意事業）"",""現年度分"",""在宅医療・介護連携推進事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_48_01_04_01_17_3595150000"",""revenue_hierarchy"":[""繰入金"",""一般会計繰入金"",""地域支援事業繰入金（包括的支援・任意事業）"",""現年度分"",""在宅医療・介護連携推進事業""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_5850d1e5a4e956262686f8db6117c7d94d3ae64c56a46940679cbd41409ba281","認知症包括支援事業","介護保険事業会計","地域支援事業費","包括支援事業・任意事業費","包括的支援事業費","高齢福祉部 介護予防・支援課","53407","介護予防と地域生活の支援","supports","介護保険事業会計の地域支援事業費に属することが公式階層で確認できるため、介護予防と地域生活を支える構造的な候補とした。個別の関係は人間レビューで確定する。","B_strong_structural","{""matched_rule_id"":""long-term-care-community-support"",""budget_item_key"":""2026_long_term_care_insurance_expenditure_49_02_01"",""identity_fields"":{""display_program_name"":""認知症包括支援事業"",""hierarchy"":[""地域支援事業費"",""包括支援事業・任意事業費"",""包括的支援事業費""],""department_display_name"":""高齢福祉部 介護予防・支援課"",""amount_thousand_yen"":53407},""member_programs"":[{""program_id"":""2026_long_term_care_insurance_expenditure_49_02_01_01_03_01"",""major_program_name"":""包括的支援事業費"",""budget_program_name"":""認知症包括支援事業"",""detail_program_name"":""認知症包括支援事業"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9696}],""same_budget_item_other_program_names"":[""在宅医療・介護連携推進事業"",""地域包括支援センター運営委託""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_43_02_05_01_14_3645300000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""地域支援事業交付金（包括的支援事業・任意事業）"",""現年度分"",""認知症包括支援事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_43_02_17_01_05_3645300000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""介護保険保険者努力支援交付金"",""介護保険保険者努力支援交付金"",""認知症包括支援事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_45_03_02_01_14_3645300000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""地域支援事業交付金（包括的支援事業・任意事業）"",""現年度分"",""認知症包括支援事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_48_01_04_01_14_3645300000"",""revenue_hierarchy"":[""繰入金"",""一般会計繰入金"",""地域支援事業繰入金（包括的支援・任意事業）"",""現年度分"",""認知症包括支援事業""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_7eef77dbfc3f9ce5478a03faff86c91fbefc7b64a6f6b94f2bcb0079f6756a23","高齢者安心コール","介護保険事業会計","地域支援事業費","包括支援事業・任意事業費","任意事業費","高齢福祉部 高齢福祉課","38506","介護予防と地域生活の支援","supports","介護保険事業会計の地域支援事業費に属することが公式階層で確認できるため、介護予防と地域生活を支える構造的な候補とした。個別の関係は人間レビューで確定する。","B_strong_structural","{""matched_rule_id"":""long-term-care-community-support"",""budget_item_key"":""2026_long_term_care_insurance_expenditure_49_02_02"",""identity_fields"":{""display_program_name"":""高齢者安心コール"",""hierarchy"":[""地域支援事業費"",""包括支援事業・任意事業費"",""任意事業費""],""department_display_name"":""高齢福祉部 高齢福祉課"",""amount_thousand_yen"":38506},""member_programs"":[{""program_id"":""2026_long_term_care_insurance_expenditure_49_02_02_01_13_01"",""major_program_name"":""任意事業費"",""budget_program_name"":""高齢者安心コール"",""detail_program_name"":""高齢者安心コール"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9648}],""same_budget_item_other_program_names"":[""家族介護支援事業"",""介護給付適正化事業"",""高齢者おむつ支給"",""住宅改修アドバイザー派遣"",""成年後見報酬助成"",""認知症ケア推進事業""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_41_01_01_01_66_3645100000"",""revenue_hierarchy"":[""保険料"",""介護保険料"",""第１号被保険者保険料"",""現年度分特別徴収分"",""高齢者安心コール""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_43_02_05_01_20_3645100000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""地域支援事業交付金（包括的支援事業・任意事業）"",""現年度分"",""高齢者安心コール""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_45_03_02_01_20_3645100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""地域支援事業交付金（包括的支援事業・任意事業）"",""現年度分"",""高齢者安心コール""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_48_01_04_01_20_3645100000"",""revenue_hierarchy"":[""繰入金"",""一般会計繰入金"",""地域支援事業繰入金（包括的支援・任意事業）"",""現年度分"",""高齢者安心コール""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_6ad80e7fbab6af3c02453a6ec51a29b472217766ac3d78c472796bdcc33c55b2","地域包括支援センター運営委託","介護保険事業会計","地域支援事業費","包括支援事業・任意事業費","包括的支援事業費","高齢福祉部 介護予防・支援課","38453","介護予防と地域生活の支援","supports","介護保険事業会計の地域支援事業費に属することが公式階層で確認できるため、介護予防と地域生活を支える構造的な候補とした。個別の関係は人間レビューで確定する。","B_strong_structural","{""matched_rule_id"":""long-term-care-community-support"",""budget_item_key"":""2026_long_term_care_insurance_expenditure_49_02_01"",""identity_fields"":{""display_program_name"":""地域包括支援センター運営委託"",""hierarchy"":[""地域支援事業費"",""包括支援事業・任意事業費"",""包括的支援事業費""],""department_display_name"":""高齢福祉部 介護予防・支援課"",""amount_thousand_yen"":38453},""member_programs"":[{""program_id"":""2026_long_term_care_insurance_expenditure_49_02_01_01_01_01"",""major_program_name"":""包括的支援事業費"",""budget_program_name"":""地域包括支援センター運営委託"",""detail_program_name"":""地域包括支援センター運営委託"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9695}],""same_budget_item_other_program_names"":[""在宅医療・介護連携推進事業"",""認知症包括支援事業""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_41_01_01_01_30_3645300000"",""revenue_hierarchy"":[""保険料"",""介護保険料"",""第１号被保険者保険料"",""現年度分特別徴収分"",""地域包括支援センター運営委託""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_43_02_05_01_01_3645300000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""地域支援事業交付金（包括的支援事業・任意事業）"",""現年度分"",""地域包括支援センター運営委託""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_45_03_02_01_01_3645300000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""地域支援事業交付金（包括的支援事業・任意事業）"",""現年度分"",""地域包括支援センター運営委託""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_48_01_04_01_01_3645300000"",""revenue_hierarchy"":[""繰入金"",""一般会計繰入金"",""地域支援事業繰入金（包括的支援・任意事業）"",""現年度分"",""地域包括支援センター運営委託""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_6864087d9ac3df47340f361257aa1e8c26f24ef490cbce00b4aa79e9cc22ba0b","認知症ケア推進事業","介護保険事業会計","地域支援事業費","包括支援事業・任意事業費","任意事業費","高齢福祉部 介護予防・支援課","36503","介護予防と地域生活の支援","supports","介護保険事業会計の地域支援事業費に属することが公式階層で確認できるため、介護予防と地域生活を支える構造的な候補とした。個別の関係は人間レビューで確定する。","B_strong_structural","{""matched_rule_id"":""long-term-care-community-support"",""budget_item_key"":""2026_long_term_care_insurance_expenditure_49_02_02"",""identity_fields"":{""display_program_name"":""認知症ケア推進事業"",""hierarchy"":[""地域支援事業費"",""包括支援事業・任意事業費"",""任意事業費""],""department_display_name"":""高齢福祉部 介護予防・支援課"",""amount_thousand_yen"":36503},""member_programs"":[{""program_id"":""2026_long_term_care_insurance_expenditure_49_02_02_01_10_01"",""major_program_name"":""任意事業費"",""budget_program_name"":""認知症ケア推進事業"",""detail_program_name"":""認知症ケア推進事業"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9697}],""same_budget_item_other_program_names"":[""家族介護支援事業"",""介護給付適正化事業"",""高齢者おむつ支給"",""高齢者安心コール"",""住宅改修アドバイザー派遣"",""成年後見報酬助成""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_41_01_01_01_56_3645300000"",""revenue_hierarchy"":[""保険料"",""介護保険料"",""第１号被保険者保険料"",""現年度分特別徴収分"",""認知症ケア推進事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_43_02_05_01_15_3645300000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""地域支援事業交付金（包括的支援事業・任意事業）"",""現年度分"",""認知症ケア推進事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_45_03_02_01_15_3645300000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""地域支援事業交付金（包括的支援事業・任意事業）"",""現年度分"",""認知症ケア推進事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_48_01_04_01_15_3645300000"",""revenue_hierarchy"":[""繰入金"",""一般会計繰入金"",""地域支援事業繰入金（包括的支援・任意事業）"",""現年度分"",""認知症ケア推進事業""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_0dfb8c5e972e73a6a5c8bfc3451c3c97b829e1bae009faa69c56b4e0899b74e0","成年後見報酬助成","介護保険事業会計","地域支援事業費","包括支援事業・任意事業費","任意事業費","保健福祉政策部 生活福祉課","24360","介護予防と地域生活の支援","supports","介護保険事業会計の地域支援事業費に属することが公式階層で確認できるため、介護予防と地域生活を支える構造的な候補とした。個別の関係は人間レビューで確定する。","B_strong_structural","{""matched_rule_id"":""long-term-care-community-support"",""budget_item_key"":""2026_long_term_care_insurance_expenditure_49_02_02"",""identity_fields"":{""display_program_name"":""成年後見報酬助成"",""hierarchy"":[""地域支援事業費"",""包括支援事業・任意事業費"",""任意事業費""],""department_display_name"":""保健福祉政策部 生活福祉課"",""amount_thousand_yen"":24360},""member_programs"":[{""program_id"":""2026_long_term_care_insurance_expenditure_49_02_02_01_12_01"",""major_program_name"":""任意事業費"",""budget_program_name"":""成年後見報酬助成"",""detail_program_name"":""成年後見報酬助成"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9571}],""same_budget_item_other_program_names"":[""家族介護支援事業"",""介護給付適正化事業"",""高齢者おむつ支給"",""高齢者安心コール"",""住宅改修アドバイザー派遣"",""認知症ケア推進事業""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_41_01_01_01_65_3595200000"",""revenue_hierarchy"":[""保険料"",""介護保険料"",""第１号被保険者保険料"",""現年度分特別徴収分"",""成年後見制度""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_43_02_05_01_19_3595200000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""地域支援事業交付金（包括的支援事業・任意事業）"",""現年度分"",""成年後見制度""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_45_03_02_01_19_3595200000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""地域支援事業交付金（包括的支援事業・任意事業）"",""現年度分"",""成年後見制度""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_long_term_care_insurance_revenue_48_01_04_01_19_3595200000"",""revenue_hierarchy"":[""繰入金"",""一般会計繰入金"",""地域支援事業繰入金（包括的支援・任意事業）"",""現年度分"",""成年後見制度""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
