budget_program_identity_id,fiscal_year,account_code,account_name,budget_item_key,display_program_name,normalized_program_name,department_name,normalized_department_name,candidate_budget_book_pages,total_amount_thousand_yen,member_group_count,source_type
bpi_86a32a08be06c3b67e6347e816654ab2bc49c7c4b328d291d4017edf5b27af47,2026,general,一般会計,2026_general_expenditure_01_01_01,区議会広報活動,区議会広報活動,区議会事務局,区議会事務局,311,30585,1,derived
bpi_11dd0e89051d2e86eaa5aa73df4bc28c38ef95c5893237dd1cd35e227b3f48a5,2026,general,一般会計,2026_general_expenditure_01_01_01,区議会議員報酬,区議会議員報酬,区議会事務局,区議会事務局,311,693041,1,derived
bpi_57a13f31b29af405297fb1b3c6cec0975cd2c3870a34a670d0d325c872039eb9,2026,general,一般会計,2026_general_expenditure_01_01_01,議会活動,議会活動,区議会事務局,区議会事務局,311,46927,1,derived
bpi_9191ca3ce125f46a4f691cbbee2210ee57898959123f4b4cfdd6c8228aacee80,2026,general,一般会計,2026_general_expenditure_02_01_01,こども誰でも通園制度,こども誰でも通園制度,子若＊子ども・若者支援課,子若*子ども・若者支援課,317,14782,1,derived
bpi_57edb89dad5456c5c847cfa615934c7cde7522477fbb7e096853489a4575c3d9,2026,general,一般会計,2026_general_expenditure_02_01_01,世田谷区公報発行、区例規類集等発行,世田谷区公報発行、区例規類集等発行,総務＊区政情報課,総務*区政情報課,317,11539,1,derived
bpi_08ae1d748b1ee868292b3a787124ef3fa29e79976e63296769ea3b2166f1318a,2026,general,一般会計,2026_general_expenditure_02_01_01,世田谷区政務活動費,世田谷区政務活動費,総務＊総務課,総務*総務課,317,144000,1,derived
bpi_7630a70b508d202ccf13818045853cc05a2d337540c69f0b7d20cd34abbab3f1,2026,general,一般会計,2026_general_expenditure_02_01_01,供用物品整備,供用物品整備,会計＊会計課,会計*会計課,317,12045,1,derived
bpi_edea666e29fce2c27b5d8a034813a1a80ac0d58a6f9cd6a20478ca9497387c20,2026,general,一般会計,2026_general_expenditure_02_01_01,分庁舎維持管理,分庁舎維持管理,庁舎＊庁舎管理担当課,庁舎*庁舎管理担当課,317,388395,1,derived
bpi_7ebf000323269f12256039f617ca431644c026d4482c54a3d16431ce231829a8,2026,general,一般会計,2026_general_expenditure_02_01_01,区政情報センター運営,区政情報センター運営,総務＊区政情報課,総務*区政情報課,317,30786,1,derived
bpi_eb3584c4d1b99d8c671528eba30e5c31a562164c94be2ca42061b6e470fdf3a3,2026,general,一般会計,2026_general_expenditure_02_01_01,区長室庶務事務,区長室庶務事務,区長室＊秘書課,区長室*秘書課,317,9655,1,derived
bpi_634dd74a4f1b77d53a7dc981335d65b2b6d6ccbbdd28ba929449aebf92b6364c,2026,general,一般会計,2026_general_expenditure_02_01_01,外国人学校児童・生徒保護者補助金交付,外国人学校児童・生徒保護者補助金交付,子若＊子ども・若者支援課,子若*子ども・若者支援課,317,2688,1,derived
bpi_7372066f3b2585831e8ea17223b26aa406c3af2d5321f795ea3e14f96449b59a,2026,general,一般会計,2026_general_expenditure_02_01_01,奨学資金等貸付,奨学資金等貸付,子若＊子ども・若者支援課,子若*子ども・若者支援課,317,1235,1,derived
bpi_af5820d34e77747dc1e1b398ef1d8df6a4555122426cae2ea8d9858d5a3de7b7,2026,general,一般会計,2026_general_expenditure_02_01_01,安全衛生活動の推進,安全衛生活動の推進,総務＊職員厚生課,総務*職員厚生課,317,968,1,derived
bpi_a97a9714db6992f636854c0fe3bd453f2b8e9186dcb3fdb75bb8b3da3a20f44e,2026,general,一般会計,2026_general_expenditure_02_01_01,専修学校・各種学校等指導助成,専修学校・各種学校等指導助成,子若＊子ども・若者支援課,子若*子ども・若者支援課,317,300,1,derived
bpi_60a587e691dd04459ad8a5e4fcaa0b7defc46a0ba81812c84bc7dccdebc642f8,2026,general,一般会計,2026_general_expenditure_02_01_01,幼稚園類似幼児施設助成,幼稚園類似幼児施設助成,子若＊子ども・若者支援課,子若*子ども・若者支援課,317,10325,1,derived
bpi_d4881f3bfc2a764f0171b226eb5984961a442510630b7f43b2649f3b617d775f,2026,general,一般会計,2026_general_expenditure_02_01_01,庁舎等建設等基金積立金,庁舎等建設等基金積立金,総務＊総務課,総務*総務課,317,161031,1,derived
bpi_c34fb87998d2beb1da3e5e8011a45c4cf624372d28878d78816749aacd40fd45,2026,general,一般会計,2026_general_expenditure_02_01_01,庁舎維持管理,庁舎維持管理,庁舎＊庁舎管理担当課,庁舎*庁舎管理担当課,317,1549914,1,derived
bpi_59cbe2d128bcdecab6206dc99416f9ec8cf1ee502af8cd43a5336fccd8cf32d8,2026,general,一般会計,2026_general_expenditure_02_01_01,庁舎計画事務,庁舎計画事務,庁舎＊庁舎管理担当課,庁舎*庁舎管理担当課,317,1198843,1,derived
bpi_c1dbe9492909bc4cd3361221e04da7d95d8daf6a5c7d9f3d9322709457bd5b13,2026,general,一般会計,2026_general_expenditure_02_01_01,情報公開・個人情報保護制度運営等,情報公開・個人情報保護制度運営等,総務＊区政情報課,総務*区政情報課,317,3795,1,derived
bpi_ef95c3e4d0db52df014820f89bc385c190bbf471a5e2a3c40a2551a1ea437463,2026,general,一般会計,2026_general_expenditure_02_01_01,文書、物品搬送,文書、物品搬送,総務＊区政情報課,総務*区政情報課,317,39626,1,derived
bpi_e975d209f6e8586fb5ad05253ad5689f1b1e1305d1b296d540ac728bcb87084d,2026,general,一般会計,2026_general_expenditure_02_01_01,文書印刷,文書印刷,総務＊区政情報課,総務*区政情報課,317,20263,1,derived
bpi_7036fa7e885d9c8f4387376a78611c6a06c72c97d9650230ddefd9e2e676ebd5,2026,general,一般会計,2026_general_expenditure_02_01_01,文書管理、法務業務,文書管理、法務業務,総務＊区政情報課,総務*区政情報課,317,267780,1,derived
bpi_b1f8dd5b90dc1494a87acc2da82f5e8733d4de24583c25a8465e6e56b248e149,2026,general,一般会計,2026_general_expenditure_02_01_01,新年のつどい,新年のつどい,総務＊総務課,総務*総務課,317,11530,1,derived
bpi_8b06067c54cce20d2c74b7cb39260cbfbebd61bce682425c153a46e34dd7919e,2026,general,一般会計,2026_general_expenditure_02_01_01,本庁舎等整備工事,本庁舎等整備工事,庁舎＊庁舎管理担当課,庁舎*庁舎管理担当課,317,7479718,1,derived
bpi_f1201b719f167786c862093740160b5788a5d47a806ec8336c41f9536efb2766,2026,general,一般会計,2026_general_expenditure_02_01_01,東京都職員共済組合事務費負担金,東京都職員共済組合事務費負担金,総務＊職員厚生課,総務*職員厚生課,317,86584,1,derived
bpi_4768b60239ed261af699fc50926f51226470f609c69e946a69a7cd244edb48b4,2026,general,一般会計,2026_general_expenditure_02_01_01,東京都職員共済組合業務経理負担金,東京都職員共済組合業務経理負担金,総務＊職員厚生課,総務*職員厚生課,317,68780,1,derived
bpi_801ec82cda48cf5435c3c930ed4a0f0edcb2a1114c6660fa477eb1a2417b3963,2026,general,一般会計,2026_general_expenditure_02_01_01,特別区人事厚生事務組合分担金,特別区人事厚生事務組合分担金,総務＊総務課,総務*総務課,317,255281,1,derived
bpi_289ddd82ac235b1ec7aeb830f222bded2c6e45dce430f7998c7e4323904d9fdb,2026,general,一般会計,2026_general_expenditure_02_01_01,特別区協議会等分担金,特別区協議会等分担金,総務＊総務課,総務*総務課,317,5123,1,derived
bpi_1ea5d26a5705b2cd5e2cfd5555e5cd50ccd71be4edf5dc8dc7c1dc799c415ae4,2026,general,一般会計,2026_general_expenditure_02_01_01,特別職報酬等審議会運営,特別職報酬等審議会運営,総務＊総務課,総務*総務課,317,588,1,derived
bpi_2e1f71d6c0f847699f78be887847325286cb5d37b7a22e9bf35190a074737435,2026,general,一般会計,2026_general_expenditure_02_01_01,福利厚生事業,福利厚生事業,総務＊職員厚生課,総務*職員厚生課,317,16596,1,derived
bpi_6323d1189affa13d4d9e503a2ce90cfab9a50c6d3344c9dc7907eb9427748a8f,2026,general,一般会計,2026_general_expenditure_02_01_01,私立幼稚園での未就園児の定期的な預かり事業の推進,私立幼稚園での未就園児の定期的な預かり事業の推進,子若＊子ども・若者支援課,子若*子ども・若者支援課,317,0,1,derived
bpi_0d68b2845d3cfa8ac6b93548a051219bb6257778061290dbb1de8811b6564d28,2026,general,一般会計,2026_general_expenditure_02_01_01,私立幼稚園協会助成,私立幼稚園協会助成,子若＊子ども・若者支援課,子若*子ども・若者支援課,317,120340,1,derived
bpi_e640b3411585bc3a7b66cbbaad0d8f82314e4a7c5ca6dcaf0e277b5cbeee33d9,2026,general,一般会計,2026_general_expenditure_02_01_01,私立幼稚園指導助成,私立幼稚園指導助成,子若＊子ども・若者支援課,子若*子ども・若者支援課,317,886733,1,derived
bpi_bc20cb57bef4780e43e9670821fed1d0556079e9ee857c322001ea46097cdea2,2026,general,一般会計,2026_general_expenditure_02_01_01,総務部庶務事務,総務部庶務事務,総務＊総務課,総務*総務課,317,130815,1,derived
bpi_be4bd2e33434c2b558070b283398f7e6d65a264df464300f31948fa678904f7a,2026,general,一般会計,2026_general_expenditure_02_01_01,職員の健康保持推進,職員の健康保持推進,総務＊職員厚生課,総務*職員厚生課,317,270706,1,derived
bpi_6d099939d9a8a771046159ce8491122da77f332560e56a6fb0b03863a32bd951,2026,general,一般会計,2026_general_expenditure_02_01_01,職員・非常勤職員等公務災害補償,職員・非常勤職員等公務災害補償,総務＊職員厚生課,総務*職員厚生課,317,32967,1,derived
bpi_8b769ead5e9c69525e9f86ff0d79186d7878a05ee9a2f101702779a45df3a0ef,2026,general,一般会計,2026_general_expenditure_02_01_01,職員互助会事業補助,職員互助会事業補助,総務＊職員厚生課,総務*職員厚生課,317,89186,1,derived
bpi_2be3cfe804ab0e22557f5c86b1fbf3c3270105e0a7c3972f2cefb3b6c17d4d23,2026,general,一般会計,2026_general_expenditure_02_01_01,職員住宅改修,職員住宅改修,総務＊職員厚生課,総務*職員厚生課,317,1824,1,derived
bpi_0a37f0f974d2ad38a13f6fc23fd99231ceb6cbbf2f284b7bf577d1ecb387358f,2026,general,一般会計,2026_general_expenditure_02_01_01,職員住宅維持管理,職員住宅維持管理,総務＊職員厚生課,総務*職員厚生課,317,140214,1,derived
bpi_fd232747d54e2c8f27d869579c73a3e44e2188452f1e86826015273a15645e21,2026,general,一般会計,2026_general_expenditure_02_01_01,職員採用等事務,職員採用等事務,総務＊人事課,総務*人事課,317,407080,1,derived
bpi_b67b273bd33c8a1f4a3315532ed8823917ec870d393f8d79ec9030f64c5ef20d,2026,general,一般会計,2026_general_expenditure_02_01_01,職員研修,職員研修,総務＊研修担当課,総務*研修担当課,317,54421,1,derived
bpi_6eceaf598525e092b8ada7b9551a7806f606da2952a0b920fb02b2806ef580a4,2026,general,一般会計,2026_general_expenditure_02_01_01,被服貸与,被服貸与,総務＊職員厚生課,総務*職員厚生課,317,32421,1,derived
bpi_949224f77e552980b07caab411623bfab2d4d6f76a4e75fd4a3883b09f37f116,2026,general,一般会計,2026_general_expenditure_02_01_01,郵便管理事務,郵便管理事務,総務＊区政情報課,総務*区政情報課,317,171977,1,derived
bpi_44599ef398f856b2bfbfaa93833085d9c06b76be3a78680775caa022c2d7c544,2026,general,一般会計,2026_general_expenditure_02_01_01,非常勤職員等事務,非常勤職員等事務,総務＊人事課,総務*人事課,317,13871,1,derived
bpi_3464553d9d8c47ccc9a48080391cb29fb2d44e7256a25786bfd92d1c768dd694,2026,general,一般会計,2026_general_expenditure_02_01_02,ＦＭ放送,FM放送,政策＊広報広聴課,政策*広報広聴課,319,48441,1,derived
bpi_792d999f0bcce44df6e0a98ffc0686d4ac7561846f614ec3a7f28dd4acf89053,2026,general,一般会計,2026_general_expenditure_02_01_02,お問合せセンター運営,お問合せセンター運営,政策＊広報広聴課,政策*広報広聴課,319,131854,1,derived
bpi_6be01a354c49d1f568d25ef507acecf1c19daca25e56f35babc9a9cd1c75d545,2026,general,一般会計,2026_general_expenditure_02_01_02,区のおしらせ『せたがや』発行,区のおしらせ『せたがや』発行,政策＊広報広聴課,政策*広報広聴課,319,200331,1,derived
bpi_8a09d111d62cb3871fd6fe787520abf79fce7e10ec16bb893103a2164a4a45f6,2026,general,一般会計,2026_general_expenditure_02_01_02,区の取材及び報道事務,区の取材及び報道事務,政策＊広報広聴課,政策*広報広聴課,319,5085,1,derived
bpi_2ebebeafea2dd534586e4670e355f38f45018655c2390044a7e8840362d2b8f7,2026,general,一般会計,2026_general_expenditure_02_01_02,区政ＰＲ,区政PR,政策＊広報広聴課,政策*広報広聴課,319,22068,1,derived
bpi_94fb328addbfa734cd3b82cc62391984f95beadf03ec76e7d56f0df0242347fe,2026,general,一般会計,2026_general_expenditure_02_01_02,区民の声,区民の声,政策＊広報広聴課,政策*広報広聴課,319,9077,1,derived
bpi_01ddd512d803a87850cd0fd82cc345ec18c3ef27b85df5b2a5108fdab4720ed6,2026,general,一般会計,2026_general_expenditure_02_01_02,区民相談等事業運営,区民相談等事業運営,世支＊地域振興課,世支*地域振興課,319,19763,1,derived
bpi_9db8f67b717c011da3626b8024b1f00c9705b151a819e8e72833d7a4daa0fdc0,2026,general,一般会計,2026_general_expenditure_02_01_03,せたがや自治政策研究所の運営,せたがや自治政策研究所の運営,政策＊政策研究・調査課,政策*政策研究・調査課,319|321,9257,1,derived
bpi_3680173e66805d0858acc710fd6593076d09cc7867962a69c57c05dc22a04804,2026,general,一般会計,2026_general_expenditure_02_01_03,区史編さん事業,区史編さん事業,政策＊政策企画課,政策*政策企画課,319|321,18589,1,derived
bpi_ab9c693c25152019a3a510eaf52c1da92e1c4fa373af908d2f79d577713be496,2026,general,一般会計,2026_general_expenditure_02_01_03,大学連携事業,大学連携事業,政策＊政策研究・調査課,政策*政策研究・調査課,319|321,2666,1,derived
bpi_7fc4f682e389d5fa8757d40473bae890813bac22946d85e01f87adeec1405414,2026,general,一般会計,2026_general_expenditure_02_01_03,官民連携の推進,官民連携の推進,政策＊官民行政手法改革課,政策*官民行政手法改革課,319|321,27492,1,derived
bpi_1102199c3a7e3b90fcca04b6408c6b947880ec27fb1732112822ba5427868343,2026,general,一般会計,2026_general_expenditure_02_01_03,寄附文化の醸成,寄附文化の醸成,政策＊ふるさと納税対策課,政策*ふるさと納税対策課,319|321,345154,1,derived
bpi_d20f8dd995304ee1b4326a41cef4d4af14311b2709bd5313aa727099e18fd6a5,2026,general,一般会計,2026_general_expenditure_02_01_03,政策経営部庶務事務,政策経営部庶務事務,政策＊政策企画課,政策*政策企画課,319|321,43590,1,derived
bpi_6dbde2a8d407da3c8b892feeb0bc82d2051749fe27836d793dc3ca0bbf4e1d45,2026,general,一般会計,2026_general_expenditure_02_01_03,自治体間連携事業,自治体間連携事業,政策＊官民行政手法改革課,政策*官民行政手法改革課,319|321,372,1,derived
bpi_b2ce9144737eb694e75054758c454d6fbe7fd96e4097fc4af2a819b5a3ec749d,2026,general,一般会計,2026_general_expenditure_02_01_03,行政経営改革の推進,行政経営改革の推進,政策＊政策企画課,政策*政策企画課,319|321,16723,1,derived
bpi_81a10afcb54e0e9a1b40b312735f3b9f7971355805cba1571ea177a8c1adc892,2026,general,一般会計,2026_general_expenditure_02_01_03,計画行政の推進,計画行政の推進,政策＊政策企画課,政策*政策企画課,319|321,138883,1,derived
bpi_ace1668693b171d63707c4b9f73f12db4ab7f576aae72a53463e0c3c78b166fc,2026,general,一般会計,2026_general_expenditure_02_01_04,ＤＸ推進,DX推進,ＤＸ＊ＤＸ推進担当課,DX*DX推進担当課,321,58835,1,derived
