allocation_link_id,revenue_detail_id,target_budget_program_group_id,target_budget_item_key,target_account_code,pdf_target_program_name,matched_budget_program_name,target_budget_book_page,source_pdf_page,source_budget_book_page,target_match_status,target_match_method,amount_attribution_status,allocation_amount_thousand_yen,source_file,raw_text,review_note,target_budget_program_identity_id,target_resolution_level,target_group_resolution_status,candidate_target_group_count
ral_2026_general_052_001,rd_2026_general_revenue_11_01_01_01_01_3645100000,2026_general_expenditure_03_01_02_01_01,2026_general_expenditure_03_01_02,general,養護老人ホーム入所措置,養護老人ホーム入所措置,363,52,97,matched,page_and_exact_name,not_available,,r8tousyoyosanallpage.pdf,"1 養護老人ホーム入所者負担金(高齢福祉部) 50,235
充当事業:養護老人ホーム入所措置・P363",target_page_account_and_exact_name_unique;page_offset=0,bpi_5ef1a8da6724c02dc4d6870b123f5f3a4d61e3411cf8ab60ee241dbcad0516c2,exact_group,exact,1
ral_2026_general_052_002,rd_2026_general_revenue_11_01_01_04_01_3665580000,2026_general_expenditure_03_02_05_01_01,2026_general_expenditure_03_02_05,general,区立保育園運営,区立保育園運営,381,52,97,matched,page_and_exact_name,not_available,,r8tousyoyosanallpage.pdf,"1 区立保育園入所者負担金(子ども・若者部) 11,767
充当事業:区立保育園運営・P381",target_page_account_and_exact_name_unique;page_offset=0,bpi_cd88696d105d5fd4493ad43119716ef01897dc1ccd62a75e668a2c9179db33a0,exact_group,exact,1
ral_2026_general_052_003,rd_2026_general_revenue_11_01_01_05_01_3665500000,2026_general_expenditure_03_02_03_01_02,2026_general_expenditure_03_02_03,general,入院助産措置,入院助産措置,381,52,97,matched,page_and_exact_name,not_available,,r8tousyoyosanallpage.pdf,"1 入院助産入所者負担金(子ども・若者部) 732
充当事業:入院助産措置・P381",target_page_account_and_exact_name_unique;page_offset=0,bpi_d3444af3cdc8f5ef93952ea5d623e284b0dd3bf1e576c27c3b7bb364b4e716fb,exact_group,exact,1
ral_2026_general_052_004,rd_2026_general_revenue_11_01_01_08_02_3665500000,2026_general_expenditure_03_02_03_01_01,2026_general_expenditure_03_02_03,general,私立母子生活支援施設への保護委託,私立母子生活支援施設への保護委託,381,52,97,matched,page_and_exact_name,not_available,,r8tousyoyosanallpage.pdf,"2 私立母子生活支援施設入所者負担金(子ども・若者部) 226
充当事業:私立母子生活支援施設への保護委託・P381",target_page_account_and_exact_name_unique;page_offset=0,bpi_4a652a5e6ae80c14247f55b106c251c66720a51aefa7d1eb683419b0c968de2c,exact_group,exact,1
ral_2026_general_052_005,rd_2026_general_revenue_11_01_01_08_04_3665500000,2026_general_expenditure_03_02_01_01_54,2026_general_expenditure_03_02_01,general,ひとり親家庭への支援,ひとり親家庭への支援,377,52,97,matched,page_and_exact_name,not_available,,r8tousyoyosanallpage.pdf,"4 区立母子生活支援施設入所者負担金(子ども・若者部) 395
充当事業:ひとり親家庭への支援・P377",target_page_account_and_exact_name_unique;page_offset=2,bpi_41040ca747d4a337137a00fa3d6aead795e46721cd32e0936d92cdb3f6a7b468,exact_group,exact,1
ral_2026_general_052_006,rd_2026_general_revenue_11_01_01_11_01_3665570000,2026_general_expenditure_03_02_01_01_66,2026_general_expenditure_03_02_01,general,児童養護施設退所者等支援事業,児童養護施設退所者等支援事業,377,52,97,matched,page_and_exact_name,not_available,,r8tousyoyosanallpage.pdf,"1 児童養護施設退所者等入居者負担金(子ども・若者部) 500
充当事業:児童養護施設退所者等支援事業・P377",target_page_account_and_exact_name_unique;page_offset=2,bpi_6605cd83287c40610b0aa32ffc8cae989f94b531663e196d1421ff40eb1878c8,exact_group,exact,1
ral_2026_general_052_007,rd_2026_general_revenue_11_01_01_12_01_3665570000,2026_general_expenditure_03_02_13_02_01,2026_general_expenditure_03_02_13,general,児童福祉施設等への措置費支弁,児童福祉施設等への措置費支弁,385,52,97,matched,page_and_exact_name,not_available,,r8tousyoyosanallpage.pdf,"1 児童福祉施設等入所者負担金(子ども・若者部) 10,219
充当事業:児童福祉施設等への措置費支弁・P385",target_page_account_and_exact_name_unique;page_offset=0,bpi_4c3083c58caa1619bc11622992fe0e9047bbddad2650a670388ce07da10f2704,exact_group,exact,1
ral_2026_general_052_008,rd_2026_general_revenue_11_01_01_13_01_3665570000,2026_general_expenditure_03_02_13_02_01,2026_general_expenditure_03_02_13,general,児童福祉施設等への措置費支弁,児童福祉施設等への措置費支弁,385,52,97,matched,page_and_exact_name,not_available,,r8tousyoyosanallpage.pdf,"1 障害児施設入所者負担金(子ども・若者部) 960
充当事業:児童福祉施設等への措置費支弁・P385",target_page_account_and_exact_name_unique;page_offset=0,bpi_4c3083c58caa1619bc11622992fe0e9047bbddad2650a670388ce07da10f2704,exact_group,exact,1
ral_2026_general_052_009,rd_2026_general_revenue_11_01_01_14_01_3665570000,2026_general_expenditure_03_02_13_02_01,2026_general_expenditure_03_02_13,general,児童福祉施設等への措置費支弁,児童福祉施設等への措置費支弁,385,52,97,matched,page_and_exact_name,not_available,,r8tousyoyosanallpage.pdf,"1 措置費共同経理負担金(子ども・若者部) 118
充当事業:児童福祉施設等への措置費支弁・P385",target_page_account_and_exact_name_unique;page_offset=0,bpi_4c3083c58caa1619bc11622992fe0e9047bbddad2650a670388ce07da10f2704,exact_group,exact,1
ral_2026_general_052_010,rd_2026_general_revenue_11_01_01_14_02_3095100000,2026_general_expenditure_02_01_04_01_07,2026_general_expenditure_02_01_04,general,共通基盤システム運用,共通基盤システム運用,321,52,97,matched,page_and_exact_name,not_available,,r8tousyoyosanallpage.pdf,"2 措置費共同経理負担金(DX推進担当部) 3,478
充当事業:共通基盤システム運用・P321",target_page_account_and_exact_name_unique;page_offset=0,bpi_1accd222350bdb9f6be90ef20cec7890d84f0d5118de8a58f9aaa67ab17a8335,exact_group,exact,1
ral_2026_general_052_011,rd_2026_general_revenue_11_01_03_02_01_3835300000,2026_general_expenditure_07_04_01_01_01,2026_general_expenditure_07_04_01,general,多摩川玉堤広場維持管理,多摩川玉堤広場維持管理,431,52,97,matched,page_and_exact_name,not_available,,r8tousyoyosanallpage.pdf,"1 多摩川玉堤広場共同管理負担金(みどり33推進担当部) 85,386
充当事業:多摩川玉堤広場維持管理・P431",target_page_account_and_exact_name_unique;page_offset=0,bpi_4a36b092eb3a237461040e6c0341150fc7fdb95e370ba266f205914960a55fcb,exact_group,exact,1
ral_2026_general_052_012,rd_2026_general_revenue_11_01_03_06_01_3895300000,2026_general_expenditure_07_02_03_01_90,2026_general_expenditure_07_02_03,general,無電柱化整備(世田谷・北沢・烏山),無電柱化整備（世田谷・北沢・烏山）,423,52,97,matched,page_and_normalized_name,not_available,,r8tousyoyosanallpage.pdf,"1 無電柱化事業建設負担金(世田谷・北沢・烏山)(土木部) 9,725
充当事業:無電柱化整備(世田谷・北沢・烏山)・P423",target_page_account_and_nfkc_name_unique;page_offset=0,bpi_422a5e9d6be8685cbe000c7f54e68ad1fd5345629be1ca6050bfa0faa0c70e83,exact_group,exact,1
ral_2026_general_053_001,rd_2026_general_revenue_12_01_01_01_05_2535100000,2026_general_expenditure_02_03_06_01_29,2026_general_expenditure_02_03_06,general,烏山区民会館・区民センター維持運営,烏山区民会館・区民センター維持運営,335,53,99,matched,page_and_exact_name,not_available,,r8tousyoyosanallpage.pdf,"5 烏山区民会館(烏山総合支所) 28,699
充当事業:烏山区民会館・区民センター維持運営・P335",target_page_account_and_exact_name_unique;page_offset=2,bpi_8dc6864f8ba930b92d0cbb74e1b6a3f37a6c2c187266a79e6cb699d256730903,exact_group,exact,1
ral_2026_general_053_002,rd_2026_general_revenue_12_01_01_01_07_3405400000,2026_general_expenditure_02_03_06_01_38,2026_general_expenditure_02_03_06,general,世田谷区民会館維持運営,世田谷区民会館維持運営,337,53,99,matched,page_and_exact_name,not_available,,r8tousyoyosanallpage.pdf,"7 世田谷区民会館(生活文化政策部) 92,648
充当事業:世田谷区民会館維持運営・P337",target_page_account_and_exact_name_unique;page_offset=4,bpi_6e3826d3a86f6beda5f2fd1113078499d4accf6e8bb3b5b6505bc7a537d6bf6b,exact_group,exact,1
ral_2026_general_053_003,rd_2026_general_revenue_12_01_01_02_01_2535100000,2026_general_expenditure_02_03_06_01_29,2026_general_expenditure_02_03_06,general,烏山区民会館・区民センター維持運営,烏山区民会館・区民センター維持運営,335,53,99,matched,page_and_exact_name,not_available,,r8tousyoyosanallpage.pdf,"1 烏山区民センター(烏山総合支所) 5,474
充当事業:烏山区民会館・区民センター維持運営・P335",target_page_account_and_exact_name_unique;page_offset=2,bpi_8dc6864f8ba930b92d0cbb74e1b6a3f37a6c2c187266a79e6cb699d256730903,exact_group,exact,1
ral_2026_general_053_004,rd_2026_general_revenue_12_01_01_02_02_2135100000,2026_general_expenditure_02_03_06_01_04,2026_general_expenditure_02_03_06,general,太子堂区民センター維持運営,太子堂区民センター維持運営,333,53,99,matched,page_and_exact_name,not_available,,r8tousyoyosanallpage.pdf,"2 太子堂区民センター(世田谷総合支所) 6,355
充当事業:太子堂区民センター維持運営・P333",target_page_account_and_exact_name_unique;page_offset=0,bpi_751f3643eb3178f9f3129cce6578da6bf7d1f6714bd7e07fa6c0bb5771e63f0a,exact_group,exact,1
ral_2026_general_053_005,rd_2026_general_revenue_12_01_01_02_03_2135100000,2026_general_expenditure_02_03_06_01_05,2026_general_expenditure_02_03_06,general,弦巻区民センター維持運営,弦巻区民センター維持運営,333,53,99,matched,page_and_exact_name,not_available,,r8tousyoyosanallpage.pdf,"3 弦巻区民センター(世田谷総合支所) 8,761
充当事業:弦巻区民センター維持運営・P333",target_page_account_and_exact_name_unique;page_offset=0,bpi_6a3d5b077386aeb21af52bc03bdc94bcd3822bdb2c611b522aac2eb6c5ffe437,exact_group,exact,1
ral_2026_general_053_006,rd_2026_general_revenue_12_01_01_02_04_2135100000,2026_general_expenditure_02_03_06_01_07,2026_general_expenditure_02_03_06,general,宮坂区民センター維持運営,宮坂区民センター維持運営,333,53,99,matched,page_and_exact_name,not_available,,r8tousyoyosanallpage.pdf,"4 宮坂区民センター(世田谷総合支所) 15,334
充当事業:宮坂区民センター維持運営・P333",target_page_account_and_exact_name_unique;page_offset=0,bpi_5a760a3b16e34f902ea73ab81eecbd68a7f2fb2160d01bdeaba3dfd584b1b691,exact_group,exact,1
ral_2026_general_053_007,rd_2026_general_revenue_12_01_01_02_05_2235100000,2026_general_expenditure_02_03_06_01_13,2026_general_expenditure_02_03_06,general,代田区民センター維持運営,代田区民センター維持運営,335,53,99,matched,page_and_exact_name,not_available,,r8tousyoyosanallpage.pdf,"5 代田区民センター(北沢総合支所) 6,387
充当事業:代田区民センター維持運営・P335",target_page_account_and_exact_name_unique;page_offset=2,bpi_d0b78f80918456bacd47a72d32906b27f20a686d844f4abf1a818d14f6f7b22b,exact_group,exact,1
ral_2026_general_053_008,rd_2026_general_revenue_12_01_01_02_06_2335100000,2026_general_expenditure_02_03_06_01_19,2026_general_expenditure_02_03_06,general,玉川地域区民センター維持運営,玉川地域区民センター維持運営,335,53,99,matched,page_and_exact_name,not_available,,r8tousyoyosanallpage.pdf,"6 深沢区民センター(玉川総合支所) 3,750
充当事業:玉川地域区民センター維持運営・P335",target_page_account_and_exact_name_unique;page_offset=2,bpi_cc60dba29af4f6dbb4b3a49bd2f997641ccd23092152b76044ffda13c6e13994,exact_group,exact,1
