revenue_detail_id,revenue_section_id,revenue_item_key,fiscal_year,account_code,account_name,budget_side,kan_code,kan_name,kou_code,kou_name,moku_code,moku_name,setsu_code,setsu_name,saisetsu_code,saisetsu_name,department_code,department_name,source_revenue_number,source_revenue_number_name,source_funding_category_code,source_funding_category_name,funding_nature,previous_amount_thousand_yen,requested_amount_thousand_yen,estimated_amount_thousand_yen,current_amount_thousand_yen,allocated_amount_thousand_yen,unallocated_amount_thousand_yen,request_content,assessment_content,is_zero_amount,source_type,source_file,source_row_number
rd_2026_general_revenue_01_01_01_01_01_3355400000,rs_2026_general_revenue_01_01_01_01,2026_general_revenue_01_01_01,2026,general,一般会計,revenue,01,特別区税,01,特別区民税,01,特別区民税,01,現年課税分,01,特別区民税現年課税分,3355400000,財務部＊納税課,1,特別区民税現年課税分特別区民税現年課税分,99,一般財源,general,138498315,143810315,153521706,153521706,0,153521706,,,false,official_csv,ippansainyu.csv,16991
rd_2026_general_revenue_01_01_01_02_01_3355400000,rs_2026_general_revenue_01_01_01_02,2026_general_revenue_01_01_01,2026,general,一般会計,revenue,01,特別区税,01,特別区民税,01,特別区民税,02,滞納繰越分,01,特別区民税滞納繰越分,3355400000,財務部＊納税課,3,特別区民税滞納繰越分特別区民税滞納繰越分,99,一般財源,general,1006388,1006388,1042919,1042919,0,1042919,,,false,official_csv,ippansainyu.csv,16992
rd_2026_general_revenue_01_02_01_01_01_3355400000,rs_2026_general_revenue_01_02_01_01,2026_general_revenue_01_02_01,2026,general,一般会計,revenue,01,特別区税,02,軽自動車税,01,軽自動車税（種別割）,01,現年課税分,01,軽自動車税（種別割）現年課税分,3355400000,財務部＊納税課,4,軽自動車税現年課税分軽自動車税（種別割）現年課税分,99,一般財源,general,348559,348559,0,0,0,0,,,true,official_csv,ippansainyu.csv,16993
rd_2026_general_revenue_01_02_01_02_01_3355400000,rs_2026_general_revenue_01_02_01_02,2026_general_revenue_01_02_01,2026,general,一般会計,revenue,01,特別区税,02,軽自動車税,01,軽自動車税（種別割）,02,滞納繰越分,01,軽自動車税（種別割）滞納繰越分,3355400000,財務部＊納税課,5,軽自動車税滞納繰越分軽自動車税（種別割）滞納繰越分,99,一般財源,general,5676,5676,6160,6160,0,6160,,,false,official_csv,ippansainyu.csv,16994
rd_2026_general_revenue_01_02_02_01_01_3355400000,rs_2026_general_revenue_01_02_02_01,2026_general_revenue_01_02_02,2026,general,一般会計,revenue,01,特別区税,02,軽自動車税,02,軽自動車税（環境性能割）,01,現年課税分,01,軽自動車税（環境性能割）現年課税分,3355400000,財務部＊納税課,6995,軽自動車税現年課税分軽自動車税（環境性能割）現年課税分,99,一般財源,general,33221,33221,5103,5103,0,5103,,,false,official_csv,ippansainyu.csv,16995
rd_2026_general_revenue_01_02_03_01_01_3355400000,rs_2026_general_revenue_01_02_03_01,2026_general_revenue_01_02_03,2026,general,一般会計,revenue,01,特別区税,02,軽自動車税,03,軽自動車税,01,現年課税分,01,軽自動車税現年課税分,3355400000,財務部＊納税課,9366,軽自動車税現年課税分軽自動車税現年課税分,99,一般財源,general,0,0,362518,362518,0,362518,,,false,official_csv,ippansainyu.csv,16996
rd_2026_general_revenue_01_06_01_01_01_3355400000,rs_2026_general_revenue_01_06_01_01,2026_general_revenue_01_06_01,2026,general,一般会計,revenue,01,特別区税,06,特別区たばこ税,01,特別区たばこ税,01,現年課税分,01,特別区たばこ税現年課税分,3355400000,財務部＊納税課,7,特別区たばこ税現年課税分特別区たばこ税現年課税分,99,一般財源,general,4612411,4652411,4525026,4525026,0,4525026,,,false,official_csv,ippansainyu.csv,16997
rd_2026_general_revenue_01_07_01_01_01_3355400000,rs_2026_general_revenue_01_07_01_01,2026_general_revenue_01_07_01,2026,general,一般会計,revenue,01,特別区税,07,入湯税,01,入湯税,01,現年課税分,01,入湯税現年課税分,3355400000,財務部＊納税課,8,入湯税現年課税分入湯税現年課税分,99,一般財源,general,9404,9404,9404,9404,0,9404,,,false,official_csv,ippansainyu.csv,16998
rd_2026_general_revenue_02_02_01_01_01_3065500000,rs_2026_general_revenue_02_02_01_01,2026_general_revenue_02_02_01,2026,general,一般会計,revenue,02,地方譲与税,02,自動車重量譲与税,01,自動車重量譲与税,01,自動車重量譲与税,01,自動車重量譲与税,3065500000,政策＊財政課,10,自動車重量譲与税自動車重量譲与税自動車重量譲与税,99,一般財源,general,958000,958000,986000,986000,0,986000,,,false,official_csv,ippansainyu.csv,16903
rd_2026_general_revenue_02_04_01_01_01_3065500000,rs_2026_general_revenue_02_04_01_01,2026_general_revenue_02_04_01,2026,general,一般会計,revenue,02,地方譲与税,04,地方揮発油譲与税,01,地方揮発油譲与税,01,地方揮発油譲与税,01,地方揮発油譲与税,3065500000,政策＊財政課,4344,地方揮発油譲与税地方揮発油譲与税地方揮発油譲与税,99,一般財源,general,282000,282000,236000,236000,0,236000,,,false,official_csv,ippansainyu.csv,16904
