revenue_section_id,revenue_item_key,fiscal_year,account_code,account_name,budget_side,kan_code,kan_name,kou_code,kou_name,moku_code,moku_name,setsu_code,setsu_name,previous_amount_thousand_yen,current_amount_thousand_yen,diff_amount_thousand_yen,allocated_amount_thousand_yen,unallocated_amount_thousand_yen,general_revenue_thousand_yen,specific_revenue_thousand_yen,special_account_revenue_thousand_yen,detail_count,validation_status,source_type
rs_2026_general_revenue_01_01_01_01,2026_general_revenue_01_01_01,2026,general,一般会計,revenue,01,特別区税,01,特別区民税,01,特別区民税,01,現年課税分,138498315,153521706,15023391,0,153521706,153521706,0,0,1,ok,derived
rs_2026_general_revenue_01_01_01_02,2026_general_revenue_01_01_01,2026,general,一般会計,revenue,01,特別区税,01,特別区民税,01,特別区民税,02,滞納繰越分,1006388,1042919,36531,0,1042919,1042919,0,0,1,ok,derived
rs_2026_general_revenue_01_02_01_01,2026_general_revenue_01_02_01,2026,general,一般会計,revenue,01,特別区税,02,軽自動車税,01,軽自動車税（種別割）,01,現年課税分,348559,0,-348559,0,0,0,0,0,1,ok_zero_amount,derived
rs_2026_general_revenue_01_02_01_02,2026_general_revenue_01_02_01,2026,general,一般会計,revenue,01,特別区税,02,軽自動車税,01,軽自動車税（種別割）,02,滞納繰越分,5676,6160,484,0,6160,6160,0,0,1,ok,derived
rs_2026_general_revenue_01_02_02_01,2026_general_revenue_01_02_02,2026,general,一般会計,revenue,01,特別区税,02,軽自動車税,02,軽自動車税（環境性能割）,01,現年課税分,33221,5103,-28118,0,5103,5103,0,0,1,ok,derived
rs_2026_general_revenue_01_02_03_01,2026_general_revenue_01_02_03,2026,general,一般会計,revenue,01,特別区税,02,軽自動車税,03,軽自動車税,01,現年課税分,0,362518,362518,0,362518,362518,0,0,1,ok,derived
rs_2026_general_revenue_01_06_01_01,2026_general_revenue_01_06_01,2026,general,一般会計,revenue,01,特別区税,06,特別区たばこ税,01,特別区たばこ税,01,現年課税分,4612411,4525026,-87385,0,4525026,4525026,0,0,1,ok,derived
rs_2026_general_revenue_01_07_01_01,2026_general_revenue_01_07_01,2026,general,一般会計,revenue,01,特別区税,07,入湯税,01,入湯税,01,現年課税分,9404,9404,0,0,9404,9404,0,0,1,ok,derived
rs_2026_general_revenue_02_02_01_01,2026_general_revenue_02_02_01,2026,general,一般会計,revenue,02,地方譲与税,02,自動車重量譲与税,01,自動車重量譲与税,01,自動車重量譲与税,958000,986000,28000,0,986000,986000,0,0,1,ok,derived
rs_2026_general_revenue_02_04_01_01,2026_general_revenue_02_04_01,2026,general,一般会計,revenue,02,地方譲与税,04,地方揮発油譲与税,01,地方揮発油譲与税,01,地方揮発油譲与税,282000,236000,-46000,0,236000,236000,0,0,1,ok,derived
