section_id,budget_item_key,fiscal_year,account_code,account_name,budget_side,kan_code,kan_name,kou_code,kou_name,moku_code,moku_name,setsu_code,setsu_name,amount_thousand_yen,budget_book_page,pdf_page,source_file,source_type
bs_2026_general_expenditure_01_01_01_01,2026_general_expenditure_01_01_01,2026,general,一般会計,expenditure,01,議会費,01,議会費,01,議会費,01,報酬,600135,311,159,r8tousyoyosanallpage.pdf,official_pdf
bs_2026_general_expenditure_01_01_01_04,2026_general_expenditure_01_01_01,2026,general,一般会計,expenditure,01,議会費,01,議会費,01,議会費,04,共済費,92256,311,159,r8tousyoyosanallpage.pdf,official_pdf
bs_2026_general_expenditure_01_01_01_07,2026_general_expenditure_01_01_01,2026,general,一般会計,expenditure,01,議会費,01,議会費,01,議会費,07,報償費,105,311,159,r8tousyoyosanallpage.pdf,official_pdf
bs_2026_general_expenditure_01_01_01_08,2026_general_expenditure_01_01_01,2026,general,一般会計,expenditure,01,議会費,01,議会費,01,議会費,08,旅費,6712,311,159,r8tousyoyosanallpage.pdf,official_pdf
bs_2026_general_expenditure_01_01_01_09,2026_general_expenditure_01_01_01,2026,general,一般会計,expenditure,01,議会費,01,議会費,01,議会費,09,交際費,1800,311,159,r8tousyoyosanallpage.pdf,official_pdf
bs_2026_general_expenditure_01_01_01_10,2026_general_expenditure_01_01_01,2026,general,一般会計,expenditure,01,議会費,01,議会費,01,議会費,10,需用費,15747,311,159,r8tousyoyosanallpage.pdf,official_pdf
bs_2026_general_expenditure_01_01_01_11,2026_general_expenditure_01_01_01,2026,general,一般会計,expenditure,01,議会費,01,議会費,01,議会費,11,役務費,24989,311,159,r8tousyoyosanallpage.pdf,official_pdf
bs_2026_general_expenditure_01_01_01_12,2026_general_expenditure_01_01_01,2026,general,一般会計,expenditure,01,議会費,01,議会費,01,議会費,12,委託料,24539,311,159,r8tousyoyosanallpage.pdf,official_pdf
bs_2026_general_expenditure_01_01_01_13,2026_general_expenditure_01_01_01,2026,general,一般会計,expenditure,01,議会費,01,議会費,01,議会費,13,使用料及賃借料,1133,311,159,r8tousyoyosanallpage.pdf,official_pdf
bs_2026_general_expenditure_01_01_01_18,2026_general_expenditure_01_01_01,2026,general,一般会計,expenditure,01,議会費,01,議会費,01,議会費,18,負担金補助及交付金,3137,311,159,r8tousyoyosanallpage.pdf,official_pdf
bs_2026_general_expenditure_02_01_01_01,2026_general_expenditure_02_01_01,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,01,一般管理費,01,報酬,3587,317,162,r8tousyoyosanallpage.pdf,official_pdf
