budget_item_key,fiscal_year,account_code,account_name,budget_side,kan_code,kan_name,kou_code,kou_name,moku_code,moku_name,program_total_amount_thousand_yen,section_total_amount_thousand_yen,diff_amount_thousand_yen,validation_status,program_row_count,section_row_count,source_type,is_zero_amount
2026_general_expenditure_01_01_01,2026,general,一般会計,expenditure,01,議会費,01,議会費,01,議会費,770553,770553,0,ok,3,10,derived,false
2026_general_expenditure_02_01_01,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,01,一般管理費,14144725,14144725,0,ok,41,16,derived,false
2026_general_expenditure_02_01_02,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,02,広報広聴費,436619,436619,0,ok,7,7,derived,false
2026_general_expenditure_02_01_03,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,03,企画調整費,602726,602726,0,ok,9,10,derived,false
2026_general_expenditure_02_01_04,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,04,電子計算費,14226086,14226086,0,ok,12,11,derived,false
2026_general_expenditure_02_01_05,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,05,財政管理費,9929,9929,0,ok,2,7,derived,false
2026_general_expenditure_02_01_06,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,06,財産管理費,994508,994508,0,ok,7,9,derived,false
2026_general_expenditure_02_01_07,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,07,車両管理費,205166,205166,0,ok,2,6,derived,false
2026_general_expenditure_02_01_08,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,08,会計管理費,242559,242559,0,ok,3,6,derived,false
2026_general_expenditure_02_02_01,2026,general,一般会計,expenditure,02,総務費,02,徴税費,01,税務総務費,2182,2182,0,ok,2,5,derived,false
2026_general_expenditure_02_02_02,2026,general,一般会計,expenditure,02,総務費,02,徴税費,02,賦課徴収費,1379576,1379576,0,ok,3,8,derived,false
2026_general_expenditure_02_03_01,2026,general,一般会計,expenditure,02,総務費,03,区民費,01,区民総務費,1759553,1759553,0,ok,50,14,derived,false
2026_general_expenditure_02_03_02,2026,general,一般会計,expenditure,02,総務費,03,区民費,02,支所費,2808564,2808564,0,ok,34,13,derived,false
2026_general_expenditure_02_03_06,2026,general,一般会計,expenditure,02,総務費,03,区民費,06,区民施設費,4273789,4273789,0,ok,41,10,derived,false
2026_general_expenditure_02_03_09,2026,general,一般会計,expenditure,02,総務費,03,区民費,09,防災対策費,897094,897094,0,ok,25,13,derived,false
2026_general_expenditure_02_03_10,2026,general,一般会計,expenditure,02,総務費,03,区民費,10,健康村費,844051,844051,0,ok,3,9,derived,false
2026_general_expenditure_02_03_11,2026,general,一般会計,expenditure,02,総務費,03,区民費,11,文化・国際費,112674,112674,0,ok,8,9,derived,false
2026_general_expenditure_02_03_12,2026,general,一般会計,expenditure,02,総務費,03,区民費,12,文化施設費,4130266,4130266,0,ok,7,9,derived,false
2026_general_expenditure_02_03_13,2026,general,一般会計,expenditure,02,総務費,03,区民費,13,消費者行政費,14019,14019,0,ok,5,7,derived,false
2026_general_expenditure_02_03_14,2026,general,一般会計,expenditure,02,総務費,03,区民費,14,スポーツ振興費,2692179,2692179,0,ok,16,13,derived,false
2026_general_expenditure_02_03_15,2026,general,一般会計,expenditure,02,総務費,03,区民費,15,生涯現役推進費,358475,358475,0,ok,12,8,derived,false
2026_general_expenditure_02_04_01,2026,general,一般会計,expenditure,02,総務費,04,戸籍住民基本台帳費,01,戸籍事務費,123840,123840,0,ok,1,8,derived,false
2026_general_expenditure_02_04_02,2026,general,一般会計,expenditure,02,総務費,04,戸籍住民基本台帳費,02,住民記録費,785324,785324,0,ok,3,8,derived,false
2026_general_expenditure_02_05_01,2026,general,一般会計,expenditure,02,総務費,05,統計調査費,01,統計調査総務費,1212,1212,0,ok,1,4,derived,false
2026_general_expenditure_02_05_04,2026,general,一般会計,expenditure,02,総務費,05,統計調査費,04,基幹統計調査費,67236,67236,0,ok,1,7,derived,false
2026_general_expenditure_02_07_01,2026,general,一般会計,expenditure,02,総務費,07,選挙費,01,選挙管理委員会費,13782,13782,0,ok,2,6,derived,false
2026_general_expenditure_02_07_02,2026,general,一般会計,expenditure,02,総務費,07,選挙費,02,選挙啓発費,3856,3856,0,ok,1,4,derived,false
2026_general_expenditure_02_07_03,2026,general,一般会計,expenditure,02,総務費,07,選挙費,03,地方選挙費,39624,39624,0,ok,2,7,derived,false
2026_general_expenditure_02_07_06,2026,general,一般会計,expenditure,02,総務費,07,選挙費,06,参議院議員選挙費,0,0,0,ok_zero_amount,1,0,derived,true
2026_general_expenditure_02_08_01,2026,general,一般会計,expenditure,02,総務費,08,監査委員費,01,監査委員費,9989,9989,0,ok,2,7,derived,false
2026_general_expenditure_03_01_01,2026,general,一般会計,expenditure,03,民生費,01,社会福祉費,01,社会福祉総務費,34661846,34661846,0,ok,74,14,derived,false
2026_general_expenditure_03_01_02,2026,general,一般会計,expenditure,03,民生費,01,社会福祉費,02,高齢者福祉費,2506341,2506341,0,ok,30,9,derived,false
2026_general_expenditure_03_01_03,2026,general,一般会計,expenditure,03,民生費,01,社会福祉費,03,障害者福祉費,29559527,29559527,0,ok,35,9,derived,false
2026_general_expenditure_03_01_16,2026,general,一般会計,expenditure,03,民生費,01,社会福祉費,16,障害者施設費,8082382,8082382,0,ok,21,9,derived,false
2026_general_expenditure_03_01_17,2026,general,一般会計,expenditure,03,民生費,01,社会福祉費,17,高齢者施設費,111921,111921,0,ok,1,1,derived,false
2026_general_expenditure_03_01_20,2026,general,一般会計,expenditure,03,民生費,01,社会福祉費,20,国民年金総務費,3009,3009,0,ok,1,4,derived,false
2026_general_expenditure_03_02_01,2026,general,一般会計,expenditure,03,民生費,02,児童福祉費,01,児童福祉総務費,16186471,16186471,0,ok,54,13,derived,false
2026_general_expenditure_03_02_03,2026,general,一般会計,expenditure,03,民生費,02,児童福祉費,03,児童措置費,69931955,69931955,0,ok,11,7,derived,false
2026_general_expenditure_03_02_05,2026,general,一般会計,expenditure,03,民生費,02,児童福祉費,05,保育所費,1848456,1848456,0,ok,1,10,derived,false
2026_general_expenditure_03_02_06,2026,general,一般会計,expenditure,03,民生費,02,児童福祉費,06,児童育成費,2802950,2802950,0,ok,7,10,derived,false
2026_general_expenditure_03_02_12,2026,general,一般会計,expenditure,03,民生費,02,児童福祉費,12,保育児童施設費,3531639,3531639,0,ok,5,7,derived,false
2026_general_expenditure_03_02_13,2026,general,一般会計,expenditure,03,民生費,02,児童福祉費,13,児童相談所費,2314601,2314601,0,ok,11,10,derived,false
2026_general_expenditure_03_03_01,2026,general,一般会計,expenditure,03,民生費,03,生活保護費,01,生活保護総務費,206157,206157,0,ok,1,7,derived,false
2026_general_expenditure_03_03_03,2026,general,一般会計,expenditure,03,民生費,03,生活保護費,03,扶助費,23104327,23104327,0,ok,3,4,derived,false
2026_general_expenditure_04_02_01,2026,general,一般会計,expenditure,04,環境費,02,環境費,01,環境対策費,464852,464852,0,ok,13,12,derived,false
2026_general_expenditure_04_03_01,2026,general,一般会計,expenditure,04,環境費,03,清掃費,01,清掃管理費,5688751,5688751,0,ok,18,10,derived,false
2026_general_expenditure_04_03_02,2026,general,一般会計,expenditure,04,環境費,03,清掃費,02,廃棄物対策費,4300778,4300778,0,ok,6,7,derived,false
2026_general_expenditure_04_03_03,2026,general,一般会計,expenditure,04,環境費,03,清掃費,03,省資源対策費,3723230,3723230,0,ok,4,7,derived,false
2026_general_expenditure_04_03_04,2026,general,一般会計,expenditure,04,環境費,03,清掃費,04,施設整備費,200236,200236,0,ok,3,2,derived,false
2026_general_expenditure_05_01_01,2026,general,一般会計,expenditure,05,衛生費,01,衛生管理費,01,衛生総務費,807064,807064,0,ok,5,8,derived,false
2026_general_expenditure_05_01_03,2026,general,一般会計,expenditure,05,衛生費,01,衛生管理費,03,衛生統計費,3886,3886,0,ok,1,4,derived,false
2026_general_expenditure_05_01_04,2026,general,一般会計,expenditure,05,衛生費,01,衛生管理費,04,保健センター費,511288,511288,0,ok,2,6,derived,false
2026_general_expenditure_05_02_01,2026,general,一般会計,expenditure,05,衛生費,02,保健所費,01,保健所費,233048,233048,0,ok,13,10,derived,false
2026_general_expenditure_05_03_03,2026,general,一般会計,expenditure,05,衛生費,03,公衆衛生費,03,成人病予防費,2459500,2459500,0,ok,7,11,derived,false
2026_general_expenditure_05_03_04,2026,general,一般会計,expenditure,05,衛生費,03,公衆衛生費,04,栄養指導費,9960,9960,0,ok,7,6,derived,false
2026_general_expenditure_05_03_05,2026,general,一般会計,expenditure,05,衛生費,03,公衆衛生費,05,母子保健費,2344731,2344731,0,ok,15,9,derived,false
2026_general_expenditure_05_03_06,2026,general,一般会計,expenditure,05,衛生費,03,公衆衛生費,06,公害保健費,1870,1870,0,ok,1,3,derived,false
2026_general_expenditure_05_03_07,2026,general,一般会計,expenditure,05,衛生費,03,公衆衛生費,07,感染症予防費,4768450,4768450,0,ok,12,7,derived,false
2026_general_expenditure_05_04_01,2026,general,一般会計,expenditure,05,衛生費,04,環境衛生費,01,環境衛生費,304121,304121,0,ok,12,8,derived,false
2026_general_expenditure_06_01_01,2026,general,一般会計,expenditure,06,産業経済費,01,商工費,01,商工振興費,2501199,2501199,0,ok,25,9,derived,false
2026_general_expenditure_06_02_01,2026,general,一般会計,expenditure,06,産業経済費,02,農業費,01,農業委員会費,11052,11052,0,ok,2,9,derived,false
2026_general_expenditure_06_02_02,2026,general,一般会計,expenditure,06,産業経済費,02,農業費,02,農業総務費,222803,222803,0,ok,9,10,derived,false
2026_general_expenditure_07_01_01,2026,general,一般会計,expenditure,07,土木費,01,土木管理費,01,土木総務費,135910,135910,0,ok,11,8,derived,false
2026_general_expenditure_07_02_01,2026,general,一般会計,expenditure,07,土木費,02,道路橋梁費,01,道路橋梁総務費,362335,362335,0,ok,11,8,derived,false
2026_general_expenditure_07_02_02,2026,general,一般会計,expenditure,07,土木費,02,道路橋梁費,02,道路維持費,1570059,1570059,0,ok,3,7,derived,false
2026_general_expenditure_07_02_03,2026,general,一般会計,expenditure,07,土木費,02,道路橋梁費,03,道路新設改良費,9500311,9500311,0,ok,22,11,derived,false
2026_general_expenditure_07_02_04,2026,general,一般会計,expenditure,07,土木費,02,道路橋梁費,04,私道整備費,39000,39000,0,ok,1,1,derived,false
2026_general_expenditure_07_02_06,2026,general,一般会計,expenditure,07,土木費,02,道路橋梁費,06,交通安全対策費,966363,966363,0,ok,9,9,derived,false
2026_general_expenditure_07_02_07,2026,general,一般会計,expenditure,07,土木費,02,道路橋梁費,07,街路照明費,853614,853614,0,ok,3,6,derived,false
2026_general_expenditure_07_02_08,2026,general,一般会計,expenditure,07,土木費,02,道路橋梁費,08,公共下水道建設費,428894,428894,0,ok,1,6,derived,false
2026_general_expenditure_07_02_09,2026,general,一般会計,expenditure,07,土木費,02,道路橋梁費,09,水洗化促進費,3500,3500,0,ok,1,1,derived,false
2026_general_expenditure_07_02_10,2026,general,一般会計,expenditure,07,土木費,02,道路橋梁費,10,橋梁新設改良費,1474413,1474413,0,ok,2,3,derived,false
2026_general_expenditure_07_03_01,2026,general,一般会計,expenditure,07,土木費,03,河川費,01,河川総務費,254631,254631,0,ok,6,7,derived,false
2026_general_expenditure_07_03_05,2026,general,一般会計,expenditure,07,土木費,03,河川費,05,河川整備費,91349,91349,0,ok,2,2,derived,false
2026_general_expenditure_07_04_01,2026,general,一般会計,expenditure,07,土木費,04,公園費,01,公園管理費,4062930,4062930,0,ok,8,12,derived,false
2026_general_expenditure_07_04_02,2026,general,一般会計,expenditure,07,土木費,04,公園費,02,公園新設改良費,5514694,5514694,0,ok,5,7,derived,false
2026_general_expenditure_07_04_05,2026,general,一般会計,expenditure,07,土木費,04,公園費,05,緑化推進費,463497,463497,0,ok,6,6,derived,false
2026_general_expenditure_07_04_06,2026,general,一般会計,expenditure,07,土木費,04,公園費,06,公衆トイレ費,35133,35133,0,ok,1,3,derived,false
2026_general_expenditure_07_05_01,2026,general,一般会計,expenditure,07,土木費,05,建築費,01,建築行政費,539756,539756,0,ok,7,7,derived,false
2026_general_expenditure_07_05_02,2026,general,一般会計,expenditure,07,土木費,05,建築費,02,住宅費,2420376,2420376,0,ok,9,10,derived,false
2026_general_expenditure_07_06_01,2026,general,一般会計,expenditure,07,土木費,06,都市計画費,01,都市計画総務費,6160328,6160328,0,ok,31,11,derived,false
2026_general_expenditure_07_06_02,2026,general,一般会計,expenditure,07,土木費,06,都市計画費,02,市街地開発費,765024,765024,0,ok,6,9,derived,false
2026_general_expenditure_08_01_01,2026,general,一般会計,expenditure,08,教育費,01,教育総務費,01,教育委員会費,13371,13371,0,ok,2,6,derived,false
2026_general_expenditure_08_01_02,2026,general,一般会計,expenditure,08,教育費,01,教育総務費,02,事務局費,2275173,2275173,0,ok,12,8,derived,false
2026_general_expenditure_08_01_03,2026,general,一般会計,expenditure,08,教育費,01,教育総務費,03,教育指導費,3682294,3682294,0,ok,32,11,derived,false
2026_general_expenditure_08_01_04,2026,general,一般会計,expenditure,08,教育費,01,教育総務費,04,教育振興費,1647359,1647359,0,ok,1,1,derived,false
