program_id,budget_item_key,fiscal_year,account_code,account_name,budget_side,kan_code,kan_name,kou_code,kou_name,moku_code,moku_name,major_program_name,budget_program_name,detail_program_name,department_name,amount_thousand_yen,general_revenue_thousand_yen,allocated_revenue_thousand_yen,major_program_code,budget_program_code,detail_program_code,budget_program_group_id,source_type,source_file,source_row_number,is_zero_amount,funding_data_status,department_display_name,department_mapping_status
2026_general_expenditure_01_01_01_01_01_01,2026_general_expenditure_01_01_01,2026,general,一般会計,expenditure,01,議会費,01,議会費,01,議会費,区議会議員報酬,区議会議員報酬,区議会議員報酬,区議会事務局,693041,693041,0,01,01,01,2026_general_expenditure_01_01_01_01_01,official_csv,ippansaisyutu.csv,10239,false,raw_source_only,区議会事務局,already_display
2026_general_expenditure_01_01_01_02_01_01,2026_general_expenditure_01_01_01,2026,general,一般会計,expenditure,01,議会費,01,議会費,01,議会費,区議会運営費,議会活動,議会活動,区議会事務局,46927,46927,0,02,01,01,2026_general_expenditure_01_01_01_02_01,official_csv,ippansaisyutu.csv,10240,false,raw_source_only,区議会事務局,already_display
2026_general_expenditure_01_01_01_02_02_01,2026_general_expenditure_01_01_01,2026,general,一般会計,expenditure,01,議会費,01,議会費,01,議会費,区議会運営費,区議会広報活動,区議会広報活動,区議会事務局,30585,29440,1145,02,02,01,2026_general_expenditure_01_01_01_02_02,official_csv,ippansaisyutu.csv,10241,false,raw_source_only,区議会事務局,already_display
2026_general_expenditure_02_01_01_01_01_01,2026_general_expenditure_02_01_01,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,01,一般管理費,総務事務運営費,区長室庶務事務,区長室庶務事務,区長室＊秘書課,9655,9655,0,01,01,01,2026_general_expenditure_02_01_01_01_01,official_csv,ippansaisyutu.csv,9329,false,raw_source_only,区長室 秘書課,already_display
2026_general_expenditure_02_01_01_01_03_01,2026_general_expenditure_02_01_01,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,01,一般管理費,総務事務運営費,特別職報酬等審議会運営,特別職報酬等審議会運営,総務＊総務課,588,588,0,01,03,01,2026_general_expenditure_02_01_01_01_03,official_csv,ippansaisyutu.csv,9283,false,raw_source_only,総務部 総務課,matched
2026_general_expenditure_02_01_01_01_04_01,2026_general_expenditure_02_01_01,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,01,一般管理費,総務事務運営費,特別区人事厚生事務組合分担金,特別区人事厚生事務組合分担金,総務＊総務課,255281,255281,0,01,04,01,2026_general_expenditure_02_01_01_01_04,official_csv,ippansaisyutu.csv,9284,false,raw_source_only,総務部 総務課,matched
2026_general_expenditure_02_01_01_01_05_01,2026_general_expenditure_02_01_01,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,01,一般管理費,総務事務運営費,特別区協議会等分担金,特別区協議会等分担金,総務＊総務課,5123,5123,0,01,05,01,2026_general_expenditure_02_01_01_01_05,official_csv,ippansaisyutu.csv,9285,false,raw_source_only,総務部 総務課,matched
2026_general_expenditure_02_01_01_01_06_01,2026_general_expenditure_02_01_01,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,01,一般管理費,総務事務運営費,奨学資金等貸付,奨学資金等貸付,子若＊子ども・若者支援課,1235,-13126,14361,01,06,01,2026_general_expenditure_02_01_01_01_06,official_csv,ippansaisyutu.csv,9772,false,raw_source_only,子ども・若者部 子ども・若者支援課,matched
2026_general_expenditure_02_01_01_01_08_01,2026_general_expenditure_02_01_01,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,01,一般管理費,総務事務運営費,専修学校・各種学校等指導助成,専修学校・各種学校等指導助成,子若＊子ども・若者支援課,300,300,0,01,08,01,2026_general_expenditure_02_01_01_01_08,official_csv,ippansaisyutu.csv,9773,false,raw_source_only,子ども・若者部 子ども・若者支援課,matched
2026_general_expenditure_02_01_01_01_09_01,2026_general_expenditure_02_01_01,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,01,一般管理費,総務事務運営費,外国人学校児童・生徒保護者補助金交付,外国人学校児童・生徒保護者補助金交付,子若＊子ども・若者支援課,2688,2688,0,01,09,01,2026_general_expenditure_02_01_01_01_09,official_csv,ippansaisyutu.csv,9774,false,raw_source_only,子ども・若者部 子ども・若者支援課,matched
