revenue_detail_id,revenue_section_id,revenue_item_key,fiscal_year,account_code,account_name,kan_code,kan_name,kou_code,kou_name,moku_code,moku_name,setsu_code,setsu_name,saisetsu_code,saisetsu_name,department_display_name,source_funding_category_name,funding_nature,previous_amount_thousand_yen,current_amount_thousand_yen,diff_amount_thousand_yen,is_zero_amount,related_program_count,source_file,source_row_number
rd_2026_general_revenue_01_01_01_01_01_3355400000,rs_2026_general_revenue_01_01_01_01,2026_general_revenue_01_01_01,2026,general,一般会計,01,特別区税,01,特別区民税,01,特別区民税,01,現年課税分,01,特別区民税現年課税分,財務部 納税課,一般財源,general,138498315,153521706,15023391,false,0,ippansainyu.csv,16991
rd_2026_general_revenue_01_01_01_02_01_3355400000,rs_2026_general_revenue_01_01_01_02,2026_general_revenue_01_01_01,2026,general,一般会計,01,特別区税,01,特別区民税,01,特別区民税,02,滞納繰越分,01,特別区民税滞納繰越分,財務部 納税課,一般財源,general,1006388,1042919,36531,false,0,ippansainyu.csv,16992
rd_2026_general_revenue_01_02_01_01_01_3355400000,rs_2026_general_revenue_01_02_01_01,2026_general_revenue_01_02_01,2026,general,一般会計,01,特別区税,02,軽自動車税,01,軽自動車税（種別割）,01,現年課税分,01,軽自動車税（種別割）現年課税分,財務部 納税課,一般財源,general,348559,0,-348559,true,0,ippansainyu.csv,16993
rd_2026_general_revenue_01_02_01_02_01_3355400000,rs_2026_general_revenue_01_02_01_02,2026_general_revenue_01_02_01,2026,general,一般会計,01,特別区税,02,軽自動車税,01,軽自動車税（種別割）,02,滞納繰越分,01,軽自動車税（種別割）滞納繰越分,財務部 納税課,一般財源,general,5676,6160,484,false,0,ippansainyu.csv,16994
rd_2026_general_revenue_01_02_02_01_01_3355400000,rs_2026_general_revenue_01_02_02_01,2026_general_revenue_01_02_02,2026,general,一般会計,01,特別区税,02,軽自動車税,02,軽自動車税（環境性能割）,01,現年課税分,01,軽自動車税（環境性能割）現年課税分,財務部 納税課,一般財源,general,33221,5103,-28118,false,0,ippansainyu.csv,16995
rd_2026_general_revenue_01_02_03_01_01_3355400000,rs_2026_general_revenue_01_02_03_01,2026_general_revenue_01_02_03,2026,general,一般会計,01,特別区税,02,軽自動車税,03,軽自動車税,01,現年課税分,01,軽自動車税現年課税分,財務部 納税課,一般財源,general,0,362518,362518,false,0,ippansainyu.csv,16996
rd_2026_general_revenue_01_06_01_01_01_3355400000,rs_2026_general_revenue_01_06_01_01,2026_general_revenue_01_06_01,2026,general,一般会計,01,特別区税,06,特別区たばこ税,01,特別区たばこ税,01,現年課税分,01,特別区たばこ税現年課税分,財務部 納税課,一般財源,general,4612411,4525026,-87385,false,0,ippansainyu.csv,16997
rd_2026_general_revenue_01_07_01_01_01_3355400000,rs_2026_general_revenue_01_07_01_01,2026_general_revenue_01_07_01,2026,general,一般会計,01,特別区税,07,入湯税,01,入湯税,01,現年課税分,01,入湯税現年課税分,財務部 納税課,一般財源,general,9404,9404,0,false,0,ippansainyu.csv,16998
rd_2026_general_revenue_02_02_01_01_01_3065500000,rs_2026_general_revenue_02_02_01_01,2026_general_revenue_02_02_01,2026,general,一般会計,02,地方譲与税,02,自動車重量譲与税,01,自動車重量譲与税,01,自動車重量譲与税,01,自動車重量譲与税,政策経営部 財政課,一般財源,general,958000,986000,28000,false,0,ippansainyu.csv,16903
rd_2026_general_revenue_02_04_01_01_01_3065500000,rs_2026_general_revenue_02_04_01_01,2026_general_revenue_02_04_01,2026,general,一般会計,02,地方譲与税,04,地方揮発油譲与税,01,地方揮発油譲与税,01,地方揮発油譲与税,01,地方揮発油譲与税,政策経営部 財政課,一般財源,general,282000,236000,-46000,false,0,ippansainyu.csv,16904
rd_2026_general_revenue_02_05_01_01_01_3065500000,rs_2026_general_revenue_02_05_01_01,2026_general_revenue_02_05_01,2026,general,一般会計,02,地方譲与税,05,森林環境譲与税,01,森林環境譲与税,01,森林環境譲与税,01,森林環境譲与税,政策経営部 財政課,一般財源,general,127000,122000,-5000,false,0,ippansainyu.csv,16905
rd_2026_general_revenue_03_01_01_01_01_3355400000,rs_2026_general_revenue_03_01_01_01,2026_general_revenue_03_01_01,2026,general,一般会計,03,利子割交付金,01,利子割交付金,01,利子割交付金,01,利子割交付金,01,利子割交付金,財務部 納税課,一般財源,general,1645000,2280000,635000,false,0,ippansainyu.csv,16999
rd_2026_general_revenue_04_01_01_01_01_3355400000,rs_2026_general_revenue_04_01_01_01,2026_general_revenue_04_01_01,2026,general,一般会計,04,配当割交付金,01,配当割交付金,01,配当割交付金,01,配当割交付金,01,配当割交付金,財務部 納税課,一般財源,general,4045000,4018000,-27000,false,0,ippansainyu.csv,17000
rd_2026_general_revenue_05_01_01_01_01_3355400000,rs_2026_general_revenue_05_01_01_01,2026_general_revenue_05_01_01,2026,general,一般会計,05,株式等譲渡所得割交付金,01,株式等譲渡所得割交付金,01,株式等譲渡所得割交付金,01,株式等譲渡所得割交付金,01,株式等譲渡所得割交付金,財務部 納税課,一般財源,general,4921000,8074000,3153000,false,0,ippansainyu.csv,17001
rd_2026_general_revenue_06_01_01_01_01_3355400000,rs_2026_general_revenue_06_01_01_01,2026_general_revenue_06_01_01,2026,general,一般会計,06,地方消費税交付金,01,地方消費税交付金,01,地方消費税交付金,01,地方消費税交付金,01,地方消費税交付金,財務部 納税課,一般財源,general,23946000,27048000,3102000,false,0,ippansainyu.csv,17002
