raw_allocation_id,source_file,pdf_page,budget_book_page,fiscal_year,account_code,account_name,kan_code,kan_name,kou_code,kou_name,moku_code,moku_name,setsu_code,setsu_name,saisetsu_code,pdf_revenue_detail_name,pdf_department_name,pdf_revenue_amount_thousand_yen,allocation_sequence,pdf_target_program_name,target_budget_book_page,raw_text,parse_status,parse_note
ra_2026_general_052_001,r8tousyoyosanallpage.pdf,52,97,2026,general,一般会計,11,分担金及負担金,01,負担金,01,民生費負担金,01,老人福祉施設費,01,養護老人ホーム入所者負担金,高齢福祉部,50235,1,養護老人ホーム入所措置,363,"1 養護老人ホーム入所者負担金(高齢福祉部) 50,235
充当事業:養護老人ホーム入所措置・P363",parsed,
ra_2026_general_052_002,r8tousyoyosanallpage.pdf,52,97,2026,general,一般会計,11,分担金及負担金,01,負担金,01,民生費負担金,04,保育所費,01,区立保育園入所者負担金,子ども・若者部,11767,1,区立保育園運営,381,"1 区立保育園入所者負担金(子ども・若者部) 11,767
充当事業:区立保育園運営・P381",parsed,
ra_2026_general_052_003,r8tousyoyosanallpage.pdf,52,97,2026,general,一般会計,11,分担金及負担金,01,負担金,01,民生費負担金,05,児童保護費,01,入院助産入所者負担金,子ども・若者部,732,1,入院助産措置,381,"1 入院助産入所者負担金(子ども・若者部) 732
充当事業:入院助産措置・P381",parsed,
ra_2026_general_052_004,r8tousyoyosanallpage.pdf,52,97,2026,general,一般会計,11,分担金及負担金,01,負担金,01,民生費負担金,08,母子生活支援施設費,02,私立母子生活支援施設入所者負担金,子ども・若者部,226,1,私立母子生活支援施設への保護委託,381,"2 私立母子生活支援施設入所者負担金(子ども・若者部) 226
充当事業:私立母子生活支援施設への保護委託・P381",parsed,
ra_2026_general_052_005,r8tousyoyosanallpage.pdf,52,97,2026,general,一般会計,11,分担金及負担金,01,負担金,01,民生費負担金,08,母子生活支援施設費,04,区立母子生活支援施設入所者負担金,子ども・若者部,395,1,ひとり親家庭への支援,377,"4 区立母子生活支援施設入所者負担金(子ども・若者部) 395
充当事業:ひとり親家庭への支援・P377",parsed,
ra_2026_general_052_006,r8tousyoyosanallpage.pdf,52,97,2026,general,一般会計,11,分担金及負担金,01,負担金,01,民生費負担金,11,児童養護施設退所者等住宅支援費,01,児童養護施設退所者等入居者負担金,子ども・若者部,500,1,児童養護施設退所者等支援事業,377,"1 児童養護施設退所者等入居者負担金(子ども・若者部) 500
充当事業:児童養護施設退所者等支援事業・P377",parsed,
ra_2026_general_052_007,r8tousyoyosanallpage.pdf,52,97,2026,general,一般会計,11,分担金及負担金,01,負担金,01,民生費負担金,12,児童福祉施設等費,01,児童福祉施設等入所者負担金,子ども・若者部,10219,1,児童福祉施設等への措置費支弁,385,"1 児童福祉施設等入所者負担金(子ども・若者部) 10,219
充当事業:児童福祉施設等への措置費支弁・P385",parsed,
ra_2026_general_052_008,r8tousyoyosanallpage.pdf,52,97,2026,general,一般会計,11,分担金及負担金,01,負担金,01,民生費負担金,13,障害児入所施設費,01,障害児施設入所者負担金,子ども・若者部,960,1,児童福祉施設等への措置費支弁,385,"1 障害児施設入所者負担金(子ども・若者部) 960
充当事業:児童福祉施設等への措置費支弁・P385",parsed,
ra_2026_general_052_009,r8tousyoyosanallpage.pdf,52,97,2026,general,一般会計,11,分担金及負担金,01,負担金,01,民生費負担金,14,措置費共同経理費,01,措置費共同経理負担金,子ども・若者部,118,1,児童福祉施設等への措置費支弁,385,"1 措置費共同経理負担金(子ども・若者部) 118
充当事業:児童福祉施設等への措置費支弁・P385",parsed,
ra_2026_general_052_010,r8tousyoyosanallpage.pdf,52,97,2026,general,一般会計,11,分担金及負担金,01,負担金,01,民生費負担金,14,措置費共同経理費,02,措置費共同経理負担金,DX推進担当部,3478,1,共通基盤システム運用,321,"2 措置費共同経理負担金(DX推進担当部) 3,478
充当事業:共通基盤システム運用・P321",parsed,
ra_2026_general_052_011,r8tousyoyosanallpage.pdf,52,97,2026,general,一般会計,11,分担金及負担金,01,負担金,03,土木費負担金,02,多摩川玉堤広場管理費,01,多摩川玉堤広場共同管理負担金,みどり33推進担当部,85386,1,多摩川玉堤広場維持管理,431,"1 多摩川玉堤広場共同管理負担金(みどり33推進担当部) 85,386
充当事業:多摩川玉堤広場維持管理・P431",parsed,
ra_2026_general_052_012,r8tousyoyosanallpage.pdf,52,97,2026,general,一般会計,11,分担金及負担金,01,負担金,03,土木費負担金,06,無電柱化整備費,01,無電柱化事業建設負担金(世田谷・北沢・烏山),土木部,9725,1,無電柱化整備(世田谷・北沢・烏山),423,"1 無電柱化事業建設負担金(世田谷・北沢・烏山)(土木部) 9,725
充当事業:無電柱化整備(世田谷・北沢・烏山)・P423",parsed,
ra_2026_general_053_001,r8tousyoyosanallpage.pdf,53,44,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,01,区民会館,05,烏山区民会館,烏山総合支所,28699,1,烏山区民会館・区民センター維持運営,335,"5 烏山区民会館(烏山総合支所) 28,699
充当事業:烏山区民会館・区民センター維持運営・P335",parsed,
ra_2026_general_053_002,r8tousyoyosanallpage.pdf,53,44,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,01,区民会館,07,世田谷区民会館,生活文化政策部,92648,1,世田谷区民会館維持運営,337,"7 世田谷区民会館(生活文化政策部) 92,648
充当事業:世田谷区民会館維持運営・P337",parsed,
ra_2026_general_053_003,r8tousyoyosanallpage.pdf,53,44,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,02,区民センター,01,烏山区民センター,烏山総合支所,5474,1,烏山区民会館・区民センター維持運営,335,"1 烏山区民センター(烏山総合支所) 5,474
充当事業:烏山区民会館・区民センター維持運営・P335",parsed,
