raw_section_id,fiscal_year,account_code,account_name,budget_side,kan_code,kan_name,kou_code,kou_name,moku_code,moku_name,setsu_code,setsu_name,amount_thousand_yen,budget_book_page,pdf_page,raw_text,parse_status,review_reason
2026_national_health_insurance_expenditure_21_01_01_setsu_07_01,2026,national_health_insurance,国民健康保険事業会計,expenditure,21,総務費,01,総務管理費,01,一般管理費,07,報償費,189,591,299,07 報償費 | 189,matched,
2026_national_health_insurance_expenditure_21_01_01_setsu_08_01,2026,national_health_insurance,国民健康保険事業会計,expenditure,21,総務費,01,総務管理費,01,一般管理費,08,旅費,337,591,299,08 旅費 | 337,matched,
2026_national_health_insurance_expenditure_21_01_01_setsu_10_01,2026,national_health_insurance,国民健康保険事業会計,expenditure,21,総務費,01,総務管理費,01,一般管理費,10,需用費,47211,591,299,"10 需用費 | 47,211",matched,
2026_national_health_insurance_expenditure_21_01_01_setsu_11_01,2026,national_health_insurance,国民健康保険事業会計,expenditure,21,総務費,01,総務管理費,01,一般管理費,11,役務費,127054,591,299,"11 役務費 | 127,054",matched,
2026_national_health_insurance_expenditure_21_01_01_setsu_12_01,2026,national_health_insurance,国民健康保険事業会計,expenditure,21,総務費,01,総務管理費,01,一般管理費,12,委託料,948534,591,299,"12 委託料 | 948,534",matched,
2026_national_health_insurance_expenditure_21_01_01_setsu_13_01,2026,national_health_insurance,国民健康保険事業会計,expenditure,21,総務費,01,総務管理費,01,一般管理費,13,使用料及賃借料,5817,591,299,"13 使用料及賃
借料 | 5,817",matched,
2026_national_health_insurance_expenditure_21_01_01_setsu_18_01,2026,national_health_insurance,国民健康保険事業会計,expenditure,21,総務費,01,総務管理費,01,一般管理費,18,負担金補助及交付金,8471,591,299,"18 負担金補助
及交付金 | 8,471",matched,
2026_national_health_insurance_expenditure_21_01_02_setsu_01_01,2026,national_health_insurance,国民健康保険事業会計,expenditure,21,総務費,01,総務管理費,02,運営協議会費,01,報酬,384,593,300,01 報酬 | 384,matched,
2026_national_health_insurance_expenditure_21_01_02_setsu_10_01,2026,national_health_insurance,国民健康保険事業会計,expenditure,21,総務費,01,総務管理費,02,運営協議会費,10,需用費,77,593,300,10 需用費 | 77,matched,
2026_national_health_insurance_expenditure_21_01_02_setsu_11_01,2026,national_health_insurance,国民健康保険事業会計,expenditure,21,総務費,01,総務管理費,02,運営協議会費,11,役務費,63,593,300,11 役務費 | 63,matched,
2026_national_health_insurance_expenditure_21_01_03_setsu_10_01,2026,national_health_insurance,国民健康保険事業会計,expenditure,21,総務費,01,総務管理費,03,趣旨普及費,10,需用費,5300,593,300,"10 需用費 | 5,300",matched,
2026_national_health_insurance_expenditure_21_01_03_setsu_11_01,2026,national_health_insurance,国民健康保険事業会計,expenditure,21,総務費,01,総務管理費,03,趣旨普及費,11,役務費,167,593,300,11 役務費 | 167,matched,
2026_national_health_insurance_expenditure_21_01_03_setsu_12_01,2026,national_health_insurance,国民健康保険事業会計,expenditure,21,総務費,01,総務管理費,03,趣旨普及費,12,委託料,139,593,300,12 委託料 | 139,matched,
2026_national_health_insurance_expenditure_21_01_04_setsu_18_01,2026,national_health_insurance,国民健康保険事業会計,expenditure,21,総務費,01,総務管理費,04,連合会負担金,18,負担金補助及交付金,16525,593,300,"18 負担金補助
及交付金 | 16,525",matched,
2026_national_health_insurance_expenditure_22_01_01_setsu_18_01,2026,national_health_insurance,国民健康保険事業会計,expenditure,22,保険給付費,01,療養諸費,01,療養給付費,18,負担金補助及交付金,41817513,595,301,"18 負担金補助
及交付金 | 41,817,513",matched,
2026_national_health_insurance_expenditure_22_01_03_setsu_18_01,2026,national_health_insurance,国民健康保険事業会計,expenditure,22,保険給付費,01,療養諸費,03,療養費,18,負担金補助及交付金,566541,595,301,"18 負担金補助
及交付金 | 566,541",matched,
2026_national_health_insurance_expenditure_22_01_05_setsu_12_01,2026,national_health_insurance,国民健康保険事業会計,expenditure,22,保険給付費,01,療養諸費,05,審査支払手数料,12,委託料,217239,595,301,"12 委託料 | 217,239",matched,
2026_national_health_insurance_expenditure_22_02_01_setsu_18_01,2026,national_health_insurance,国民健康保険事業会計,expenditure,22,保険給付費,02,高額療養費,01,高額療養費,18,負担金補助及交付金,5886421,597,302,"18 負担金補助
及交付金 | 5,886,421",matched,
2026_national_health_insurance_expenditure_22_02_03_setsu_18_01,2026,national_health_insurance,国民健康保険事業会計,expenditure,22,保険給付費,02,高額療養費,03,高額介護合算療養費,18,負担金補助及交付金,8024,597,302,"18 負担金補助
及交付金 | 8,024",matched,
2026_national_health_insurance_expenditure_22_03_02_setsu_18_01,2026,national_health_insurance,国民健康保険事業会計,expenditure,22,保険給付費,03,出産育児費,02,出産育児一時金,18,負担金補助及交付金,260500,599,303,"18 負担金補助
及交付金 | 260,500",matched,
2026_national_health_insurance_expenditure_22_03_03_setsu_12_01,2026,national_health_insurance,国民健康保険事業会計,expenditure,22,保険給付費,03,出産育児費,03,支払手数料,12,委託料,110,599,303,12 委託料 | 110,matched,
2026_national_health_insurance_expenditure_22_04_01_setsu_18_01,2026,national_health_insurance,国民健康保険事業会計,expenditure,22,保険給付費,04,葬祭費,01,葬祭費,18,負担金補助及交付金,36400,601,304,"18 負担金補助
及交付金 | 36,400",matched,
2026_national_health_insurance_expenditure_22_06_01_setsu_18_01,2026,national_health_insurance,国民健康保険事業会計,expenditure,22,保険給付費,06,移送費,01,移送費,18,負担金補助及交付金,300,603,305,"18 負担金補助
及交付金 | 300",matched,
2026_national_health_insurance_expenditure_22_07_01_setsu_18_01,2026,national_health_insurance,国民健康保険事業会計,expenditure,22,保険給付費,07,結核・精神医療給付金,01,結核・精神医療給付金,18,負担金補助及交付金,77084,605,306,"18 負担金補助
及交付金 | 77,084",matched,
2026_national_health_insurance_expenditure_25_02_01_setsu_07_01,2026,national_health_insurance,国民健康保険事業会計,expenditure,25,保健事業費,02,特定健康診査等事業費,01,特定健康診査等事業費,07,報償費,88,607,307,07 報償費 | 88,matched,
2026_national_health_insurance_expenditure_25_02_01_setsu_10_01,2026,national_health_insurance,国民健康保険事業会計,expenditure,25,保健事業費,02,特定健康診査等事業費,01,特定健康診査等事業費,10,需用費,17124,607,307,"10 需用費 | 17,124",matched,
2026_national_health_insurance_expenditure_25_02_01_setsu_11_01,2026,national_health_insurance,国民健康保険事業会計,expenditure,25,保健事業費,02,特定健康診査等事業費,01,特定健康診査等事業費,11,役務費,24619,607,307,"11 役務費 | 24,619",matched,
2026_national_health_insurance_expenditure_25_02_01_setsu_12_01,2026,national_health_insurance,国民健康保険事業会計,expenditure,25,保健事業費,02,特定健康診査等事業費,01,特定健康診査等事業費,12,委託料,756864,607,307,"12 委託料 | 756,864",matched,
