allocation_link_id,raw_allocation_id,revenue_detail_id,target_budget_program_identity_id,candidate_budget_program_group_ids,candidate_budget_program_names,candidate_department_names,target_budget_book_page,resolution_reason
ral_2026_general_072_009,ra_2026_general_072_009,rd_2026_general_revenue_13_02_01_54_44_4960100000,bpi_b55e51de6d41c9f9e2302349c0f7a11790df1cb4835ebe1c8990b0dd44d25850,2026_general_expenditure_09_01_08_01_04|2026_general_expenditure_09_01_08_01_07|2026_general_expenditure_09_01_08_01_08|2026_general_expenditure_09_01_08_01_09|2026_general_expenditure_09_01_08_01_10,会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）,教生＊教育総務課|教生＊教育総務課|教生＊教育総務課|教生＊教育総務課|教生＊教育総務課,471,public_source_does_not_distinguish_internal_groups
ral_2026_general_072_010,ra_2026_general_072_010,rd_2026_general_revenue_13_02_01_54_45_4960100000,bpi_b55e51de6d41c9f9e2302349c0f7a11790df1cb4835ebe1c8990b0dd44d25850,2026_general_expenditure_09_01_08_01_04|2026_general_expenditure_09_01_08_01_07|2026_general_expenditure_09_01_08_01_08|2026_general_expenditure_09_01_08_01_09|2026_general_expenditure_09_01_08_01_10,会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）,教生＊教育総務課|教生＊教育総務課|教生＊教育総務課|教生＊教育総務課|教生＊教育総務課,471,public_source_does_not_distinguish_internal_groups
ral_2026_general_076_015,ra_2026_general_076_015,rd_2026_general_revenue_13_02_01_78_30_3665570000,bpi_b20577636fe2f4187fd662b1f0fc27c1a15b49e5c5e258c012206f3f329eb489,2026_general_expenditure_09_01_03_01_18|2026_general_expenditure_09_01_03_01_23,会計年度任用職員の人件費（子ども・若者部）|会計年度任用職員の人件費（子ども・若者部）,子若＊子ども・若者支援課|子若＊子ども・若者支援課,469,public_source_does_not_distinguish_internal_groups
ral_2026_general_076_019,ra_2026_general_076_019,rd_2026_general_revenue_13_02_01_91_03_3405350000,bpi_980ce9b70e37b092adb0d85b25c10ed7a4c4a19e87b3a53d40a768a182ae7832,2026_general_expenditure_09_01_02_01_23|2026_general_expenditure_09_01_02_01_29,会計年度任用職員の人件費（生活文化政策部）|会計年度任用職員の人件費（生活文化政策部）,生政＊市民活動推進課|生政＊市民活動推進課,467,public_source_does_not_distinguish_internal_groups
ral_2026_general_079_006,ra_2026_general_079_006,rd_2026_general_revenue_13_02_03_15_02_3785100000,bpi_11c09a256ac1f0b08b604ed1e947ffc80d0cb7edff4703759634a064845e0bd8,2026_general_expenditure_09_01_05_01_14|2026_general_expenditure_09_01_05_01_16,会計年度任用職員の人件費（世田谷保健所）|会計年度任用職員の人件費（世田谷保健所）,世保＊健康企画課|世保＊健康企画課,469,public_source_does_not_distinguish_internal_groups
ral_2026_general_082_010,ra_2026_general_082_010,rd_2026_general_revenue_13_02_05_25_06_4960100000,bpi_b55e51de6d41c9f9e2302349c0f7a11790df1cb4835ebe1c8990b0dd44d25850,2026_general_expenditure_09_01_08_01_04|2026_general_expenditure_09_01_08_01_07|2026_general_expenditure_09_01_08_01_08|2026_general_expenditure_09_01_08_01_09|2026_general_expenditure_09_01_08_01_10,会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）,教生＊教育総務課|教生＊教育総務課|教生＊教育総務課|教生＊教育総務課|教生＊教育総務課,471,public_source_does_not_distinguish_internal_groups
ral_2026_general_090_003,ra_2026_general_090_003,rd_2026_general_revenue_14_02_02_13_03_3665590000,bpi_020d87bdb6f88645e4edc52434ec6ef3f834637ed366ef07f96a394c3dedd7d4,2026_general_expenditure_03_02_01_01_94|2026_general_expenditure_03_02_01_02_03,ベビーシッター利用支援事業|ベビーシッター利用支援事業,子若＊保育認定・調整課|子若＊保育認定・調整課,379,public_source_does_not_distinguish_internal_groups
ral_2026_general_100_010,ra_2026_general_100_010,rd_2026_general_revenue_14_02_02_68_30_3665500000,bpi_b20577636fe2f4187fd662b1f0fc27c1a15b49e5c5e258c012206f3f329eb489,2026_general_expenditure_09_01_03_01_18|2026_general_expenditure_09_01_03_01_23,会計年度任用職員の人件費（子ども・若者部）|会計年度任用職員の人件費（子ども・若者部）,子若＊子ども・若者支援課|子若＊子ども・若者支援課,469,public_source_does_not_distinguish_internal_groups
ral_2026_general_101_009,ra_2026_general_101_009,rd_2026_general_revenue_14_02_02_68_86_3655100000,bpi_181d68cd53e1bae8c0ff0b19f41abc04ca2fba5d55dc0649f06039d0ddf44c32,2026_general_expenditure_09_01_03_01_17|2026_general_expenditure_09_01_03_01_24,会計年度任用職員の人件費（障害福祉部）|会計年度任用職員の人件費（障害福祉部）,障福＊障害施策課|障福＊障害施策課,469,public_source_does_not_distinguish_internal_groups
ral_2026_general_103_011,ra_2026_general_103_011,rd_2026_general_revenue_14_02_02_92_44_4960100000,bpi_b55e51de6d41c9f9e2302349c0f7a11790df1cb4835ebe1c8990b0dd44d25850,2026_general_expenditure_09_01_08_01_04|2026_general_expenditure_09_01_08_01_07|2026_general_expenditure_09_01_08_01_08|2026_general_expenditure_09_01_08_01_09|2026_general_expenditure_09_01_08_01_10,会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）,教生＊教育総務課|教生＊教育総務課|教生＊教育総務課|教生＊教育総務課|教生＊教育総務課,471,public_source_does_not_distinguish_internal_groups
