年度,当初補正区分,当初補正区分名称,事業区分,事業区分名称,所属,所属名称,歳入番号,歳入番号名称,会計,会計名称,款,款名称,項,項名称,目,目名称,節,節名称,細節,細節名称,前々年度決算額,予算前額,予算要求額,予算見積額,現計予算額,充当前額,充当要求額,充当額,現計充当額,未充当前額,未充当要求額,未充当額,現計未充当額,要求額対見積額,前年度対要求額,前年度対見積額,財源区分,財源区分名称,要求内容,補正内容,査定内容,経常臨時区分,経常臨時区分名称,査定区分,要求（予算額）,一次（予算額）,二次（予算額）,三次（予算額）,四次（予算額）,五次（予算額）,六次（予算額）
2018,0,当初,1,一次経費,2135100000,世支＊地域振興課,25,使用料区民会館世田谷区民会館,1,一般会計,12,使用料及手数料,1,使用料,1,総務使用料,1,区民会館,1,世田谷区民会館,0,15000,0,15750,0,0,0,0,0,0,0,0,0,0,0,750,3,使用料,,,,1,経常,0,0,0,0,0,0,0,0
2018,0,当初,1,一次経費,2135100000,世支＊地域振興課,31,使用料区民センター太子堂区民センター,1,一般会計,12,使用料及手数料,1,使用料,1,総務使用料,2,区民センター,2,太子堂区民センター,0,4500,0,4300,0,0,0,0,0,0,0,0,0,0,0,-200,3,使用料,,,,1,経常,0,0,0,0,0,0,0,0
2018,0,当初,1,一次経費,2135100000,世支＊地域振興課,32,使用料区民センター弦巻区民センター,1,一般会計,12,使用料及手数料,1,使用料,1,総務使用料,2,区民センター,3,弦巻区民センター,0,8800,0,8600,0,0,0,0,0,0,0,0,0,0,0,-200,3,使用料,,,,1,経常,0,0,0,0,0,0,0,0
2018,0,当初,1,一次経費,2135100000,世支＊地域振興課,33,使用料区民センター宮坂区民センター,1,一般会計,12,使用料及手数料,1,使用料,1,総務使用料,2,区民センター,4,宮坂区民センター,0,11920,0,12814,0,0,0,0,0,0,0,0,0,0,0,894,3,使用料,,,,1,経常,0,0,0,0,0,0,0,0
2018,0,当初,1,一次経費,2135100000,世支＊地域振興課,41,使用料区民センター桜丘区民センター,1,一般会計,12,使用料及手数料,1,使用料,1,総務使用料,2,区民センター,12,桜丘区民センター,0,9100,0,8600,0,0,0,0,0,0,0,0,0,0,0,-500,3,使用料,,,,1,経常,0,0,0,0,0,0,0,0
2018,0,当初,1,一次経費,2135100000,世支＊地域振興課,42,使用料食堂施設世田谷区民会館,1,一般会計,12,使用料及手数料,1,使用料,1,総務使用料,3,食堂施設,1,世田谷区民会館,0,1455,0,1501,0,0,0,0,0,0,0,0,0,0,0,46,3,使用料,,,,1,経常,0,0,0,0,0,0,0,0
2018,0,当初,1,一次経費,2135100000,世支＊地域振興課,45,使用料食堂施設宮坂区民センター,1,一般会計,12,使用料及手数料,1,使用料,1,総務使用料,3,食堂施設,8,宮坂区民センター,0,466,0,0,0,0,0,0,0,0,0,0,0,0,0,-466,3,使用料,,,,1,経常,0,0,0,0,0,0,0,0
2018,0,当初,1,一次経費,2135100000,世支＊地域振興課,50,使用料総務施設世田谷地域出張所,1,一般会計,12,使用料及手数料,1,使用料,1,総務使用料,5,総務施設,3,世田谷地域出張所,0,139,0,139,0,0,0,0,0,0,0,0,0,0,0,0,3,使用料,,,,1,経常,0,0,0,0,0,0,0,0
2018,0,当初,1,一次経費,2135100000,世支＊地域振興課,58,使用料総務施設桜丘区民センター,1,一般会計,12,使用料及手数料,1,使用料,1,総務使用料,5,総務施設,14,桜丘区民センター,0,51,0,41,0,0,0,0,0,0,0,0,0,0,0,-10,3,使用料,,,,1,経常,0,0,0,0,0,0,0,0
2018,0,当初,1,一次経費,2135100000,世支＊地域振興課,59,使用料総務施設世田谷地域地区会館,1,一般会計,12,使用料及手数料,1,使用料,1,総務使用料,5,総務施設,15,世田谷地域地区会館,0,251,0,251,0,0,0,0,0,0,0,0,0,0,0,0,3,使用料,,,,1,経常,0,0,0,0,0,0,0,0
