年度,当初補正区分,当初補正区分名称,事業区分,事業区分名称,所属,所属名称,事業番号,事業番号名称,会計,会計名称,款,款名称,項,項名称,目,目名称,大事業,大事業名称,予算事業,予算事業名称,内訳事業,内訳事業名称,前々年度決算額,予算前額,予算要求額,予算見積額,現計予算額,充当前額,充当要求額,充当額,現計充当額,一般財源前額,要求一般財源額,一般財源額,一般財源現計額,要求額対見積額,前年度対要求額,前年度対見積額,要求内容,補正内容,査定内容,行財政改善大区分,行財政改善大区分名称,行財政改善中区分,行財政改善中区分名称,行財政改善小区分,行財政改善小区分名称,重点事業区分,重点事業区分名称,実施計画大区分,実施計画大区分名称,実施計画中区分,実施計画中区分名称,実施計画小区分,実施計画小区分名称,実施計画細区分,実施計画細区分名称,普通会計区分,普通会計区分名称,行政評価結果,行政評価結果名称,要求枠区分,要求枠区分名称,要求基準,要求基準額,要求基準一般財源,予備区分１,予備区分１名称,予備区分２,予備区分２名称,予備区分３,予備区分３名称,予備区分４,予備区分４名称,予備区分５,予備区分５名称,予備区分６,予備区分６名称,予備区分７,予備区分７名称,予備区分８,予備区分８名称,査定区分,要求（予算額）,一次（予算額）,二次（予算額）,三次（予算額）,四次（予算額）,五次（予算額）,六次（予算額）,事業別性質別区分,事業別性質別区分名称,政策要求額,臨時要求額,政策査定額,臨時査定額
2018,0,当初,1,一次経費,2135100000,世支＊地域振興課,2043,区民相談等事業運営,1,一般会計,2,総務費,1,総務管理費,2,広報広聴費,1,区政の広報、広聴費,1,区民相談等事業運営,1,区民相談等事業運営,0,33224,0,"32,774",32774,0,0,0,0,0,0,0,0,0,0,-450,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,行政運営費,0,0,0,0
2018,0,当初,1,一次経費,2135100000,世支＊地域振興課,2087,地域活動推進（世田谷）,1,一般会計,2,総務費,3,区民費,1,区民総務費,2,まちづくり推進事業費,4,地域活動推進（世田谷）,1,地域活動推進（世田谷）,0,917,0,917,917,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,行政運営費,0,0,0,0
2018,0,当初,1,一次経費,2135100000,世支＊地域振興課,2092,防犯協会・防火防災協会（世田谷）,1,一般会計,2,総務費,3,区民費,1,区民総務費,2,まちづくり推進事業費,9,防犯協会・防火防災協会（世田谷）,1,防犯協会・防火防災協会（世田谷）,0,1500,0,"1,500",1500,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,行政運営費,0,0,0,0
2018,0,当初,1,一次経費,2135100000,世支＊地域振興課,2096,青少年対策（世田谷）,1,一般会計,2,総務費,3,区民費,1,区民総務費,2,まちづくり推進事業費,13,青少年対策（世田谷）,1,青少年対策（世田谷）,0,5868,0,"5,834",5834,0,0,0,0,0,0,0,0,0,0,-34,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,行政運営費,0,0,0,0
2018,0,当初,1,一次経費,2135100000,世支＊地域振興課,2101,まちづくり推進（世田谷）,1,一般会計,2,総務費,3,区民費,1,区民総務費,2,まちづくり推進事業費,18,まちづくり推進（世田谷）,1,まちづくり推進（世田谷）,0,3393,0,"3,393",3393,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,行政運営費,0,0,0,0
2018,0,当初,1,一次経費,2135100000,世支＊地域振興課,2108,ふるさとまつり協賛（世田谷）,1,一般会計,2,総務費,3,区民費,1,区民総務費,3,ふるさとまつり運営協力費,3,ふるさとまつり協賛（世田谷）,1,ふるさとまつり協賛（世田谷）,0,9588,0,"6,542",6542,0,0,0,0,0,0,0,0,0,0,-3046,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,行政運営費,0,0,0,0
2018,0,当初,1,一次経費,2135100000,世支＊地域振興課,2123,世田谷総合支所庶務事務,1,一般会計,2,総務費,3,区民費,2,支所費,1,総合支所維持運営費,1,世田谷総合支所庶務事務,1,世田谷総合支所庶務事務,0,4979,0,"4,884",4884,0,0,0,0,0,0,0,0,0,0,-95,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,行政運営費,0,0,0,0
2018,0,当初,1,一次経費,2135100000,世支＊地域振興課,2128,計画・相談事業運営（世田谷）,1,一般会計,2,総務費,3,区民費,2,支所費,1,総合支所維持運営費,6,計画・相談事業運営（世田谷）,1,計画・相談事業運営（世田谷）,0,1028,0,719,719,0,0,0,0,0,0,0,0,0,0,-309,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,行政運営費,0,0,0,0
2018,0,当初,1,一次経費,2135100000,世支＊地域振興課,2422,地域活性化事業（世田谷）,1,一般会計,2,総務費,3,区民費,2,支所費,1,総合支所維持運営費,21,地域活性化事業（世田谷）,1,地域活性化事業（世田谷）,0,6200,0,"5,500",5500,0,0,0,0,0,0,0,0,0,0,-700,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,行政運営費,0,0,0,0
2018,0,当初,1,一次経費,2135100000,世支＊地域振興課,2139,世田谷地域出張所維持運営,1,一般会計,2,総務費,3,区民費,2,支所費,2,出張所維持運営費,1,世田谷地域出張所維持運営,1,世田谷地域出張所維持運営,0,149873,0,"168,575",168575,0,0,0,0,0,0,0,0,0,0,18702,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,行政運営費,0,0,0,0
